Wrote artifacts\performance\2026-08-15_gxcompose-remeasure\perframe-c184a-rows.csv
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=128 frames=438..565 melonDS=1.0 sha=DE80E46BDCF1FD98 git=771cd4b8312+dirty(7) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,117,760  1,678,080   1.50  1,200,916  1,116,480  1,678,528   100.0
FTR       305,920    333,248   1.09    309,796    301,248    335,424    27.4
STG       175,360    177,600   1.01    175,384    172,608    182,272    15.7
BG          4,224      4,288   1.02      4,198      4,032      4,352     0.4
AUD         2,816      5,760   2.05      8,164      1,472    131,072     0.3
HUD         1,024    413,632 403.94     32,834        960    475,840     0.1
SRC       351,360    502,080   1.43    360,644    189,568    658,048    31.4
MISC      108,544    131,072   1.21    105,169     81,024    149,248     9.7
OTHR      192,576    463,488   2.41    203,100     22,016    556,928    17.2
WAIT      172,736    443,840   2.57    183,314      1,600    537,216    15.5
WORK      974,784  1,325,696   1.36  1,017,599    843,200  1,479,360    87.2
SHDT        6,720     10,240   1.52      9,690      4,160    164,736     0.6
SWRM          960      1,088   1.13        978        832      1,152     0.1
GCRA      346,048    496,576   1.43    355,184    183,872    652,608    31.0
SCPU       46,784    118,528   2.53     50,648        768    129,920     4.2
SCAT        1,408      1,600   1.14      1,430      1,152      4,736     0.1
SPRM        2,048      2,176   1.06      2,944      1,856    120,000     0.2
SINT      151,616    298,176   1.97    171,771      8,448    438,208    13.6
SPHD       77,184     99,456   1.29     79,190     56,064    220,992     6.9
SPHC          640        768   1.20        669        512        896     0.1
WORK-H    966,464  1,193,280   1.23    984,766    457,024  1,392,256    86.5

named=996,189 (83.0% of ALL)  VBI 2:481 3:74 4:3 5+:7 max:20 total:565  slips=0
Wrote artifacts\performance\2026-08-15_gxcompose-remeasure\perframe-c184a.json
