Wrote artifacts\performance\2026-08-15_gxcompose-remeasure\perframe-c184b-rows.csv
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=128 frames=438..565 melonDS=1.0 sha=DE80E46BDCF1FD98 git=771cd4b8312+dirty(7) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,117,632  1,677,952   1.50  1,200,790  1,116,608  1,678,400   100.0
FTR       296,768    322,176   1.09    300,044    292,160    324,672    26.6
STG       177,984    180,352   1.01    178,148    174,848    184,256    15.9
BG          4,160      4,288   1.03      4,194      3,776      4,352     0.4
AUD         2,688      6,080   2.26      8,426      1,408    132,992     0.2
HUD           960    412,416 429.60     32,908        896    419,392     0.1
SRC       350,720    502,912   1.43    359,404    182,912    654,528    31.4
MISC      107,968    130,496   1.21    104,181     79,680    147,776     9.7
OTHR      195,584    477,184   2.44    213,485     33,984    570,432    17.5
WAIT      175,744    456,896   2.60    193,868     14,912    550,528    15.7
WORK      970,176  1,290,112   1.33  1,006,920    811,584  1,429,952    86.8
SHDT        6,656      9,664   1.45      8,417      4,096    171,264     0.6
SWRM          960      1,024   1.07        967        832      1,088     0.1
GCRA      345,152    497,408   1.44    354,014    177,536    649,216    30.9
SCPU       46,336    117,504   2.54     50,400        640    130,368     4.1
SCAT        1,408      1,472   1.05      1,379      1,216      1,536     0.1
SPRM        2,176      2,368   1.09      2,164      1,920      2,432     0.2
SINT      160,704    310,336   1.93    172,926      8,064    434,368    14.4
SPHD       77,696     99,456   1.28     80,978     56,320    219,904     7.0
SPHC          640        768   1.20        643        512        768     0.1
WORK-H    957,504  1,145,280   1.20    974,012    810,560  1,309,632    85.7

named=987,305 (82.2% of ALL)  VBI 2:484 3:73 4:1 5+:7 max:19 total:565  slips=0
Wrote artifacts\performance\2026-08-15_gxcompose-remeasure\perframe-c184b.json
