Wrote artifacts\performance\2026-08-15_gxstack-io-draw\gxstat-c173-rows.csv
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=128 frames=438..565 melonDS=1.0 sha=DE80E46BDCF1FD98 git=ba2c5e57026+dirty(6) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,117,888  1,678,208   1.50  1,200,960  1,117,056  1,678,656   100.0
FTR       306,112    332,096   1.08    309,670    299,072    334,528    27.4
STG       178,688    180,800   1.01    178,820    175,872    185,024    16.0
BG          4,352      4,480   1.03      4,374      4,160      4,544     0.4
AUD         2,816      6,080   2.16      8,200      1,472    132,800     0.3
HUD         1,024    416,064 406.31     33,045        960    422,016     0.1
SRC       349,632    498,304   1.43    359,852    183,104    656,512    31.3
MISC      109,312    131,904   1.21    105,976     81,472    149,504     9.8
OTHR      179,520    453,312   2.53    195,782     21,248    559,296    16.1
WAIT      160,000    433,472   2.71    175,912      1,472    539,392    14.3
WORK      984,128  1,294,592   1.32  1,020,684    820,928  1,439,936    88.0
SHDT        6,848      9,984   1.46      9,740      4,224    166,720     0.6
SWRM        1,024      1,152   1.12      1,034        896      1,216     0.1
GCRA      344,128    492,672   1.43    354,386    177,600    651,072    30.8
SCPU       46,784    119,872   2.56     50,789        768    131,072     4.2
SCAT        1,280      1,408   1.10      1,278      1,088      1,536     0.1
SPRM        1,920      2,048   1.07      2,812      1,664    117,504     0.2
SINT      152,896    296,192   1.94    171,326      8,064    437,056    13.7
SPHD       76,096     98,368   1.29     78,382     54,912    218,560     6.8
SPHC          704        768   1.09        702        512        832     0.1
WORK-H    970,688  1,210,240   1.25    987,638    564,480  1,438,848    86.8

named=999,937 (83.3% of ALL)  VBI 2:481 3:75 4:2 5+:7 max:19 total:565  slips=0
Wrote artifacts\performance\2026-08-15_gxstack-io-draw\gxstat-c173.json
