frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
438,1117760,333440,173696,4224,2560,1024,520896,96128,545024,524864,1153216,4672,1024,515392,121216,1408,1920,228736,201664,640,1152192,100663296,433,148,42,876,148
439,1678080,332736,175488,4224,4800,1024,308736,95168,194880,175424,941760,4416,960,303232,38592,1472,2112,142144,75392,640,940736,100663296,432,149,42,878,149
440,1117184,333952,174464,4160,2816,1024,658048,128064,374144,354176,1324352,6976,1024,652608,38720,1600,1984,438208,87296,768,1323328,100663296,432,151,44,880,152
441,1678528,333120,177152,4160,2688,415680,344768,127040,374144,354176,1324352,6976,1024,339264,38016,1408,1984,138176,75328,640,908672,100663296,433,153,46,882,155
442,1677824,333248,175552,4160,2816,1024,356928,122624,117184,97856,1019776,7168,960,351296,47296,1472,1984,149056,76224,704,1018752,100663296,433,155,48,884,158
443,1117632,334464,178432,4160,129856,1024,355136,121024,117184,97856,1019776,7168,960,349760,46528,1280,1920,149248,75968,576,1018752,100663296,446,157,50,886,161
444,1677888,333504,176256,4160,2752,1024,354368,115392,556928,537216,1140672,6912,1024,348992,47552,1408,2048,149312,75520,704,1139648,100663296,449,158,51,888,163
445,1118016,334400,175808,4160,2944,1024,348160,114240,139072,119808,997504,6720,1024,342656,44224,1344,1920,143296,74944,576,996480,100663296,457,159,52,890,165
446,1117312,333824,173760,4288,2880,1088,306176,106048,190976,171264,946880,6784,960,300672,960,1408,1856,97984,78208,832,945792,100663296,457,160,53,892,167
447,1118144,331904,174720,4352,2880,1088,468544,106624,24768,4864,1112896,6528,832,463232,2688,1600,1984,263296,76224,640,1111808,100663296,449,161,54,894,169
448,1117760,335424,174272,4160,2816,1152,353792,106368,145088,125248,992384,6912,960,348416,49856,1408,1984,147584,78912,576,991232,100663296,462,162,55,896,171
449,1117632,329536,174720,4160,2816,1088,584128,118720,145088,125248,992384,6912,896,578816,22592,1408,2176,355136,96704,768,991296,100663296,458,163,56,898,173
450,1678016,329344,175680,4288,2816,960,305216,118848,179200,159360,958400,6592,1088,299840,832,1344,1984,91712,82880,640,957440,100663296,450,164,57,900,175
451,1117760,331072,175488,4160,2944,1088,304960,119040,178560,158912,958592,6656,1024,299264,896,1472,2048,91904,82880,768,957504,100663296,448,165,58,902,177
452,1117504,330624,176128,4160,2944,960,393856,119360,178560,158912,958592,6656,960,388416,1472,1472,2048,172992,90368,704,957632,100663296,448,166,59,904,179
453,1117696,331840,175872,4096,2880,1024,337024,120128,145472,125760,992384,6592,896,331520,25088,1472,2048,118592,89088,704,991360,100663296,452,167,60,906,181
