symbol,entry_pc,size,calls_whole_match,calls_per_region,calls_on_p95_set,calls_per_p95_region,calls_off_p95_set,calls_per_body_region,p95_regions_with_a_call,p95_regions_total,body_regions_with_a_call,body_regions_total,presence_ratio
memcpy,0x01fff538,170,193111,120.6944,27732,346.65,165379,108.802,80,80,1520,1520,3.186
memset,0x01fff4ac,140,152456,95.285,10004,125.05,142452,93.7184,80,80,1520,1520,1.334
armCopyMem32,0x01fffb64,76,1986,1.2412,822,10.275,1164,0.7658,50,80,121,1520,13.418
get_fat.isra.0,0x020b95ec,352,102305,63.9406,46362,579.525,55943,36.8046,50,80,119,1520,15.746
f_lseek,0x020bc2b4,664,217,0.1356,110,1.375,107,0.0704,50,80,101,1520,19.533
f_read,0x020bb9d8,676,3790,2.3687,3449,43.1125,341,0.2243,50,80,121,1520,192.173
_dvmCacheCopy,0x020b6bc8,20,1986,1.2412,822,10.275,1164,0.7658,50,80,121,1520,13.418
_dvmDiscCacheReadWrite,0x020b6e78,1032,1904,1.19,771,9.6375,1133,0.7454,50,80,121,1520,12.929
_ntrcardRomReadSector,0x020c3190,312,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsAudioBgmReadPacket,0x0200c4f4,392,76,0.0475,4,0.05,72,0.0474,4,80,72,1520,1.056
ndsAudioBgmReadExact,0x0200c4ac,72,152,0.095,8,0.1,144,0.0947,4,80,72,1520,1.056
ndsAudioBgmWorkerMain,0x0200c6cc,488,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsAudioBgmUpdate,0x0200d1b8,300,3201,2.0006,160,2.0,3041,2.0007,80,80,1520,1520,1.0
ndsAudioBgmPrepareBuffer,0x0200c424,136,76,0.0475,4,0.05,72,0.0474,4,80,72,1520,1.056
ndsRelocNormalizeFighterAObj16File,0x0203b564,772,144,0.09,44,0.55,100,0.0658,32,80,89,1520,8.36
ndsRelocAssetIDForToken,0x02037aac,1632,711,0.4444,179,2.2375,532,0.35,47,80,189,1520,6.393
ndsRelocAssetFindEntry,0x0200b35c,268,144,0.09,44,0.55,100,0.0658,32,80,89,1520,8.36
sniprintf,0x020c93f4,100,144,0.09,44,0.55,100,0.0658,32,80,89,1520,8.36
ndsRelocAssetLoadData,0x0200b6c0,280,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRelocAssetLoadIntoZeroedHeap,0x0200b7d8,416,7,0.0044,7,0.0875,0,0.0,7,80,0,1520,inf
ndsRelocFinalizeLoadedFile,0x0203db00,1972,137,0.0856,37,0.4625,100,0.0658,32,80,89,1520,7.03
ndsRelocRegisterLoadedFile,0x0203a5ec,268,137,0.0856,37,0.4625,100,0.0658,32,80,89,1520,7.03
ndsRelocApplyWordByteSwap,0x0203a188,216,7,0.0044,7,0.0875,0,0.0,7,80,0,1520,inf
ndsFighterMarioFoxDLAllDrawForSlot.constprop.0,0x02056bcc,7544,3072,1.92,158,1.975,2914,1.9171,80,80,1520,1520,1.03
ndsRendererCommitNativeStageSegment,0x0202dbc0,2572,12800,8.0,640,8.0,12160,8.0,80,80,1520,1520,1.0
ndsRendererNativeEmitProductionPrimitiveGroups,0x01ffd0c4,548,83436,52.1475,4278,53.475,79158,52.0776,80,80,1520,1520,1.027
ndsRendererExecuteNativeFighterOwnerProduction,0x01ffe3b4,3472,3072,1.92,158,1.975,2914,1.9171,80,80,1520,1520,1.03
ndsRendererNativeStageLoadNoZMatrix,0x02003388,512,75200,47.0,3760,47.0,71440,47.0,80,80,1520,1520,1.0
ndsRendererNativeStageEmitNoZTriangle,0x02003588,1208,43200,27.0,2160,27.0,41040,27.0,80,80,1520,1520,1.0
ndsRendererNativeStageEmitNoZVertex.isra.0,0x02014918,468,129601,81.0006,6480,81.0,123121,81.0007,80,80,1520,1520,1.0
ndsRendererNativePrepareProductionRun,0x01ffd52c,3720,103199,64.4994,5300,66.25,97899,64.4072,80,80,1520,1520,1.029
ndsRendererMtxMulAffine20p12,0x02003120,616,82540,51.5875,4309,53.8625,78231,51.4678,80,80,1520,1520,1.047
