region,ticks,in_p95_set,ndsRendererExecuteNativeFighterOwnerHierarchy,ndsRendererNativeStageTask36EnsureWorld,ndsRendererNativeStageTask36EndSegment.part.0,ndsRendererNativeStageTask36BeginSegment,ndsRendererR2WriteLightVector,ndsRendererSubmitNativeRebirthHalo,ndsRendererSubmitFoxBlasterQuad,ndsRendererPrepareWhispyQuadState,ndsRendererEndParticleQuads,ndsRendererSubmitParticleQuad,ndsRendererSubmitWhispyNativeQuad,_FAT_read_r,_FAT_seek_r,_FAT_open_r,fread,ndsR2AnimCachePreloadStep,ndsRelocAssetReadRawRange,ndsRelocAssetReadHeaderFromFile,ndsRelocAssetReadHeader,lbRelocGetForceExternHeapFile,ndsRelocLoadExternTreeAsset,ndsAudioBgmPlay,move_window,ndsRelocAssetGetPath,lbRelocLoadFilesExtern,ndsRelocGetFileData,ndsRendererLoadHardwareSplitMatrices,ndsRendererHardwareEndBatch.part.0,ndsRendererNativeStageBeginRun.part.0,ndsRendererNativeStagePrepareRun.constprop.0,ndsRendererNativeStageApplyStateSpan.constprop.0,ndsRendererHardwareBeginTriangleBatch,ndsRendererExecuteNativeFighterRoot,ndsRendererExecuteNativeFighterRootHardware,ndsRendererNativeStageEmitClippedVertex,ndsRendererNativeStageEmitNearClippedTriangle
1,946200,0,0,0,3,3,2,0,0,1,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
2,1232459,1,0,0,3,3,2,0,1,4,5,3,1,3,1,0,1,2,0,0,0,1,0,0,30,1,0,5,32,69,54,0,0,0,0,0,0,0
3,1013443,0,0,0,3,3,2,0,1,4,5,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
4,1016973,0,0,0,3,3,2,0,1,3,5,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
5,1016624,0,0,0,3,3,2,0,1,3,5,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
6,1009471,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
7,1001706,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
8,955288,0,0,0,3,3,2,0,1,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
9,1143864,0,0,0,3,3,2,0,1,1,5,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,4,32,69,54,0,0,0,0,0,0,0
10,1002527,0,0,0,3,3,2,0,1,1,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
11,1185250,0,0,0,3,3,2,0,1,3,5,3,0,3,1,0,1,2,0,0,0,1,0,0,912,1,0,4,32,69,54,0,0,0,0,0,0,0
12,965164,0,0,0,3,3,2,0,1,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
13,966458,0,0,0,3,3,2,0,1,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
14,1055263,0,0,0,3,3,2,0,1,3,5,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
15,997009,0,0,0,3,3,2,0,1,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
16,1013967,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
17,1085789,0,0,0,3,3,2,0,1,2,5,2,0,3,1,0,2,2,0,0,0,0,0,0,751,0,0,4,32,69,54,0,0,0,0,0,0,0
18,1209234,1,0,0,3,3,2,0,1,3,5,3,0,1,1,0,1,2,0,0,0,2,0,0,141,1,0,4,32,69,54,0,0,0,0,0,0,0
19,1001055,0,0,0,3,3,2,0,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
20,1020713,0,0,0,3,3,2,0,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
21,1024655,0,0,0,3,3,2,0,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
22,1110276,0,0,0,3,3,2,0,1,4,5,4,0,3,1,0,1,2,0,0,0,0,0,0,35,0,0,4,32,69,54,0,0,0,0,0,0,0
23,1048620,0,0,0,3,3,2,0,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
24,1063916,0,0,0,3,3,2,0,1,4,5,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
25,1046728,0,0,0,3,3,2,0,1,3,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
26,1082174,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
27,1036219,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
28,1092032,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,32,69,54,0,0,0,0,0,0,0
29,1011932,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
30,1031744,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
31,1018884,0,0,0,3,3,2,0,1,2,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,32,69,54,0,0,0,0,0,0,0
