symbol,entry_pc,size,calls_whole_match,calls_per_region,calls_on_p95_set,calls_per_p95_region,calls_off_p95_set,calls_per_body_region,p95_regions_with_a_call,p95_regions_total,body_regions_with_a_call,body_regions_total,presence_ratio
ndsRendererExecuteNativeFighterOwnerHierarchy,0x02029588,6576,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererNativeStageTask36EnsureWorld,0x02016bcc,1004,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererNativeStageTask36EndSegment.part.0,0x02013d5c,272,4800,3.0,240,3.0,4560,3.0,80,80,1520,1520,1.0
ndsRendererNativeStageTask36BeginSegment,0x020145bc,860,4802,3.0013,240,3.0,4562,3.0013,80,80,1520,1520,1.0
ndsRendererR2WriteLightVector,0x02013e6c,800,3074,1.9212,158,1.975,2916,1.9184,80,80,1520,1520,1.029
ndsRendererSubmitNativeRebirthHalo,0x02027b5c,6632,348,0.2175,3,0.0375,345,0.227,1,80,115,1520,0.165
ndsRendererSubmitFoxBlasterQuad,0x02025048,3176,60,0.0375,6,0.075,54,0.0355,6,80,54,1520,2.111
ndsRendererPrepareWhispyQuadState,0x02018414,2600,3182,1.9888,187,2.3375,2995,1.9704,70,80,1005,1520,1.186
ndsRendererEndParticleQuads,0x02024f44,260,6571,4.1069,334,4.175,6237,4.1033,80,80,1520,1520,1.017
ndsRendererSubmitParticleQuad,0x02021e2c,4232,2950,1.8438,172,2.15,2778,1.8276,61,80,881,1520,1.176
ndsRendererSubmitWhispyNativeQuad,0x02023070,7892,3714,2.3213,387,4.8375,3327,2.1888,30,80,310,1520,2.21
_FAT_read_r,0x020b84b4,124,3790,2.3687,3449,43.1125,341,0.2243,50,80,121,1520,192.173
_FAT_seek_r,0x020b7da8,316,217,0.1356,110,1.375,107,0.0704,50,80,101,1520,19.533
_FAT_open_r,0x020b8950,292,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
fread,0x020c4580,36,306,0.1913,107,1.3375,199,0.1309,50,80,121,1520,10.216
ndsR2AnimCachePreloadStep,0x0205ae80,840,3200,2.0,160,2.0,3040,2.0,80,80,1520,1520,1.0
ndsRelocAssetReadRawRange,0x0200b978,132,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRelocAssetReadHeaderFromFile,0x0200b4e0,160,7,0.0044,7,0.0875,0,0.0,7,80,0,1520,inf
ndsRelocAssetReadHeader,0x0200b580,96,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
lbRelocGetForceExternHeapFile,0x0205b1c8,1156,299,0.1869,67,0.8375,232,0.1526,47,80,189,1520,5.487
ndsRelocLoadExternTreeAsset,0x020407a4,440,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsAudioBgmPlay,0x0200cbcc,1252,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
move_window,0x020b934c,196,106276,66.4225,49819,622.7375,56457,37.1428,50,80,119,1520,16.766
ndsRelocAssetGetPath,0x0200b49c,14,137,0.0856,37,0.4625,100,0.0658,32,80,89,1520,7.03
lbRelocLoadFilesExtern,0x0205c37c,3008,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRelocGetFileData,0x0205b7b8,2252,8284,5.1775,426,5.325,7858,5.1697,80,80,1520,1520,1.03
ndsRendererLoadHardwareSplitMatrices,0x02012320,392,49664,31.04,2535,31.6875,47129,31.0059,80,80,1520,1520,1.022
ndsRendererHardwareEndBatch.part.0,0x0201223c,228,108629,67.8931,5497,68.7125,103132,67.85,80,80,1520,1520,1.013
ndsRendererNativeStageBeginRun.part.0,0x02016fb8,1928,86400,54.0,4320,54.0,82080,54.0,80,80,1520,1520,1.0
ndsRendererNativeStagePrepareRun.constprop.0,0x020028d0,2128,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererNativeStageApplyStateSpan.constprop.0,0x02019100,348,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererHardwareBeginTriangleBatch,0x020159e4,2160,1368,0.855,55,0.6875,1313,0.8638,16,80,229,1520,0.796
ndsRendererExecuteNativeFighterRoot,0x0202ee24,4,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererExecuteNativeFighterRootHardware,0x0201dddc,7496,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererNativeStageEmitClippedVertex,0x02004108,816,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
ndsRendererNativeStageEmitNearClippedTriangle,0x02004438,340,0,0.0,0,0.0,0,0.0,0,80,0,1520,inf
