region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2837321,6723838,2.370,0,511963,1814139,1827599,1201042,828880,298264,16470,0,225487,511957,0,0
521,938001,4482648,4.779,0,1111095,615551,1031483,836729,160478,79577,16470,0,116706,1625654,0,0
1474,1019535,4482364,4.396,0,631239,643317,1144226,914265,174153,81253,17926,0,125147,1382077,0,0
1103,1140488,4481954,3.930,0,971931,606076,1251804,841208,148282,78251,16470,0,149541,1390322,0,0
1193,1278111,4481610,3.506,0,626071,594761,1414978,950689,156703,75853,16470,0,177490,1094666,0,0
605,840386,4481162,5.332,0,1112453,504526,987483,850871,160166,76600,16470,0,119471,1765575,0,0
1441,1280842,4481122,3.499,0,1067877,600535,1374375,860043,165261,81160,17594,0,177036,1205118,0,0
911,1685079,4480728,2.659,0,78849,460802,1890777,987435,173268,66941,38680,0,220223,642602,0,0
1247,712500,3363044,4.720,0,1093675,452951,812499,613542,113102,74846,16518,0,94611,1184975,0,0
458,754775,3362788,4.455,0,1075017,484890,829172,628593,134233,86796,16470,0,107623,1075011,0,0
1413,996722,3362774,3.374,0,45602,595785,1154161,859161,154363,77802,17370,0,130480,373652,0,0
281,1002605,3362768,3.354,0,411063,635084,1033622,742469,138052,80186,16554,0,117871,598930,0,0
1468,716025,3362584,4.696,0,1073613,462516,820604,610027,114075,75313,17866,0,94556,1167627,0,0
1408,722325,3362564,4.655,0,1031917,459855,853700,620894,110607,75672,17218,0,98009,1126609,0,0
148,856795,3362532,3.925,0,806699,562017,909664,669873,118484,77520,16470,0,107071,901433,0,0
208,712488,3362394,4.719,0,1099153,442573,817140,607841,115751,75478,16470,0,96430,1190711,0,0
838,735332,3362380,4.573,0,1026749,464396,850130,620593,119393,75161,16470,0,97894,1118343,0,0
529,729752,3362342,4.608,0,1038541,452818,868336,669376,133024,77788,16502,0,103716,1040782,0,0
276,777722,3362318,4.323,0,1084069,525891,836603,609347,113996,76622,16470,0,97534,1085855,0,0
680,865054,3362266,3.887,0,679843,594263,920875,691450,129289,79019,16470,0,106914,823986,0,0
628,813215,3362254,4.135,0,974405,504541,894111,673944,106346,74838,16470,0,117605,974399,0,0
1268,813900,3362234,4.131,0,813159,514507,908197,701410,133027,75011,16470,0,109245,904367,0,0
11,804709,3362232,4.178,0,624225,514349,867987,659241,118133,76941,16470,0,101976,1007135,0,0
446,978807,3362224,3.435,0,45604,577010,1166407,877513,166360,83764,17260,0,140295,333615,0,0
1202,1155533,3362204,2.910,0,254275,511026,1269838,837131,138039,74443,16470,0,167253,348004,0,0
249,853481,3362202,3.939,0,723869,534051,964655,705345,134044,76955,16470,0,111394,819288,0,0
1207,922056,3362202,3.646,0,91794,526790,1095871,798895,148478,77220,16470,0,127330,571148,0,0
292,745569,3362150,4.510,0,1050939,476619,810805,626216,113110,74562,16802,0,98525,1145511,0,0
314,758874,3362134,4.430,0,968375,483115,861765,639645,118875,75110,17090,0,102380,1064154,0,0
106,783115,3362100,4.293,0,566247,510283,873952,640603,116118,76602,16470,0,102196,1025876,0,0
195,776316,3362078,4.331,0,753853,507425,892066,695198,127193,75285,16470,0,107642,940799,0,0
1172,795598,3362072,4.226,0,298841,528734,953810,766242,141833,77742,16476,0,106730,770505,0,0
152,938760,3362048,3.581,0,1029435,720631,756423,570580,101207,80314,16470,0,86994,1029429,0,0
1122,945020,3361994,3.558,0,164519,607404,1020027,793861,140781,80201,16470,0,116712,586538,0,0
1498,747363,3361994,4.498,0,1022683,484609,867536,627144,118707,77564,17870,0,97762,1070802,0,0
431,755434,3361904,4.450,0,939695,473367,896511,705401,141678,75800,16802,0,110386,941959,0,0
418,769939,3361898,4.366,0,1029123,508616,863508,641260,122463,77354,17790,0,101790,1029117,0,0
1443,995159,3361890,3.378,0,402129,613083,1108327,771494,138784,83889,17774,0,129027,499512,0,0
718,947348,3361886,3.549,0,803595,695747,891393,640659,105378,82811,16470,0,102672,826756,0,0
2,801538,3361850,4.194,0,711245,548013,887482,700886,127964,77885,16470,0,102266,900884,0,0
