pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2772,662481869,16629,0,0,0,0,0,0,662465240,660,68126156,3957,0,0,0,0,0,0,68122199
0x02006fb4,49152,243999,-23480,4040,201706,61733,0,0,0,0,49152,243999,-23480,4040,201706,61733,0,0,0,0
0x01fff4f6,756486,9111159,742931,0,0,8368228,0,0,0,0,53635,661491,52980,0,0,608511,0,0,0,0
0x01fff4f4,756484,8943420,753266,0,0,8190154,0,0,0,0,53635,650242,53399,0,0,596843,0,0,0,0
0x01fff4f2,756487,8864460,754675,0,0,8109785,0,0,0,0,53635,646288,53538,0,0,592750,0,0,0,0
0x02006fb8,49152,157252,-43481,157301,0,43432,0,0,0,0,49152,157252,-43481,157301,0,43432,0,0,0,0
0x01fffb74,59888,4581236,-179318,0,4561665,198889,0,0,0,0,27888,2136388,-83516,0,2125856,94048,0,0,0,0
0x01fff4f0,756479,6810882,157941,0,0,6652941,0,0,0,0,53635,498526,11952,0,0,486574,0,0,0,0
0x01fff592,695069,3803770,3280209,0,0,468265,55296,0,0,0,58029,512496,398382,0,0,58818,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98168,49208,48960,0,0,0,0,0,0,49152,98168,49208,48960,0,0,0,0,0,0
0x02006fb6,49153,68595,68595,0,0,0,0,0,0,0,49153,68595,68595,0,0,0,0,0,0,0
0x01fff5be,91451,568399,495486,0,0,72913,0,0,0,0,18404,96163,90979,0,0,5184,0,0,0,0
0x01fff590,695052,10075710,-571480,0,5448988,5198202,0,0,0,0,58027,1352134,-72545,0,624634,800045,0,0,0,0
0x01fff538,190257,1062112,1024242,0,0,37870,0,0,0,0,25487,133719,131474,0,0,2245,0,0,0,0
0x01fff560,190255,1031900,113646,0,869862,48392,0,0,0,0,25487,120481,7392,0,109720,3369,0,0,0,0
0x02006fbc,49152,49201,0,49201,0,0,0,0,0,0,49152,49201,0,49201,0,0,0,0,0,0
0x02006fba,49153,49155,49155,0,0,0,0,0,0,0,49153,49155,49155,0,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb0,49152,49152,0,49152,0,0,0,0,0,0,49152,49152,0,49152,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,695059,4103349,-281819,0,2633811,1751357,0,0,0,0,58027,431124,8220,0,211434,211470,0,0,0,0
0x01fff544,190255,567351,567351,0,0,0,0,0,0,0,25487,73177,73177,0,0,0,0,0,0,0
0x01fff564,190257,521061,190261,330800,0,0,0,0,0,0,25487,73041,25487,47554,0,0,0,0,0,0
0x01fff59c,695053,863146,23133,0,805817,34196,0,0,0,0,58027,96985,30265,0,64614,2106,0,0,0,0
0x01fff5bc,91448,1534319,-69015,0,621063,982271,0,0,0,0,18404,119618,-11785,0,77666,53737,0,0,0,0
0x01fff598,695055,817132,27329,0,724794,65009,0,0,0,0,58027,129102,29195,0,71305,28602,0,0,0,0
0x01fff5a0,695054,725778,725778,0,0,0,0,0,0,0,58028,88750,88750,0,0,0,0,0,0,0
0x02048eca,12396,37204,12412,24792,0,0,0,0,0,0,12396,37204,12412,24792,0,0,0,0,0,0
0x02013010,9472,47868,0,28884,0,0,0,0,18984,0,9472,47868,0,28884,0,0,0,0,18984,0
0x02048eea,12396,32726,12396,20330,0,0,0,0,0,0,12396,32726,12396,20330,0,0,0,0,0,0
0x02048dd8,10354,31083,0,31083,0,0,0,0,0,0,10354,31083,0,31083,0,0,0,0,0,0
0x02048f10,10165,30533,0,30533,0,0,0,0,0,0,10165,30533,0,30533,0,0,0,0,0,0
0x02048d8e,10165,30507,10177,20330,0,0,0,0,0,0,10165,30507,10177,20330,0,0,0,0,0,0
0x01fff55c,190257,1226911,-52469,0,713806,322844,0,0,242730,0,25487,105638,-3405,0,58788,21363,0,0,28892,0
0x01fff596,695055,3103106,2502960,0,0,544850,55296,0,0,0,58027,269689,143740,0,0,70653,55296,0,0,0
0x01fff562,190257,510153,129643,0,190255,0,0,0,190255,0,25487,60138,9164,0,25487,0,0,0,25487,0
0x01fff540,190256,380513,181084,0,0,9174,0,0,190255,0,25487,50974,24946,0,0,541,0,0,25487,0
0x01fff54c,188181,374238,374238,0,0,0,0,0,0,0,24204,46615,46615,0,0,0,0,0,0,0
0x01fff59e,695053,1161960,382051,0,0,724613,55296,0,0,0,58027,129215,-9034,0,0,82953,55296,0,0,0
0x01fff59a,695053,1002296,400040,0,0,546960,55296,0,0,0,58027,127221,1013,0,0,70912,55296,0,0,0
0x01fff57c,186474,208580,208580,0,0,0,0,0,0,0,22562,35977,35977,0,0,0,0,0,0,0
0x02048ee8,12396,24857,0,12396,0,0,0,0,12461,0,12396,24857,0,12396,0,0,0,0,12461,0
0x01fff5da,51110,102220,102220,0,0,0,0,0,0,0,15137,30274,30274,0,0,0,0,0,0,0
0x02048ee4,12396,24815,180,24635,0,0,0,0,0,0,12396,24815,180,24635,0,0,0,0,0,0
0x02048ec8,12396,24798,0,12397,0,0,0,0,12401,0,12396,24798,0,12397,0,0,0,0,12401,0
0x020132e8,9216,28628,0,9216,0,0,0,0,19412,0,9216,28628,0,9216,0,0,0,0,19412,0
0x020bd488,14,29581,-42,-21,0,0,98,29546,0,0,12,29378,-36,-18,0,0,84,29348,0,0
0x0201bcd8,9472,28980,174,28806,0,0,0,0,0,0,9472,28980,174,28806,0,0,0,0,0,0
0x02013048,9216,27903,0,27903,0,0,0,0,0,0,9216,27903,0,27903,0,0,0,0,0,0
0x020132dc,9216,27672,0,9220,0,0,0,0,18452,0,9216,27672,0,9220,0,0,0,0,18452,0
0x0201bc30,9216,27658,-99,18541,0,0,0,0,9216,0,9216,27658,-99,18541,0,0,0,0,9216,0
0x0201bce4,9472,28416,0,28416,0,0,0,0,0,0,9472,28416,0,28416,0,0,0,0,0,0
0x02048dc8,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd0,10354,20709,0,10355,0,0,0,0,10354,0,10354,20709,0,10355,0,0,0,0,10354,0
0x02048dd6,10354,20708,10354,0,0,0,0,0,10354,0,10354,20708,10354,0,0,0,0,0,10354,0
0x02048d9c,10165,20406,0,10181,0,0,0,0,10225,0,10165,20406,0,10181,0,0,0,0,10225,0
0x02048d8c,10165,20381,0,10166,0,0,0,0,10215,0,10165,20381,0,10166,0,0,0,0,10215,0
0x02048da4,10165,20352,0,20352,0,0,0,0,0,0,10165,20352,0,20352,0,0,0,0,0,0
0x02048da2,10165,20330,10165,0,0,0,0,0,10165,0,10165,20330,10165,0,0,0,0,0,10165,0
0x01fffb78,59890,658570,260854,0,0,397716,0,0,0,0,27890,306698,122138,0,0,184560,0,0,0,0
0x020bf5d8,19718,393725,26729,78796,264344,2749,0,0,21107,0,13511,191588,3790,35390,137227,1082,0,0,14099,0
0x01fff4fc,756478,1377099,1377099,0,0,0,0,0,0,0,53635,98001,98001,0,0,0,0,0,0,0
0x02001484,557287,14218913,-2351141,409982,15517928,642144,0,0,0,0,40725,813556,-132190,23419,883747,38580,0,0,0,0
0x0201321c,5875,24841,-110,13107,5959,0,0,0,5885,0,5875,24841,-110,13107,5959,0,0,0,5885,0
0x020b736c,97939,596058,-3870,202585,298742,188,0,0,98413,0,51840,315178,-2011,107248,157750,132,0,0,52059,0
0x0206b5cc,33098,1647287,-195919,32661,1661360,149185,0,0,0,0,8199,409528,-48824,8141,412742,37469,0,0,0,0
0x01ff90a0,52800,26780264,52800,0,0,0,369600,26357864,0,0,2640,1338838,2640,0,0,0,18480,1317718,0,0
0x01ff8338,1109303,2766883,1109305,1657578,0,0,0,0,0,0,125470,316928,125470,191458,0,0,0,0,0,0
0x0201bbf8,9216,18517,-85,18602,0,0,0,0,0,0,9216,18517,-85,18602,0,0,0,0,0,0
0x0201bc18,9216,18512,0,18512,0,0,0,0,0,0,9216,18512,0,18512,0,0,0,0,0,0
0x0201bbf0,9216,18482,-111,9332,9261,0,0,0,0,0,9216,18482,-111,9332,9261,0,0,0,0,0
0x0201bb7c,9473,18959,0,9487,0,0,0,0,9472,0,9473,18959,0,9487,0,0,0,0,9472,0
0x0201bc0c,9216,18447,-74,18521,0,0,0,0,0,0,9216,18447,-74,18521,0,0,0,0,0,0
0x0201bbb0,9217,18445,0,18445,0,0,0,0,0,0,9217,18445,0,18445,0,0,0,0,0,0
0x0201bbbc,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbc8,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bbe0,9216,18442,0,18442,0,0,0,0,0,0,9216,18442,0,18442,0,0,0,0,0,0
0x0201bc64,9472,18956,0,9484,0,0,0,0,9472,0,9472,18956,0,9484,0,0,0,0,9472,0
0x0201bb70,9472,18949,0,9472,0,0,0,0,9477,0,9472,18949,0,9472,0,0,0,0,9477,0
0x0201bbfc,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc10,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x0201bc34,9216,18437,0,9221,0,0,0,0,9216,0,9216,18437,0,9221,0,0,0,0,9216,0
0x020132f8,5875,18039,116,17923,0,0,0,0,0,0,5875,18039,116,17923,0,0,0,0,0,0
0x0201bc6c,9472,16356,0,16356,0,0,0,0,0,0,9472,16356,0,16356,0,0,0,0,0,0
0x020bf528,19718,142442,6903,128338,0,7201,0,0,0,0,13511,95303,3241,89256,0,2806,0,0,0,0
0x01ff82e0,2603205,4255435,4255435,0,0,0,0,0,0,0,243439,385665,385665,0,0,0,0,0,0,0
0x01fff5a6,695055,1225745,1225745,0,0,0,0,0,0,0,58027,106907,106907,0,0,0,0,0,0,0
0x020bf6b4,19718,272259,-8766,36926,211645,7042,0,0,25412,0,13511,143891,-3937,21144,107532,3190,0,0,15962,0
0x01fff56e,188549,188551,188551,0,0,0,0,0,0,0,23846,23848,23848,0,0,0,0,0,0,0
0x01fff53a,190256,190258,190258,0,0,0,0,0,0,0,25487,25487,25487,0,0,0,0,0,0,0
0x01fff53c,190255,190255,190255,0,0,0,0,0,0,0,25487,25487,25487,0,0,0,0,0,0,0
0x01fff53e,190255,190255,190255,0,0,0,0,0,0,0,25487,25487,25487,0,0,0,0,0,0,0
0x01fff542,190256,190258,190258,0,0,0,0,0,0,0,25487,25487,25487,0,0,0,0,0,0,0
0x01fff548,188183,188187,188187,0,0,0,0,0,0,0,24204,24204,24204,0,0,0,0,0,0,0
0x01fff54a,188181,188181,188181,0,0,0,0,0,0,0,24204,24204,24204,0,0,0,0,0,0,0
0x01fff55e,190255,190255,190255,0,0,0,0,0,0,0,25487,25487,25487,0,0,0,0,0,0,0
0x01fff566,188550,188554,188554,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff568,188548,188548,188548,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff56a,188549,188551,188551,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff56c,188548,188548,188548,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff570,188548,188548,188548,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff572,188548,188548,188548,0,0,0,0,0,0,0,23845,23845,23845,0,0,0,0,0,0,0
0x01fff574,188549,190625,190625,0,0,0,0,0,0,0,23845,25128,25128,0,0,0,0,0,0,0
0x01fff576,186474,186474,186474,0,0,0,0,0,0,0,22562,22562,22562,0,0,0,0,0,0,0
0x01fff578,186474,186474,186474,0,0,0,0,0,0,0,22562,22562,22562,0,0,0,0,0,0,0
0x01fff57a,186474,186474,186474,0,0,0,0,0,0,0,22562,22562,22562,0,0,0,0,0,0,0
0x02048ee6,12396,12695,-65,0,12760,0,0,0,0,0,12396,12695,-65,0,12760,0,0,0,0,0
0x02048ece,12396,12504,-4,0,12508,0,0,0,0,0,12396,12504,-4,0,12508,0,0,0,0,0
0x02048ed4,12396,12456,-191,251,12396,0,0,0,0,0,12396,12456,-191,251,12396,0,0,0,0,0
