frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1678272,333248,171584,4224,2624,1088,521344,96448,547712,527552,1150720,4224,1024,515776,117056,1152,1792,221440,209280,704,1149632
440,1117184,333632,171776,4352,4992,1152,306688,95232,199360,179776,937408,4160,896,301184,36544,1280,1856,138112,76800,768,936256
441,1678464,333696,173120,4288,2624,1024,649728,129344,384640,364352,1314112,6848,896,644416,36800,1280,1920,429888,88192,640,1313088
442,1117440,330752,173056,4224,2560,960,344320,126784,134784,114624,1002816,6976,896,338944,37184,1216,1728,135616,76096,832,1001856
443,1117504,332160,173568,4224,2624,1024,352384,118464,133056,113600,1003904,7040,960,346880,44928,1344,1984,144640,76160,896,1002880
444,1118080,331712,171200,4224,2560,1088,352256,121216,133824,113792,1004288,6400,896,346560,45056,1152,1984,145344,76032,704,1003200
445,1678528,330496,171392,4288,2752,417472,348736,115072,288320,267648,1410880,6336,896,343424,45440,1280,1920,144320,74880,768,993408
446,1116864,330944,172800,4288,2688,960,346816,113728,144640,125248,991616,6592,960,341376,42560,1408,1856,140480,75520,704,990656
447,1118144,331264,172032,4352,2688,1152,306176,105344,195136,175168,942976,6592,1024,300800,1088,1216,1920,97344,78272,704,941824
448,1117440,331456,171776,4288,2688,1088,466496,105152,34496,14656,1102784,6464,1024,461312,2560,1472,1856,259648,77312,704,1101696
449,1118016,332096,178624,4288,2624,960,353984,105792,139648,119104,998912,6720,896,348608,48576,1472,1792,145728,79040,768,997952
450,1677952,329728,174080,4352,129472,1088,614144,118016,307072,286272,1391680,6272,896,608768,22272,1344,1792,382656,99264,704,1390592
451,1117568,329856,173632,4352,2624,1024,307008,118528,180544,160320,957248,6400,1024,301504,896,1344,1728,90496,85568,704,956224
452,1117696,330752,175296,4288,2816,1088,302912,119424,181120,161088,956608,6400,896,297472,832,1344,1920,90752,83904,768,955520
453,1117120,330112,172288,4224,2752,1088,392512,119360,94784,75200,1041920,6528,960,387136,1728,1408,1856,170560,90496,640,1040832
454,1118272,328256,172864,4352,2880,1088,335872,118016,154944,134912,983360,6592,960,330368,24128,1280,1984,115968,89728,704,982272
455,1117632,329216,173184,4352,2816,1152,354496,111296,141120,120896,996736,6144,1024,349184,47168,1344,1856,139136,84480,768,995584
456,1117632,331008,172480,4288,2688,1152,346432,111104,148480,128320,989312,6336,960,341184,41536,1280,1856,134016,83456,640,988160
457,1678400,308032,174592,4352,2880,1024,566400,117184,503936,483264,1195136,6528,896,560960,32640,1344,1792,246784,186368,832,1194112
458,1116928,305024,172736,4288,5120,1024,355328,123456,149952,130176,986752,6464,960,349888,44352,1280,1920,146816,72256,768,985728
459,1678656,308160,171776,4288,5184,403008,377216,121984,287040,266176,1412480,6336,896,371840,59776,1216,1792,169088,76416,704,1009472
460,1117504,306368,173376,4288,2816,1088,381440,122880,125248,105216,1012288,6208,896,375936,60096,1344,1920,173568,75584,704,1011200
461,1117696,303744,171776,4352,2752,960,471488,121856,40768,20608,1097088,8064,960,466240,60992,1152,1664,248064,88832,768,1096128
462,1117440,308032,174208,4288,2816,1024,399744,121920,105408,85760,1031680,8192,960,394432,58944,1216,1664,176640,88640,576,1030656
463,1117824,306240,172352,4224,2944,1024,423488,124800,82752,62720,1055104,9664,896,418240,59968,1152,1984,185536,101696,704,1054080
464,1118336,303360,172288,4288,4032,1088,413888,115712,103680,83136,1035200,7872,896,408320,60608,1344,1920,188288,89408,832,1034112
