pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffbfc,2819,656700275,16911,0,0,0,0,0,0,656683364,685,68162614,4110,0,0,0,0,0,0,68158504
0x02006fb4,49152,244687,-23460,4020,200798,63329,0,0,0,0,49152,244687,-23460,4020,200798,63329,0,0,0,0
0x01fff4f6,756486,8856492,741683,0,0,8114809,0,0,0,0,53354,645762,52623,0,0,593139,0,0,0,0
0x01fff4f4,756485,8694143,752793,0,0,7941350,0,0,0,0,53352,635061,53097,0,0,581964,0,0,0,0
0x01fff4f2,756484,8654199,754666,0,0,7899533,0,0,0,0,53353,633215,53261,0,0,579954,0,0,0,0
0x02006fb8,49152,157248,-43153,157297,0,43104,0,0,0,0,49152,157248,-43153,157297,0,43104,0,0,0,0
0x01fffb74,60176,4587702,-180211,0,4571239,196674,0,0,0,0,28224,2155599,-84542,0,2148567,91574,0,0,0,0
0x01fff4f0,756480,6637220,169043,0,0,6468177,0,0,0,0,53353,488115,12418,0,0,475697,0,0,0,0
0x01fff592,695173,3775512,3280101,0,0,440115,55296,0,0,0,58114,512688,401546,0,0,55846,55296,0,0,0
0x02006fac,49152,98319,0,98319,0,0,0,0,0,0,49152,98319,0,98319,0,0,0,0,0,0
0x02006fbe,49152,98140,49180,48960,0,0,0,0,0,0,49152,98140,49180,48960,0,0,0,0,0,0
0x02006fb6,49152,68592,68592,0,0,0,0,0,0,0,49152,68592,68592,0,0,0,0,0,0,0
0x01fff590,695166,10075177,-570924,0,5440450,5205651,0,0,0,0,58113,1368707,-73125,0,629119,812713,0,0,0,0
0x01fff5be,91454,566076,493566,0,0,72510,0,0,0,0,18370,95399,90290,0,0,5109,0,0,0,0
0x01fff538,190261,1065449,1029526,0,0,35923,0,0,0,0,25463,133635,131529,0,0,2106,0,0,0,0
0x01fff560,190260,1080037,87334,0,922385,70318,0,0,0,0,25462,123198,6371,0,111993,4834,0,0,0,0
0x02006fbc,49152,49169,0,49169,0,0,0,0,0,0,49152,49169,0,49169,0,0,0,0,0,0
0x02006fb0,49153,49155,0,49155,0,0,0,0,0,0,49153,49155,0,49155,0,0,0,0,0,0
0x02006fa8,49152,49154,0,49154,0,0,0,0,0,0,49152,49154,0,49154,0,0,0,0,0,0
0x02006faa,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fb2,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x02006fba,49152,49152,49152,0,0,0,0,0,0,0,49152,49152,49152,0,0,0,0,0,0,0
0x01fff594,695171,3995880,-252029,0,2495183,1752726,0,0,0,0,58114,429782,9688,0,205225,214869,0,0,0,0
0x01fff544,190260,567364,567364,0,0,0,0,0,0,0,25462,73100,73100,0,0,0,0,0,0,0
0x01fff564,190261,521072,190263,330809,0,0,0,0,0,0,25462,72969,25462,47507,0,0,0,0,0,0
