pc,all_instructions,all_total_cycles,all_issue,all_icache_fill,all_dcache_fill,all_write_buffer,all_bus_contention,all_dma_hold,all_interlock,all_halt_wait,marg_instructions,marg_total_cycles,marg_issue,marg_icache_fill,marg_dcache_fill,marg_write_buffer,marg_bus_contention,marg_dma_hold,marg_interlock,marg_halt_wait
0x01fffc20,2795,665768062,16767,0,0,0,0,0,0,665751291,737,66569756,4422,0,0,0,0,0,0,66565330
0x02006fb8,49152,243751,-23490,4050,200349,62842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff51a,756483,9002869,744199,0,0,8258670,0,0,0,0,43191,481649,42555,0,0,439094,0,0,0,0
0x01fff518,756488,8784325,753418,0,0,8030907,0,0,0,0,43191,470136,42960,0,0,427176,0,0,0,0
0x01fff516,756488,8726473,754756,0,0,7971717,0,0,0,0,43192,466794,43110,0,0,423684,0,0,0,0
0x02006fbc,49152,157265,-42967,157312,0,42920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fffb98,60320,4606355,-180451,0,4582885,203921,0,0,0,0,30112,2319887,-90208,0,2316178,93917,0,0,0,0
0x01fff514,756482,6700373,161687,0,0,6538686,0,0,0,0,43191,359200,11505,0,0,347695,0,0,0,0
0x01fff5b6,695064,4922459,3321787,0,0,1545376,55296,0,0,0,50049,430331,320785,0,0,109546,0,0,0,0
0x02006fb0,49153,98307,0,98307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fc2,49152,98136,49176,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fba,49152,68592,68592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff5b4,695054,11027560,-608384,0,5671078,5964866,0,0,0,0,50049,1285037,-55965,0,540443,800559,0,0,0,0
0x01fff5e2,91455,564319,490146,0,0,74173,0,0,0,0,5920,31066,26193,0,0,4873,0,0,0,0
0x01fff55c,190256,1061027,1023142,0,0,37885,0,0,0,0,12755,69933,67894,0,0,2039,0,0,0,0
0x01fff584,190256,1025732,121760,0,878804,25168,0,0,0,0,12755,66340,6721,0,57705,1914,0,0,0,0
0x02006fc0,49152,49154,0,49154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fac,49152,49152,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fae,49152,49152,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02006fb4,49152,49152,0,49152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
