region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,2836456,6722928,2.370,0,496535,1814353,1836418,1203316,831374,298303,16470,0,226165,496529,0,0
911,1734935,5602218,3.229,0,1052387,468602,1960337,1007620,170680,67163,38712,0,226772,1662332,0,0
1207,979029,4482718,4.579,0,589213,536382,1168800,822138,151618,77534,16470,0,135190,1574586,0,0
1474,1029893,4482694,4.353,0,588033,646357,1174065,924311,176711,81226,17926,0,127104,1334994,0,0
1103,1142657,4482406,3.923,0,911327,610749,1253259,849671,148758,78424,16470,0,150125,1374950,0,0
446,979097,4482290,4.578,0,1111241,582009,1185214,874645,161865,83845,17260,0,140778,1436674,0,0
1193,1289984,4481914,3.474,0,624485,606223,1449184,956234,156304,76029,16470,0,179258,1042212,0,0
1441,1281027,4480554,3.498,0,740465,603823,1384822,855516,165206,81219,17594,0,177687,1194687,0,0
148,801018,3362824,4.198,0,1051003,550280,857237,609752,100762,77317,16470,0,100009,1050997,0,0
680,865877,3362584,3.883,0,674891,598238,928541,688277,126210,79127,16470,0,107151,818570,0,0
1528,747267,3362578,4.500,0,1032137,498938,859922,620213,113758,75664,16814,0,97231,1080038,0,0
1264,1107726,3362532,3.036,0,255817,578784,1235476,782837,127174,75411,16470,0,150662,395718,0,0
718,960128,3362506,3.502,0,525949,701908,922947,645202,106255,83157,16470,0,104449,782118,0,0
1534,715969,3362428,4.696,0,1086077,476124,828508,624472,108267,74889,16470,0,98782,1134916,0,0
1172,797705,3362390,4.215,0,221765,534550,971536,774210,143515,77947,16470,0,107626,736536,0,0
249,796704,3362376,4.220,0,965749,522253,904556,651095,119010,76638,16470,0,104977,967377,0,0
418,769949,3362376,4.367,0,1011665,509455,875301,645262,123221,77504,17790,0,102184,1011659,0,0
1122,945608,3362356,3.556,0,156473,612151,1030463,790457,136906,80291,16470,0,116978,578640,0,0
521,882994,3362354,3.808,0,181767,607631,976013,781556,141565,79465,16470,0,110419,649235,0,0
212,724355,3362328,4.642,0,533853,473966,834291,633045,109338,75567,16470,0,99281,1120370,0,0
628,813615,3362312,4.133,0,971941,508030,905646,662110,106270,74975,16470,0,116876,971935,0,0
1048,714470,3362198,4.706,0,1107833,455182,864369,631312,105201,75958,16470,0,104373,1109333,0,0
1482,765001,3362192,4.395,0,1104499,521312,838165,602145,104144,76876,17704,0,97353,1104493,0,0
281,1003622,3362104,3.350,0,379587,638345,1050080,749579,141691,80335,16580,0,118588,566906,0,0
1029,1127035,3362096,2.983,0,145269,549935,1259133,859417,164783,74034,16470,0,157040,281284,0,0
1491,703091,3362096,4.782,0,1100465,441078,814912,610312,116380,75866,17678,0,94349,1191521,0,0
658,857311,3362094,3.922,0,705541,517874,1012296,687564,129605,82550,16470,0,116414,799321,0,0
1443,995702,3362094,3.377,0,391787,616901,1129454,762824,134603,84015,17774,0,128799,487724,0,0
181,784569,3362070,4.285,0,935717,482719,922602,695800,116773,74861,16470,0,117134,935711,0,0
82,820022,3362030,4.100,0,633209,496547,935696,723648,136151,74992,16470,0,112330,866196,0,0
195,777157,3362026,4.326,0,736753,512361,904980,697267,124590,75356,16470,0,107805,923197,0,0
1440,839481,3362024,4.005,0,531343,503628,1003777,735489,137355,81815,17634,0,115269,767057,0,0
145,707057,3362012,4.755,0,1084389,436676,811810,627238,119991,75619,16470,0,97765,1176443,0,0
537,678197,3362006,4.957,0,1087113,396867,789115,636751,122338,73363,16470,0,100008,1227094,0,0
1413,943473,3362002,3.563,0,196139,589502,1096655,800111,134320,77606,17370,0,124085,522353,0,0
561,880459,3361934,3.818,0,148573,561837,1029405,771323,151332,78399,16500,0,115217,637921,0,0
