frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117056,296512,174336,4160,1536,1088,325952,96320,217152,197568,919488,4352,1024,320384,75264,1344,2048,178752,57088,576,918400
440,1118080,296704,173568,4224,1408,1024,277184,96256,267712,247680,870400,4096,896,271936,27968,1216,1984,130688,57216,704,869376
441,1117312,297664,175296,4224,1472,1088,276480,97408,263680,244032,873280,4416,960,271104,28416,1344,2112,130112,56512,512,872192
442,1117888,294848,174592,4224,1472,1088,279680,96768,265216,245120,872768,4416,896,274368,28160,1344,2176,132416,57216,512,871680
443,1117440,293120,173952,4160,1536,1024,281344,96512,265792,246080,871360,4416,896,276224,28416,1216,2304,133440,58432,576,870336
444,1117504,297216,173504,4160,1472,1088,277248,95488,267328,247744,869760,4096,896,271936,28544,1344,2112,130880,56064,640,868672
445,1678400,295104,175488,4288,2752,423936,546368,120704,109760,89728,1588672,168896,896,540864,30272,1600,2624,178240,100288,448,1164736
446,1117440,292672,173248,4416,2688,1088,452352,107328,83648,63744,1053696,168000,960,446976,25984,1472,2304,129280,56192,640,1052608
447,1677504,295296,178048,4288,2624,1024,600448,226496,369280,349888,1327616,89408,896,594880,49600,1472,2240,343296,66560,576,1326592
448,1677504,295680,178048,4160,2624,1088,507904,195264,492736,473344,1204160,172224,1024,502592,9792,1536,2560,175360,57280,512,1203072
449,1677888,294336,174016,4224,2688,1088,447296,185472,568768,549312,1128576,178432,960,441984,960,1344,2240,94144,57984,512,1127488
450,1678272,293312,176192,4288,127168,1088,515904,320000,240320,220608,1457664,96512,896,510144,1152,1600,137344,99328,57728,448,1456576
451,1677568,291008,176000,4160,2752,1024,446720,322688,433216,413184,1264384,163328,960,441152,960,1536,2176,108416,56768,576,1263360
452,1678080,289792,176640,4160,2752,1088,446912,321024,435712,415424,1262656,164032,960,441408,1024,1536,2112,109440,58176,576,1261568
453,1677504,294912,176064,4224,4928,1088,503424,321472,371392,351808,1325696,163264,960,498112,1152,1536,2048,158528,57408,640,1324608
454,1677824,290176,177472,4288,3200,1088,436288,267392,497920,478336,1199488,163520,896,430656,960,1280,2112,99008,57408,448,1198400
455,1677824,291008,174144,4160,1472,1024,452608,265728,487680,467648,1210176,163776,1024,447232,1088,1216,2240,117312,57728,640,1209152
456,2238336,297472,174272,4288,2816,485568,1003200,194432,76288,56192,2182144,43584,1152,997632,1088,1472,546432,73856,55936,576,1696576
457,1117504,296000,174400,4160,2880,1024,294272,198848,145920,126208,991296,4480,1088,288768,1472,1344,1984,137664,55360,576,990272
458,1117696,298496,176064,4416,2880,1088,243648,195776,195328,175616,942080,4544,1024,238016,8832,1408,2176,76224,54528,576,940992
459,1117568,297216,175424,4160,2816,1088,228288,199232,209344,189376,928192,4480,896,222976,1536,1344,2176,73728,54656,640,927104
460,1117760,298496,174016,4224,2880,1152,307200,203904,125888,106112,1011648,4416,1088,301696,49152,1536,2048,148800,56704,576,1010496
461,1117248,297856,176640,4160,2688,1088,268992,203904,161920,142336,974912,4224,960,263424,1088,1408,2176,110976,58048,640,973824
462,1117696,297536,174464,4416,2752,1024,285760,210304,141440,121536,996160,4288,1024,280448,1152,1536,2176,125824,57856,576,995136
463,1117696,296896,174336,4288,2816,1088,265536,133376,239360,219520,898176,4160,1024,260096,960,1728,2048,105152,58624,576,897088
464,1117504,296320,171904,4224,2752,960,288960,138624,213760,194048,923456,4160,832,283648,1600,1280,2048,132736,58816,576,922496
465,1117504,297792,174912,4352,2816,1024,381056,137792,117760,98368,1019136,4544,896,375488,8576,1216,2304,222272,58624,576,1018112
466,1117632,298048,176128,4160,2816,1152,329216,133120,172992,153280,964352,4160,960,323840,1088,1408,2048,170496,59136,704,963200
467,1117760,297472,174208,4160,2816,74112,250560,130880,183552,163392,954368,4544,960,245184,896,1536,2176,96448,56768,640,880256
468,1117376,295872,172800,4096,153408,1152,252672,118016,119360,99328,1018048,4480,896,247168,1088,1536,2112,97344,58560,576,1016896
469,1117696,296640,172992,4096,2816,1088,248960,118016,273088,253568,864128,4352,1024,243584,1088,1408,2048,97600,57856,640,863040
470,1117376,293952,172608,4224,2624,1088,251072,103552,288256,268928,848448,4096,960,245568,1152,1280,2176,99456,57344,640,847360
471,1678336,297344,173824,4288,2752,421312,376320,102592,299904,279360,1398976,4800,1024,371008,1536,1472,2176,225664,58176,576,977664
