0x020be058 in threadGetSelf () at /home/davem/projects/devkitpro/pacman-packages/calico/src/calico-1.2.0/include/calico/system/thread.h:171
warning: 171	/home/davem/projects/devkitpro/pacman-packages/calico/src/calico-1.2.0/include/calico/system/thread.h: No such file or directory
warning: could not convert '$n' from the host encoding (CP1252) to UTF-32.
This normally should not happen, please file a bug report.
PCAD build=build-c205-camtoggle route=gNdsR2CameraFixedEnabled initial=1 perframe=1 flips=
Temporary breakpoint 1 at 0x20804b4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
Breakpoint 2 at 0x2050064: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4646.
PCADFLIP 1 -> 1
PCADHIST INIT n=1 2=0 3=0 4=0 5=1 max=26 min=26 viol=0 vbl=26 pres=1 tk=14047168
PCADF 1 vbl=26 pres=1 tk=14047168 rt=1 fx=0 fl=2 px=0 pl=2
PCADF 2 vbl=37 pres=2 tk=20208384 rt=1 fx=4 fl=2 px=4 pl=2
PCADF 3 vbl=49 pres=3 tk=26930752 rt=1 fx=8 fl=2 px=8 pl=2
PCADF 4 vbl=61 pres=4 tk=33653056 rt=1 fx=12 fl=2 px=12 pl=2
PCADF 5 vbl=75 pres=5 tk=41495872 rt=1 fx=16 fl=2 px=16 pl=2
PCADF 6 vbl=85 pres=6 tk=47097408 rt=1 fx=20 fl=2 px=20 pl=2
PCADF 7 vbl=91 pres=7 tk=50458752 rt=1 fx=24 fl=2 px=24 pl=2
PCADF 8 vbl=97 pres=8 tk=53820032 rt=1 fx=28 fl=2 px=28 pl=2
PCADF 9 vbl=104 pres=9 tk=57741312 rt=1 fx=32 fl=2 px=32 pl=2
PCADF 10 vbl=114 pres=10 tk=63343168 rt=1 fx=36 fl=2 px=36 pl=2
PCADF 11 vbl=123 pres=11 tk=68384832 rt=1 fx=40 fl=2 px=40 pl=2
PCADF 12 vbl=125 pres=12 tk=69505280 rt=1 fx=44 fl=2 px=44 pl=2
PCADF 13 vbl=127 pres=13 tk=70625344 rt=1 fx=48 fl=2 px=48 pl=2
PCADF 14 vbl=129 pres=14 tk=71745792 rt=1 fx=52 fl=2 px=52 pl=2
PCADF 15 vbl=131 pres=15 tk=72866560 rt=1 fx=56 fl=2 px=56 pl=2
PCADF 16 vbl=133 pres=16 tk=73986880 rt=1 fx=60 fl=2 px=60 pl=2
PCADF 17 vbl=135 pres=17 tk=75107072 rt=1 fx=64 fl=2 px=64 pl=2
PCADF 18 vbl=137 pres=18 tk=76227328 rt=1 fx=68 fl=2 px=68 pl=2
PCADF 19 vbl=139 pres=19 tk=77347648 rt=1 fx=72 fl=2 px=72 pl=2
PCADF 20 vbl=141 pres=20 tk=78468160 rt=1 fx=76 fl=2 px=76 pl=2
PCADF 21 vbl=143 pres=21 tk=79588416 rt=1 fx=80 fl=2 px=80 pl=2
PCADF 22 vbl=145 pres=22 tk=80708800 rt=1 fx=84 fl=2 px=84 pl=2
PCADF 23 vbl=147 pres=23 tk=81829376 rt=1 fx=88 fl=2 px=88 pl=2
PCADF 24 vbl=149 pres=24 tk=82949760 rt=1 fx=92 fl=2 px=92 pl=2
PCADF 25 vbl=151 pres=25 tk=84070144 rt=1 fx=96 fl=2 px=96 pl=2
PCADF 26 vbl=153 pres=26 tk=85190336 rt=1 fx=100 fl=2 px=100 pl=2
PCADF 27 vbl=155 pres=27 tk=86310912 rt=1 fx=104 fl=2 px=104 pl=2
PCADF 28 vbl=157 pres=28 tk=87431232 rt=1 fx=108 fl=2 px=108 pl=2
PCADF 29 vbl=159 pres=29 tk=88551680 rt=1 fx=112 fl=2 px=112 pl=2
PCADF 30 vbl=161 pres=30 tk=89672000 rt=1 fx=116 fl=2 px=116 pl=2
PCADF 31 vbl=163 pres=31 tk=90792192 rt=1 fx=120 fl=2 px=120 pl=2
PCADF 32 vbl=165 pres=32 tk=91913024 rt=1 fx=124 fl=2 px=124 pl=2
PCADF 33 vbl=167 pres=33 tk=93032896 rt=1 fx=128 fl=2 px=128 pl=2
PCADF 34 vbl=169 pres=34 tk=94153536 rt=1 fx=132 fl=2 px=132 pl=2
PCADF 35 vbl=171 pres=35 tk=95273984 rt=1 fx=136 fl=2 px=136 pl=2
PCADF 36 vbl=173 pres=36 tk=96394496 rt=1 fx=140 fl=2 px=140 pl=2
PCADF 37 vbl=175 pres=37 tk=97514368 rt=1 fx=144 fl=2 px=144 pl=2
PCADF 38 vbl=177 pres=38 tk=98634944 rt=1 fx=148 fl=2 px=148 pl=2
PCADF 39 vbl=179 pres=39 tk=99755264 rt=1 fx=152 fl=2 px=152 pl=2
PCADF 40 vbl=181 pres=40 tk=100875456 rt=1 fx=156 fl=2 px=156 pl=2
PCADF 41 vbl=183 pres=41 tk=101996160 rt=1 fx=160 fl=2 px=160 pl=2
PCADF 42 vbl=185 pres=42 tk=103116608 rt=1 fx=164 fl=2 px=164 pl=2
PCADF 43 vbl=187 pres=43 tk=104236992 rt=1 fx=168 fl=2 px=168 pl=2
PCADF 44 vbl=189 pres=44 tk=105357184 rt=1 fx=172 fl=2 px=172 pl=2
PCADF 45 vbl=191 pres=45 tk=106477568 rt=1 fx=176 fl=2 px=176 pl=2
PCADF 46 vbl=193 pres=46 tk=107598272 rt=1 fx=180 fl=2 px=180 pl=2
PCADF 47 vbl=195 pres=47 tk=108718464 rt=1 fx=184 fl=2 px=184 pl=2
PCADF 48 vbl=197 pres=48 tk=109838720 rt=1 fx=188 fl=2 px=188 pl=2
PCADF 49 vbl=199 pres=49 tk=110959168 rt=1 fx=192 fl=2 px=192 pl=2
PCADF 50 vbl=201 pres=50 tk=112079424 rt=1 fx=196 fl=2 px=196 pl=2
PCADF 51 vbl=203 pres=51 tk=113199872 rt=1 fx=200 fl=2 px=200 pl=2
PCADF 52 vbl=205 pres=52 tk=114320448 rt=1 fx=204 fl=2 px=204 pl=2
PCADF 53 vbl=207 pres=53 tk=115440640 rt=1 fx=208 fl=2 px=208 pl=2
PCADF 54 vbl=209 pres=54 tk=116561024 rt=1 fx=212 fl=2 px=212 pl=2
PCADF 55 vbl=211 pres=55 tk=117681536 rt=1 fx=216 fl=2 px=216 pl=2
PCADF 56 vbl=213 pres=56 tk=118802496 rt=1 fx=220 fl=2 px=220 pl=2
PCADF 57 vbl=215 pres=57 tk=119922176 rt=1 fx=224 fl=2 px=224 pl=2
PCADF 58 vbl=217 pres=58 tk=121042368 rt=1 fx=228 fl=2 px=228 pl=2
PCADF 59 vbl=219 pres=59 tk=122163008 rt=1 fx=232 fl=2 px=232 pl=2
PCADF 60 vbl=221 pres=60 tk=123283328 rt=1 fx=236 fl=2 px=236 pl=2
PCADF 61 vbl=223 pres=61 tk=124403712 rt=1 fx=240 fl=2 px=240 pl=2
PCADF 62 vbl=225 pres=62 tk=125523968 rt=1 fx=244 fl=2 px=244 pl=2
PCADF 63 vbl=227 pres=63 tk=126644352 rt=1 fx=248 fl=2 px=248 pl=2
PCADF 64 vbl=229 pres=64 tk=127764928 rt=1 fx=252 fl=2 px=252 pl=2
PCADF 65 vbl=231 pres=65 tk=128885376 rt=1 fx=256 fl=2 px=256 pl=2
PCADF 66 vbl=233 pres=66 tk=130005504 rt=1 fx=260 fl=2 px=260 pl=2
PCADF 67 vbl=235 pres=67 tk=131125952 rt=1 fx=264 fl=2 px=264 pl=2
PCADF 68 vbl=237 pres=68 tk=132246528 rt=1 fx=268 fl=2 px=268 pl=2
PCADF 69 vbl=239 pres=69 tk=133366592 rt=1 fx=272 fl=2 px=272 pl=2
PCADF 70 vbl=241 pres=70 tk=134487040 rt=1 fx=276 fl=2 px=276 pl=2
