f_read (fp=0x224f86c, buff=<optimized out>, btr=<optimized out>, br=<optimized out>) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:3906
warning: 3906	/home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c: No such file or directory
warning: could not convert '$n' from the host encoding (CP1252) to UTF-32.
This normally should not happen, please file a bug report.
PCAD build=build-c205-camtoggle route=gNdsR2CameraFixedEnabled initial=0 perframe=1 flips=400/401
Temporary breakpoint 1 at 0x20804b4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
Breakpoint 2 at 0x2050064: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4646.
PCADFLIP 1 -> 0
PCADHIST INIT n=1 2=0 3=0 4=0 5=1 max=26 min=26 viol=0 vbl=26 pres=1 tk=14047168
PCADF 1 vbl=26 pres=1 tk=14047168 rt=0 fx=0 fl=2 px=0 pl=2
PCADF 2 vbl=37 pres=2 tk=20208448 rt=0 fx=0 fl=4 px=0 pl=4
PCADF 3 vbl=49 pres=3 tk=26930496 rt=0 fx=0 fl=6 px=0 pl=6
PCADF 4 vbl=61 pres=4 tk=33653184 rt=0 fx=0 fl=8 px=0 pl=8
PCADF 5 vbl=75 pres=5 tk=41495744 rt=0 fx=0 fl=10 px=0 pl=10
PCADF 6 vbl=85 pres=6 tk=47097472 rt=0 fx=0 fl=12 px=0 pl=12
PCADF 7 vbl=91 pres=7 tk=50458816 rt=0 fx=0 fl=14 px=0 pl=14
PCADF 8 vbl=98 pres=8 tk=54380096 rt=0 fx=0 fl=16 px=0 pl=16
PCADF 9 vbl=105 pres=9 tk=58301440 rt=0 fx=0 fl=18 px=0 pl=18
PCADF 10 vbl=115 pres=10 tk=63903296 rt=0 fx=0 fl=20 px=0 pl=20
PCADF 11 vbl=124 pres=11 tk=68944832 rt=0 fx=0 fl=22 px=0 pl=22
PCADF 12 vbl=126 pres=12 tk=70065408 rt=0 fx=0 fl=24 px=0 pl=24
PCADF 13 vbl=128 pres=13 tk=71185728 rt=0 fx=0 fl=26 px=0 pl=26
PCADF 14 vbl=130 pres=14 tk=72305984 rt=0 fx=0 fl=28 px=0 pl=28
PCADF 15 vbl=132 pres=15 tk=73426624 rt=0 fx=0 fl=30 px=0 pl=30
PCADF 16 vbl=134 pres=16 tk=74546816 rt=0 fx=0 fl=32 px=0 pl=32
PCADF 17 vbl=136 pres=17 tk=75667328 rt=0 fx=0 fl=34 px=0 pl=34
PCADF 18 vbl=138 pres=18 tk=76787584 rt=0 fx=0 fl=36 px=0 pl=36
PCADF 19 vbl=140 pres=19 tk=77907904 rt=0 fx=0 fl=38 px=0 pl=38
PCADF 20 vbl=142 pres=20 tk=79028352 rt=0 fx=0 fl=40 px=0 pl=40
PCADF 21 vbl=144 pres=21 tk=80148800 rt=0 fx=0 fl=42 px=0 pl=42
PCADF 22 vbl=146 pres=22 tk=81269312 rt=0 fx=0 fl=44 px=0 pl=44
PCADF 23 vbl=148 pres=23 tk=82389632 rt=0 fx=0 fl=46 px=0 pl=46
PCADF 24 vbl=150 pres=24 tk=83510144 rt=0 fx=0 fl=48 px=0 pl=48
PCADF 25 vbl=152 pres=25 tk=84630080 rt=0 fx=0 fl=50 px=0 pl=50
PCADF 26 vbl=154 pres=26 tk=85750720 rt=0 fx=0 fl=52 px=0 pl=52
PCADF 27 vbl=156 pres=27 tk=86871168 rt=0 fx=0 fl=54 px=0 pl=54
PCADF 28 vbl=158 pres=28 tk=87991424 rt=0 fx=0 fl=56 px=0 pl=56
