frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117120,296832,179968,4288,1472,1152,323328,97408,212672,193280,923840,4352,1088,317696,77696,1408,1920,176064,56960,704,922688
440,1117888,299776,179584,4224,1536,1088,275392,97152,259136,239680,878208,4032,896,270208,29376,1088,2048,128640,57408,768,877120
441,1117696,302208,178368,4288,1536,1024,273024,97408,259840,240384,877312,4224,1024,267520,29056,1088,1984,126080,56768,640,876288
442,1117568,299456,179712,4288,1536,1088,278720,97024,255744,236480,881088,4544,1152,273216,29504,1216,1920,131264,56960,640,880000
443,1118016,302336,179968,4288,1472,1024,277888,96192,254848,235072,882944,4672,1024,272384,29056,1600,1984,130240,57280,512,881920
444,1677952,296448,178816,4288,1600,417856,277056,97472,404416,384448,1293504,4608,1088,271552,30016,1152,1984,129280,57536,512,875648
445,1677824,297920,179008,4160,2560,1024,549056,120000,524096,504576,1173248,175808,1152,543424,30528,1344,2368,174336,100096,576,1172224
446,1678272,296000,180160,4224,130048,1088,462784,108608,495360,475584,1202688,180288,1152,457344,27392,1408,2304,126528,56448,576,1201600
447,1677696,297984,183104,4352,2624,1088,605056,230144,353344,333440,1344256,92288,1024,599424,50176,1408,2112,345920,66240,640,1343168
448,1677888,299776,185408,4160,2624,1024,510912,198528,475456,455872,1222016,179136,1024,505216,9984,1344,2432,171584,57728,704,1220992
449,1677696,299776,179072,4224,2624,1152,451072,189760,550016,530624,1147072,185792,1024,445376,704,1216,2240,89536,57792,704,1145920
450,1678016,296000,182080,4288,2624,1152,537920,326208,327744,308032,1369984,98944,1024,532672,896,1472,161152,95424,56896,576,1368832
451,1678016,295872,184000,4288,2560,1152,447424,324416,418304,398784,1279232,169024,1024,441984,704,1344,2048,104064,57408,704,1278080
452,1677824,295488,181504,4352,2688,1088,446976,326656,419072,399744,1278080,169536,1024,441600,960,1280,2176,105984,57472,640,1276992
453,1677952,297152,181312,4288,4736,1024,504320,326784,358336,338880,1339072,168832,960,498944,960,1472,2368,154240,57792,512,1338048
454,1678080,294720,180864,4224,3264,414848,435904,273088,71168,51328,1626752,169600,1024,430592,832,1216,2176,93504,57408,640,1211904
