frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
439,1117120,291200,173952,4288,1472,1024,318272,94912,232000,212160,904960,4608,960,312768,75136,1408,2112,172480,56512,704,903936,0
440,1117824,293568,172736,4224,1408,1024,271488,94912,278464,258880,858944,4544,1024,265984,27968,1280,1984,125248,56320,704,857920,0
441,1117824,293504,172096,4224,1472,1024,273280,95744,276480,256768,861056,4864,1088,267648,28480,1344,2048,126400,56192,704,860032,0
442,1117760,293696,172672,4288,1472,1088,275072,95936,273536,253504,864256,4480,960,269824,28480,1280,2048,128064,57088,768,863168,0
443,1117184,292608,174656,4288,1472,1088,275520,95680,271872,252352,864832,4544,1024,270080,28928,1408,2048,128640,56704,768,863744,0
444,1117632,291584,174336,4160,1408,1024,272576,95936,276608,256896,860736,4544,1024,267200,29184,1472,2112,127488,55488,640,859712,0
445,1677568,289984,172480,4160,2624,1088,593344,118144,495744,476288,1201280,169792,1024,587904,30208,1344,2432,224704,100736,768,1200192,0
446,1678720,289920,173952,4224,2688,420416,448512,107328,231680,211136,1467584,169664,896,443072,25984,1664,2496,123200,56704,704,1047168,0
447,1676992,290944,179264,4224,2624,1024,595840,225664,377408,357824,1319168,91328,1024,590464,49472,1664,2496,336896,65984,640,1318144,0
448,1677824,291584,176192,4224,2624,1088,501760,193216,507136,487744,1190080,172928,1024,496256,9664,1664,2304,169472,57216,640,1188992,0
449,1677696,291904,174976,4224,2496,1088,441600,183616,577792,558144,1119552,179072,960,436224,960,1728,2432,88128,57408,512,1118464,0
450,1678272,286208,174912,4224,127488,1088,509184,325312,249856,229312,1448960,96960,960,503744,768,1536,136256,94656,56256,768,1447872,0
451,1677632,290944,174656,4096,2624,960,444544,325312,434496,414592,1263040,167168,1024,439232,896,1472,2112,103488,57408,704,1262080,0
452,1677760,290368,174848,4288,2752,1024,444608,325568,434304,414848,1262912,167552,1024,439104,896,1536,2048,104448,57728,768,1261888,0
453,1677632,287936,174848,4224,4864,1088,496192,325056,383424,363584,1314048,164608,1024,490688,832,1664,2048,152064,56768,512,1312960,0
454,1677760,288832,175936,4288,3136,1088,431552,269696,503232,483584,1194176,164800,1024,425920,896,1536,2176,93888,56704,576,1193088,0
455,1677696,288640,175744,4288,1472,960,446336,269632,490624,471168,1206528,165248,960,440960,832,1408,2304,111936,56512,768,1205568,0
456,2238528,296640,172800,4160,2688,481600,1046784,192448,41408,21248,2217280,44672,1088,1041024,768,1472,566400,70080,56704,640,1735680,0
457,1117248,294464,171904,4288,2624,1088,290240,196032,156608,136960,980288,4544,960,284864,1344,1216,2048,133504,55872,704,979200,0
458,1117888,294272,172928,4288,2752,1088,240704,193856,208000,188288,929600,4672,1088,235008,9344,1664,1984,73664,54464,576,928512,0
459,1117568,293760,174016,4160,2752,960,225600,197440,218880,198912,918656,4864,960,220160,1344,1216,2048,71808,53568,896,917696,0
460,1117504,298752,173952,4288,2816,1024,303808,203328,129536,109824,1007680,4800,960,298432,49152,1664,2112,146304,55488,640,1006656,0
461,1117376,293696,172992,4288,2688,1024,264896,203456,174336,154944,962432,4672,960,259328,1024,1472,2240,106496,57664,576,961408,0
462,1117696,294016,172864,4224,2688,1024,278912,209408,154560,134784,982912,4864,960,273600,832,1408,1984,120320,57536,704,981888,0
463,1117824,293696,172416,4288,2816,1024,258944,131392,253248,233216,884608,4544,1024,253504,896,1536,2048,100352,57280,768,883584,0
464,1117248,293440,171392,4288,2752,960,285632,136960,221824,202304,914944,4544,1024,280256,1408,1344,2240,129600,58112,576,913984,0
465,1117952,294080,171968,4352,2816,1024,375040,136576,132096,112192,1005760,4672,1024,369600,8704,1600,2176,216128,58368,576,1004736,0
466,1117440,292736,172416,4224,2624,1088,321536,133056,189760,169984,947456,4928,1024,316096,896,1280,2304,163776,58112,832,946368,0
467,1117888,292288,173184,4160,2816,71552,246784,129600,197504,177344,940544,4864,1088,241216,960,1344,2048,92416,56960,576,868992,0
468,1117120,292736,171456,4224,128896,1024,250176,116416,152192,132224,984896,4800,1088,244480,704,1408,2240,96000,57216,512,983872,0
469,1117632,292864,173120,4224,2752,1088,246080,118080,279424,259968,857664,4864,1088,240320,896,1536,2112,93056,59008,640,856576,0
470,1117312,294272,171840,4288,2688,1152,244864,102720,295488,275968,841344,4480,1024,239488,768,1408,1984,94848,56384,768,840192,0
471,1678336,293760,172032,4224,2752,420864,367360,102912,314432,294016,1384320,4416,1152,361856,1216,1536,2112,218176,57408,576,963456,0
472,1677120,287040,173056,4224,2688,1024,659072,114176,435840,415936,1261184,189952,1024,653504,1536,1472,2176,275840,103616,768,1260160,0
473,1677888,287680,174336,4160,2944,1024,532416,105664,569664,550144,1127744,206656,960,526976,49088,1408,2304,147520,89280,576,1126720,0
474,1117888,290176,174720,4288,2816,1088,517568,105088,22144,2432,1115456,208064,960,512320,1408,1472,2240,114560,107968,512,1114368,0
475,1677632,288384,173760,4160,2816,1216,532288,96640,578368,558400,1119232,189184,1088,526656,29248,1344,2176,146688,109312,768,1118016,0
476,1677952,288320,174144,4288,2944,960,533568,97408,576320,556288,1121664,190080,1088,527872,31424,1280,2240,139840,116608,704,1120704,0
477,1118016,287232,171520,4224,4992,1024,492096,96064,60864,40832,1077184,160384,1024,486528,29056,1216,2176,136192,109760,704,1076160,0
478,1117504,289472,171840,4224,5184,1024,341440,96640,207680,187200,930304,7936,1088,336064,28800,1280,2176,134528,112576,704,929280,0
479,1117184,288064,172160,4160,2688,1088,341312,96768,210944,191104,926080,7808,1024,335872,27904,1408,1984,138304,109824,576,924992,0
480,1117888,290368,173376,4224,3904,1024,339008,97216,208768,189056,928832,7680,960,333568,29632,1472,2048,135104,110592,576,927808,0
481,1117568,289536,171200,4288,5120,1152,434560,85312,126400,106368,1011200,7744,960,429056,54016,1472,2112,231936,109696,640,1010048,0
482,1117696,290560,171008,4224,3840,1024,370944,84160,191936,172032,945664,7872,1024,365440,68480,1408,2240,169920,108992,704,944640,0
483,1117504,292224,174656,4224,2688,1024,338304,85184,219200,198976,918528,4544,1088,332672,67648,1280,2112,171072,78400,640,917504,0
484,1678208,295040,171840,4224,2752,416512,347200,85184,355456,334976,1343232,4608,960,341760,71232,1344,2048,177856,80640,640,926720,0
485,1117120,293888,172992,4288,2688,1088,343616,85440,213120,192960,924160,4224,960,338304,71040,1408,2176,174912,79936,768,923072,0
486,1117504,294720,172736,4224,2688,1088,345664,84480,211904,191872,925632,4672,1024,340224,71488,1472,2112,176896,79872,768,924544,0
487,1117696,292416,176448,4288,2624,1024,348160,84480,208256,188416,929280,4608,960,342784,71296,1472,2112,177984,80576,704,928256,0
488,1117312,291392,170624,4224,128384,1024,346880,84992,89792,69760,1047552,4480,960,341568,67392,1472,2048,176448,81024,576,1046528,0
489,1117888,293376,172800,4224,2624,1088,360576,84672,198528,178496,939392,4544,1024,355072,83200,1344,2112,187904,83840,576,938304,0
490,1117248,295680,173696,4224,2624,1088,377856,85376,176704,156800,960448,4544,1024,372352,103296,1536,2112,208768,79680,768,959360,0
491,1117760,291200,175040,4352,2688,1024,444736,85888,112832,92928,1024832,4416,1024,439232,104512,1344,2240,274304,81536,640,1023808,0
492,1117312,292224,173120,4224,2688,1024,361728,84416,197888,178048,939264,4352,896,356288,104256,1216,2048,194048,79040,768,938240,0
493,1117952,289792,171904,4288,2688,960,513856,96448,38016,17984,1099968,4608,896,508416,104128,1472,1920,195264,229376,512,1099008,0
494,1117568,294080,173440,4288,5120,1024,365248,103744,170624,150976,966592,4800,960,359872,122048,1472,2176,213504,56960,576,965568,0
495,1117760,294080,172480,4288,5184,1088,367360,104320,168960,149056,968704,4672,1024,361984,122176,1408,2048,217600,57856,576,967616,0
496,1117568,290880,174272,4352,3904,960,365888,104384,172928,152640,964928,4864,896,360640,121408,1472,2112,215168,58688,640,963968,0
497,1118016,292352,171008,4224,2752,70528,363968,107392,105792,85312,1032704,4608,960,358720,121536,1472,2176,214528,57536,704,962176,0
498,1117056,291456,174080,4352,4992,1024,365376,104896,170880,151232,965824,4672,1024,359872,121024,1280,2176,215872,57536,512,964800,0
499,1678272,292416,173952,4160,4928,416960,370176,104512,311168,290752,1387520,4928,1024,364672,121728,1408,2176,221184,56640,576,970560,0
500,1116992,294976,173376,4288,1408,1088,364608,104320,172928,153216,963776,4864,1024,359296,120448,1280,2048,215936,56256,512,962688,0
501,1117568,293760,174720,4288,1408,1088,365504,104704,172096,152192,965376,4672,1024,360192,120960,1472,2112,216448,57152,640,964288,0
502,1117504,293760,172480,4288,1408,1088,360640,104704,179136,159616,957888,4544,1024,355392,121088,1472,2304,213120,56064,768,956800,0
503,1117760,292224,172608,4224,1472,1088,371072,105216,169856,150208,967552,4608,960,365632,128704,1344,2240,222400,56832,640,966464,0
504,1117504,291456,172416,4416,1536,1088,374848,103808,167936,147712,969792,4544,896,369472,127360,1536,2176,226368,57472,704,968704,0
505,1117760,291968,173376,4288,1408,1024,365696,104384,175616,155392,962368,4544,896,360320,124096,1536,2112,217280,57280,640,961344,0
506,1677760,291200,172928,4288,1472,1088,535616,103808,567360,547456,1130304,4864,1024,530368,97472,1344,2112,386816,57280,576,1129216,0
507,1117312,293312,172224,4224,1408,960,351552,104192,189440,169536,947776,4736,1024,346112,96512,1344,2112,201984,58048,768,946816,0
508,1117696,298240,173120,4288,1408,1024,318400,84800,236416,216576,901120,4672,960,313024,66496,1280,2304,168128,57728,640,900096,0
509,1678080,290816,174464,4160,127936,1088,468160,84416,527040,506432,1171648,4672,1024,462912,125504,1472,2240,320576,57920,704,1170560,0
510,1117120,292672,170496,4288,1536,1088,299584,84800,262656,243072,874048,4736,1024,294336,35648,1280,2112,153152,57344,832,872960,0
511,1117568,290944,171712,4160,1408,1088,271872,85952,290432,270528,847040,4672,960,266496,34752,1536,2112,125312,58112,640,845952,0
512,1117632,290752,171008,4352,1408,1152,270976,84544,293440,273600,844032,4480,1088,265600,34560,1344,2112,125440,57088,640,842880,0
513,1678144,292864,173760,4224,1408,417536,275072,85312,427968,407616,1270528,4480,1024,269568,34304,1280,2176,129280,57216,576,852992,0
514,1116928,292672,171456,4288,1472,1088,274304,84608,287040,267200,849728,4608,960,268736,34624,1344,2176,129280,56576,640,848640,0
515,1118144,291200,171456,4224,1472,1024,338048,86464,224256,204672,913472,4544,896,332800,36736,1472,2240,190848,58048,576,912448,0
516,1117440,291264,171520,4224,1472,1024,351360,85440,211136,191424,926016,5056,896,345984,34560,1408,2112,204992,57408,896,924992,0
