frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
439,1117440,294656,175616,4288,1472,1024,320192,94784,225408,206016,911424,4864,960,314752,76352,1216,1984,174848,55808,640,910400,0
440,1117568,294592,178624,4288,1472,1088,273344,94528,269632,249792,867776,4800,1088,267968,28736,1536,1984,126592,56320,576,866688,0
441,1117632,296512,176128,4352,1472,1088,274240,94784,269056,249472,868160,4608,960,268928,28800,1344,2176,127616,56512,704,867072,0
442,1117888,296320,176128,4288,1408,1024,275328,94912,268480,248448,869440,4672,960,269888,28544,1536,2112,129728,55552,704,868416,0
443,1117440,296000,177088,4224,1472,1024,276864,94336,266432,246848,870592,4800,896,271424,28416,1472,2176,130112,56256,640,869568,0
444,1117248,294912,176000,4224,1408,1088,273984,95104,270528,250624,866624,4992,1024,268544,28160,1280,2048,127616,56192,640,865536,0
445,1678208,293568,179392,4224,2560,420352,593472,118784,65856,45568,1632640,168768,960,588032,29696,1216,2240,226880,100096,704,1212288,0
446,1117376,292736,176256,4224,2688,1088,449920,106240,84224,64128,1053248,169024,1024,444544,26176,1280,2432,126208,56000,704,1052160,0
447,1677568,293568,179264,4224,2688,1024,596608,225664,374528,355072,1322496,90048,960,591232,49920,1536,2112,340224,66240,832,1321472,0
448,1677632,291520,179264,4288,2688,1024,506112,194816,497920,478720,1198912,174208,896,500544,9792,1536,2112,171072,57792,768,1197888,0
449,1678144,297664,177216,4160,2688,1024,446592,189632,559168,539264,1138880,183168,1024,441024,768,1536,2304,90112,56704,576,1137856,0
450,1678016,292288,177408,4352,127936,1088,512960,324608,237376,217152,1460864,96384,896,507264,896,1536,137600,97024,56192,704,1459776,0
451,1677056,291200,178432,4160,2560,1088,444672,326144,428800,409344,1267712,164736,960,439232,896,1536,2240,104768,57024,640,1266624,0
452,1678080,293632,175872,4288,2688,1024,440064,326976,433536,413760,1264320,164480,960,434752,960,1408,2112,105792,55936,640,1263296,0
453,1677568,290880,179456,4288,4736,960,498624,324800,373824,354112,1323456,164416,960,493120,768,1600,1920,153920,57664,576,1322496,0
454,1677888,289472,178688,4288,3264,1024,433984,269632,497536,478144,1199744,165440,960,428608,896,1536,2112,95808,56576,704,1198720,0
455,1677504,289856,177728,4160,1472,1024,449664,270592,483008,463488,1214016,164864,1024,444352,832,1536,2176,114304,57088,576,1212992,0
456,2238464,300992,176384,4288,2688,477248,1049920,193152,33792,13632,2224832,43456,1024,1044352,768,1344,567808,72128,55104,576,1747584,0
457,1117440,295744,177856,4288,2752,1024,291008,198720,146048,125952,991488,4672,1024,285696,1280,1408,2112,134720,54784,640,990464,0
458,1117440,298688,176576,4288,2688,1024,240064,194752,199360,179200,938240,4992,1024,234816,8960,1408,1984,75584,53056,512,937216,0
459,1117568,296320,178432,4288,2688,1088,226816,197184,210752,191168,926400,4864,1024,221568,1344,1408,2176,72512,53696,832,925312,0
460,1117696,296832,178688,4288,2688,1088,304448,203840,125824,106240,1011456,4800,960,299328,49408,1344,2176,147776,55936,704,1010368,0
461,1117440,296000,178624,4288,2688,1024,267072,202880,164864,145280,972160,4544,896,261440,768,1472,2112,108160,59008,704,971136,0
462,1117824,296384,176000,4288,2624,1088,281600,208576,147264,127488,990336,4672,1088,276288,896,1408,1984,122176,58560,576,989248,0
463,1117632,293376,176704,4288,2816,1024,263616,131456,244352,224512,893120,4864,960,258176,896,1536,2176,103168,58432,768,892096,0
464,1117312,297024,175104,4288,2688,1152,284864,135296,216896,196992,920320,4864,1024,279680,1472,1216,2112,130624,56384,576,919168,0
465,1117568,296832,176064,4288,2752,1088,373696,135680,127168,107840,1009728,4992,896,368256,8768,1408,2112,216512,57088,704,1008640,0
466,1117376,296768,174976,4288,2816,1024,322560,132160,182784,163456,953920,4608,1024,317184,960,1600,2176,165440,57984,512,952896,0
467,1117952,293440,177728,4288,2752,70912,247936,131776,189120,168960,948992,4544,1088,242560,896,1408,2112,93632,57216,640,878080,0
468,1117120,296256,175360,4352,128960,1024,247168,116544,147456,127872,989248,4608,960,241728,960,1472,2176,94080,57088,768,988224,0
469,1117376,294208,177984,4288,2752,960,247104,117184,272896,253760,863616,4480,960,241792,896,1472,2176,94784,58368,576,862656,0
470,1117824,295808,177856,4288,2688,1088,246720,102784,286592,266944,850880,4736,1024,241152,832,1408,1920,96256,57024,576,849792,0
471,1677888,295360,177152,4288,2624,417728,370176,100800,309760,289472,1388416,4928,1024,364736,1280,1408,1920,221440,57344,640,970688,0
472,1677440,291904,175296,4288,2688,1088,658688,112512,430976,411392,1266048,188928,1024,653376,1408,1344,2240,276928,103680,832,1264960,0
473,1677824,291456,178752,4224,2688,1088,529472,105536,564608,544896,1132928,203840,1024,524032,49728,1536,2048,148736,88704,704,1131840,0
474,1117888,290560,174784,4288,2880,1024,518528,105088,20736,896,1116992,208576,896,513280,1472,1472,2176,115968,107072,704,1115968,0
475,1677376,293312,177536,4288,2816,1088,532864,97664,567808,547712,1129664,188928,896,527616,28928,1408,2048,147136,109824,832,1128576,0
476,1677824,291776,176000,4160,2752,1024,532800,97280,572032,552576,1125248,188928,960,527488,31552,1280,2112,140672,117568,832,1124224,0
477,1117952,290048,176256,4160,5056,1088,493632,96320,51392,30976,1086976,161152,960,487936,28928,1344,2048,137792,108992,768,1085888,0
478,1117248,292544,175936,4352,4992,1088,341504,95872,200960,180864,936384,7808,960,336128,28800,1280,2176,135360,112960,768,935296,0
479,1117376,291968,175616,4288,2752,1024,341696,95808,204224,184448,932928,7680,960,336448,28544,1408,2112,138944,109632,704,931904,0
480,1117632,291968,178240,4288,3840,1024,340096,97088,201088,181056,936576,7424,1024,334784,29568,1408,2240,136064,110848,704,935552,0
481,1117312,291584,177408,4352,4992,1024,436096,85120,116736,97024,1020288,7744,960,430848,54528,1280,2112,234112,109056,704,1019264,0
482,1117440,291008,176896,4288,4096,1088,370880,84032,185152,165568,951872,7744,960,365568,68544,1536,2240,170368,107456,704,950784,0
483,1117952,297280,176384,4224,2688,1024,337920,82944,215488,195648,922304,4480,896,332544,68480,1472,2048,171520,78144,832,921280,0
484,1677952,296000,176320,4224,2752,419072,346944,83840,348800,328192,1349760,4480,960,341696,71296,1344,2048,180416,78400,704,930688,0
485,1117248,299072,176704,4160,2560,1024,345920,84480,203328,183680,933568,4608,896,340480,71616,1408,2240,177280,80128,768,932544,0
486,1117824,297088,175360,4352,2688,1088,346880,83712,206656,186496,931328,4736,960,341440,71552,1344,2112,178944,79232,704,930240,0
487,1117184,294016,175744,4288,129856,1088,349888,84288,78016,58048,1059136,4672,960,344192,71680,1408,2048,180032,80640,832,1058048,0
488,1117696,297088,178304,4160,2624,1088,346624,85504,202304,182592,935104,4672,960,341248,67328,1216,2112,178368,79424,704,934016,0
489,1117248,295808,176256,4224,2688,1088,362688,83648,190848,171648,945600,4608,960,357184,84544,1344,2176,190592,83008,768,944512,0
490,1117760,296896,175616,4352,2624,1024,378560,84608,174080,154176,963584,4864,896,373056,103296,1152,2112,210816,79424,640,962560,0
491,1117760,292416,175680,4288,2624,1024,446272,83776,111680,91776,1025984,4480,1024,440896,105472,1216,2176,277568,80384,640,1024960,0
492,1117504,296320,175616,4288,2688,1152,363008,84032,190400,170624,946880,4480,960,357632,105536,1344,2112,196352,78400,640,945728,0
493,1117504,292480,177024,4224,2752,1152,514496,95872,29504,9600,1107904,4416,1024,509120,105792,1280,1984,198656,227712,512,1106752,0
494,1117504,296000,176960,4288,5248,1088,366592,104448,162880,143104,974400,4928,1088,361152,122752,1152,2176,215232,56960,768,973312,0
495,1117760,296448,175936,4224,4992,1024,367552,103232,164352,144320,973440,4608,960,361984,120896,1344,2176,217536,57664,576,972416,0
496,1117568,296128,175040,4352,3968,1088,363648,104128,169216,149184,968384,4736,960,358016,120832,1216,1984,214656,57088,768,967296,0
497,1117824,299008,175296,4288,2624,69824,365696,105984,95104,74688,1043136,4864,960,360448,121536,1344,2112,216960,56640,768,973312,0
498,1117056,294976,179456,4288,4736,1024,366912,103744,161920,142016,975040,4672,960,361216,120896,1216,2176,216256,57728,704,974016,0
499,1678016,294912,175360,4224,4992,415168,369920,104832,308608,288384,1389632,4352,1024,364544,121984,1280,2048,221952,56960,768,974464,0
500,1117376,295296,176384,4224,1536,960,368640,103680,166656,147072,970304,4992,1024,363008,121216,1600,2304,217920,58048,576,969344,0
501,1117312,296064,176576,4352,1600,1024,367872,103872,165952,146368,970944,4928,960,362496,121408,1472,2240,218240,57216,512,969920,0
502,1117760,294912,175360,4288,1472,1024,363008,103232,174464,154944,962816,4864,1024,357632,121216,1536,1984,214720,56512,640,961792,0
503,1117440,295936,175744,4352,1536,1024,372992,104832,161024,140928,976512,4736,960,367616,129600,1280,1920,224832,56896,576,975488,0
504,1117696,294912,177856,4288,1536,960,377536,104576,156032,136000,981696,4608,960,372160,127616,1280,2048,229696,57536,704,980736,0
505,1117568,294592,177216,4288,1472,1088,366848,103616,168448,148608,968960,4736,960,361408,123584,1408,2112,218048,57280,576,967872,0
506,1677440,296832,176960,4224,1536,1088,535616,103360,557824,538496,1138944,4800,1024,530176,97408,1472,2048,387520,56256,640,1137856,0
507,1117440,295744,176192,4224,1472,1024,351104,102784,184896,165376,952064,4672,960,345792,95424,1280,2112,201664,57600,704,951040,0
508,1117824,296640,173632,4224,127744,1088,326336,85440,102720,82048,1035776,4736,960,320960,68224,1408,2048,171584,62144,768,1034688,0
509,1117632,294976,176000,4160,1408,1088,471424,84544,84032,64192,1053440,4736,1024,466112,126848,1536,2240,324096,57472,832,1052352,0
510,1116992,294080,175360,4160,1472,1088,299648,84928,256256,236608,880384,4928,1024,294272,35200,1344,2304,154560,56320,704,879296,0
511,1117952,296704,176704,4224,1472,1024,271488,84544,281792,262272,855680,4736,960,266112,34112,1408,2240,126144,56448,576,854656,0
512,1117632,295232,174720,4288,1472,1024,273024,84544,283328,263872,853760,4800,960,267520,34368,1536,2176,126976,56896,768,852736,0
513,1117440,295552,174592,4288,1408,1024,276544,85504,278528,258624,858816,4992,1024,271232,34624,1408,2048,130944,57216,704,857792,0
514,1677952,294336,177728,4224,1536,417152,276800,84928,421248,401536,1276416,4544,960,271616,34368,1344,2048,131264,57088,832,859264,0
515,1117504,298112,174592,4224,1344,1024,338432,84736,215040,195264,922240,4672,1024,332992,36096,1344,2240,191872,58112,576,921216,0
516,1117376,293824,177472,4288,1536,1088,353984,84608,200576,180864,936512,4416,960,348352,33792,1536,2176,207616,57728,576,935424,0
517,1117632,297024,174080,4288,1408,1088,285952,83328,270464,250944,866688,4608,960,280448,34560,1408,2176,140288,57600,576,865600,0
518,1117888,293248,176704,4352,1472,1088,351040,84736,205248,185536,932352,4416,1088,345472,35200,1344,2176,205312,57408,576,931264,0
519,1117376,295680,177152,4224,1408,1088,389440,85184,163200,143360,974016,4672,960,384000,36992,1472,2176,243456,56704,768,972928,0
520,1677824,295808,178240,4288,2688,1152,585344,103552,506752,486976,1190848,4480,960,579776,36672,1408,2048,405696,86720,832,1189696,0
521,1677888,291904,177152,4224,2752,1024,646080,109504,445248,425344,1252544,4608,1024,640576,84928,1216,2112,456832,96640,832,1251520,0
522,1117696,294208,176384,4288,2752,960,336000,116224,186880,166976,950720,4608,960,330560,54720,1600,2112,145984,93184,768,949760,0
523,1117312,331072,177472,4288,2624,1024,437184,115392,48256,28224,1089088,4480,960,431808,75968,1472,2240,250816,92224,704,1088064,0
524,1117312,317056,176576,4352,2752,1088,374016,115136,126336,107072,1010240,4544,960,368768,93952,1408,2112,187200,93248,704,1009152,0
525,1117312,320704,178240,4288,2816,1024,395904,115072,99264,79808,1037504,4288,960,390464,112896,1408,2176,207168,94976,640,1036480,0
526,1117824,322688,176256,4224,2688,1152,391936,114048,104832,85248,1032576,4544,1024,386432,112640,1536,2176,205952,91840,512,1031424,0
527,1117632,322112,176640,4160,2752,70912,394368,118272,28416,8256,1109376,4352,960,388928,114368,1280,2240,210496,90048,704,1038464,0
528,1678208,319616,177600,4288,2816,415872,394880,120256,242880,222208,1456000,4416,960,389504,113600,1152,2240,210304,91072,640,1040128,0
529,1676928,323968,176704,4288,128640,1024,395648,115776,530880,510912,1166016,4608,960,390208,114496,1280,2112,211392,90624,512,1164992,0
530,1677952,320832,177280,4224,2816,1152,654144,146432,371072,351680,1326272,7360,1088,648704,114752,1408,2112,418240,100992,704,1325120,0
531,1117440,323328,176384,4224,2816,960,435200,144832,29696,9792,1107648,7104,960,429952,117632,1536,1920,210880,91328,640,1106688,0
532,1117824,323904,177408,4352,5120,1088,408832,137344,59776,40000,1077824,7232,1024,403264,89920,1536,1984,185472,90624,576,1076736,0
533,1117760,322560,176768,4288,5184,1024,398144,136448,73344,53440,1064320,7040,960,392448,68672,1536,1984,167680,99008,704,1063296,0
534,1117504,322176,175360,4288,2688,1088,389184,127104,95616,75712,1041792,6912,1024,383552,69824,1344,1984,166208,89664,576,1040704,0
535,1117568,323456,176960,4224,2624,1024,383360,121472,104448,84800,1032768,7168,960,377792,67456,1472,2112,160960,90752,640,1031744,0
536,1117696,323392,177216,4288,4864,1024,385408,107968,113536,93376,1024320,6912,960,380096,65664,1344,2112,163648,90880,640,1023296,0
537,1117760,323008,175616,4352,4928,1024,380864,108352,119616,98624,1019136,6912,960,375488,64704,1408,1984,162688,90944,768,1018112,0
538,1117248,320896,178688,4224,3904,1088,402880,108096,97472,77632,1039616,7168,1024,397376,65280,1472,2048,164224,90112,640,1038528,0
539,1117504,321920,183296,4352,2688,960,392640,107136,104512,84544,1032960,7296,1024,387328,65792,1664,2112,163328,89280,640,1032000,0
540,1677568,294400,183232,4352,2880,1088,534912,115584,541120,521408,1156160,7488,1024,529472,65408,1728,2240,162688,225856,960,1155072,0
541,1117760,295360,184576,4352,4928,1024,353792,116416,157312,137728,980032,7296,960,348224,31104,1472,2112,132288,76864,640,979008,0
542,1677952,295424,184128,4224,3968,414080,433408,115712,227008,206656,1471296,6912,1088,428032,30976,1344,2112,210432,77632,768,1057216,0
543,1116928,295168,184512,4352,2688,1024,351232,115392,162560,142848,974080,7168,1024,345984,31168,1280,1984,130880,77504,576,973056,0
544,1117504,293440,185536,4288,2688,1088,355328,106688,168448,148608,968896,6912,1024,349952,30848,1408,2240,131136,77440,576,967808,0
545,1117824,293760,177600,4288,2624,1088,337344,105088,196032,175936,941888,7232,1024,331904,30848,1536,2112,130880,76544,576,940800,0
546,1117440,292288,178560,4224,2560,1088,343104,107520,188096,167872,949568,7168,960,337856,30528,1472,2048,134912,78272,704,948480,0
547,1117312,292672,177536,4288,2624,1088,467776,106368,64960,45376,1071936,7296,1024,462272,30656,1408,2176,261504,76672,640,1070848,0
548,1117696,298496,176960,4224,2688,1024,384768,95552,153984,134272,983424,7360,960,379328,30912,1536,2240,176960,78336,704,982400,0
549,1677888,295488,183744,4288,131776,1024,418496,94976,548096,528192,1149696,7232,960,413120,32064,1344,1984,185728,77696,768,1148672,0
550,1677568,293632,185472,4352,2752,1024,557120,107776,525440,505856,1171712,7232,960,551616,75968,1472,2048,322304,91776,832,1170688,0
551,1117568,291200,183680,4224,2944,1088,396096,113216,125120,105536,1012032,7168,1088,390656,66944,1280,2048,156096,94464,576,1010944,0
552,1117376,291776,180928,4288,2816,1088,405952,113856,116672,96640,1020736,6976,1024,400448,72512,1344,2240,168576,93184,896,1019648,0
553,1678016,292288,183808,4288,3776,1152,648320,120832,423552,403520,1274496,7232,960,642880,79424,1344,2112,394944,108992,768,1273344,0
554,1117312,295232,184320,4352,2880,1024,429184,120896,79424,60096,1057216,7360,1024,423680,82112,1536,1984,186944,97856,704,1056192,0
555,1678080,293376,184000,4288,4032,421440,414720,121216,235008,214656,1463424,6976,1088,409088,77568,1344,2048,178368,97664,832,1041984,0
556,1117568,292736,175808,4288,4992,960,410688,126784,101312,81344,1036224,6784,1024,405312,76096,1408,2048,173888,104384,768,1035264,0
557,1117824,296000,176448,4288,3968,71680,407040,129920,28480,7936,1109888,6848,896,401664,76736,1344,2048,178176,95872,640,1038208,0
558,1117184,295296,176832,4416,2752,1024,400448,128192,108224,88320,1028864,7168,960,395136,74880,1344,2048,170176,97088,576,1027840,0
559,1117312,291392,175872,4352,2816,1024,390592,124864,126400,106752,1010560,6976,960,385216,73216,1472,2112,162816,95040,704,1009536,0
560,1117568,293824,177664,4288,3904,1024,397248,128320,111296,91584,1025984,7232,1024,391808,75072,1536,2112,164672,99968,640,1024960,0
561,1117440,292096,175872,4224,4800,1088,391488,121536,126336,106240,1011200,6848,960,386048,75648,1280,2112,167488,92544,768,1010112,0
562,1117888,293312,175936,4224,3968,1024,377664,111296,150464,130496,987392,5824,960,372352,76032,1536,1856,165632,97856,576,986368,0
563,1117568,293376,175936,4416,4928,1024,346176,111680,180032,160000,957568,4352,1024,340672,67136,1216,2176,161088,92288,832,956544,0
564,1117312,293056,177472,4160,4800,1024,348608,104192,184000,164288,953024,4416,960,342976,66688,1472,2048,161856,93056,768,952000,0
565,1117504,293760,177408,4224,1472,1024,346432,85248,207936,188160,929344,4608,1024,341056,67904,1408,2176,161920,92096,768,928320,0
