frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
439,1117248,291200,175680,4288,1408,1024,322048,94912,226688,206848,910400,4352,960,316672,75712,1472,2048,175104,57088,576,909376,0
440,1117312,292480,176064,4224,1472,1024,273856,95680,272512,253120,864192,4992,1024,268352,28736,1408,2048,127296,56704,448,863168,0
441,1117632,292096,176064,4288,1472,1024,273408,94528,274752,254848,862784,4480,960,268160,28032,1280,2048,127168,56448,704,861760,0
442,1117696,289280,174528,4224,1472,1088,275840,95616,275648,256000,861696,4544,896,270592,28672,1472,2176,129664,55872,640,860608,0
443,1117376,292160,174720,4224,1408,960,278592,95232,270080,250624,866752,4608,1024,273280,28864,1280,2112,130752,57280,576,865792,0
444,1117440,290176,177472,4288,1472,1088,272640,94848,275456,256064,861376,4608,896,267456,28288,1280,2112,127808,55872,896,860288,0
445,1677952,287232,176192,4288,2624,419584,592384,117440,78208,58240,1619712,167936,1024,586880,29824,1408,2240,226368,100160,640,1200128,0
446,1117376,290368,175040,4352,2752,1088,451648,106560,85568,65920,1051456,170688,1152,446080,26048,1344,2304,126272,55488,640,1050368,0
447,1677504,288896,178816,4288,2496,1088,595392,224896,381632,362240,1315264,89920,896,589952,49920,1408,2240,339520,65408,704,1314176,0
448,1677952,288768,178368,4288,2688,1024,504896,193984,503936,484416,1193536,175616,1024,499264,9856,1536,2176,170304,56768,576,1192512,0
449,1677568,289472,174720,4352,2560,1088,447680,184832,572864,553280,1124288,183424,1024,442176,832,1664,2240,90560,56448,704,1123200,0
450,1678208,286848,178560,4352,2688,1024,509376,329472,365888,346048,1332160,97088,960,503872,832,1600,135168,96832,56192,768,1331136,0
451,1677120,287808,178176,4288,130304,1024,441344,324800,309376,289856,1387264,164352,1088,435840,768,1408,2176,103616,55616,704,1386240,0
452,1678464,285632,175168,4288,2752,1024,441088,323584,444928,424960,1253504,164480,960,435584,896,1472,2368,106048,56704,768,1252480,0
453,1677248,286784,175808,4288,4928,1088,498368,324224,381760,362816,1314432,163648,960,492928,832,1600,2112,154112,57344,576,1313344,0
454,1678016,286528,175552,4224,3264,1088,434240,270784,502336,482880,1195136,165632,1024,428992,832,1536,2112,96640,56576,768,1194048,0
455,1677760,285568,175872,4288,1472,1024,449024,270336,490176,470336,1207424,165312,1024,443904,832,1536,1984,113600,56448,640,1206400,0
456,2238336,294528,176000,4288,2688,483072,1050688,193088,33984,13696,2224640,43200,1088,1045312,896,1600,569536,72000,54656,640,1741568,0
457,1117440,292288,175936,4224,2688,1088,290112,197824,153280,133504,983936,4480,1088,284736,1280,1472,2112,133568,55104,768,982848,0
458,1117632,291520,175424,4288,2752,1024,241984,193728,206912,187200,930432,4736,960,236544,8832,1408,1920,75648,54016,640,929408,0
459,1117248,291456,173760,4224,2688,1024,226944,197184,219968,200448,916800,4928,960,221568,1408,1472,2048,72512,54336,448,915776,0
460,1117696,292992,175808,4352,2688,1088,306944,202368,131456,111488,1006208,4928,1024,301504,50432,1472,2176,148736,56192,640,1005120,0
461,1117120,290496,176576,4352,2880,1088,265792,202752,173184,153856,963264,4928,1088,260416,704,1408,2304,107584,57408,640,962176,0
462,1117696,291328,174784,4352,2624,1024,281536,208320,153728,133952,983744,4864,960,276096,832,1728,2112,121792,57408,832,982720,0
463,1117632,292992,174464,4352,2752,1088,262912,131136,247936,228480,889152,4544,960,257472,832,1472,2240,103552,58240,576,888064,0
464,1117056,293248,175616,4288,2624,1088,285760,136064,218368,199232,917824,4416,960,280576,1472,1280,1984,131008,56960,704,916736,0
465,1118208,290176,176768,4224,2688,1088,373760,136832,132672,112768,1005440,4608,896,368256,8576,1472,1984,216256,58240,704,1004352,0
466,1117184,293056,174336,4160,2560,960,323776,131008,187328,167552,949632,4608,960,318592,768,1472,2240,165312,59072,640,948672,0
467,1117760,293248,175360,4352,2816,72384,248448,129408,191744,171456,946304,4800,960,243136,704,1280,2176,94528,56000,768,873920,0
468,1117440,289984,175680,4288,2688,1024,247424,115776,280576,260928,856512,4672,896,241920,896,1344,1920,94784,56832,512,855488,0
469,1117376,290624,173696,4288,128832,1088,250624,116672,151552,131968,985408,4736,896,245376,896,1472,2048,98304,58944,640,984320,0
470,1117376,290944,173888,4288,2688,1088,248000,102080,294400,275520,841856,4544,960,242560,832,1408,2176,96448,57792,704,840768,0
471,1678144,292800,174592,4288,2752,418688,370432,100928,313664,293632,1384512,4672,960,365312,1344,1408,2112,220224,57728,704,965824,0
472,1677760,285248,174656,4224,2752,1088,657792,113408,438592,418816,1258944,189696,896,652352,1472,1408,2112,276992,102592,704,1257856,0
