site_pc,caller,callee,kind
0x02001030,__ds9_bootstub_trampoline,__libc_init_array,call
0x020010b0,crt0ProcessLoadList,crt0CopyMem32,call
0x020010cc,crt0ProcessLoadList,crt0FillMem32,call
0x020010ec,crt0Startup,crt0SetupMPU,call
0x020010fc,crt0Startup,crt0CopyMem32,call
0x0200114c,crt0Startup,crt0ProcessLoadList,call
0x02001150,crt0Startup,armDCacheFlushAll,call
0x02001154,crt0Startup,armICacheInvalidateAll,call
0x020011a0,crt0Startup,_threadInit,call
0x020011a4,crt0Startup,_pxiInit,call
0x020011a8,crt0Startup,systemStartup,call
0x020011e8,crt0Startup,crt0ProcessLoadList,call
0x020011f0,crt0Startup,crt0ProcessLoadList,call
0x020011f4,crt0Startup,armDCacheFlushAll,call
0x020011f8,crt0Startup,armICacheInvalidateAll,call
0x01ff8800,ndsRendererRecordTextureState,ndsRendererSyncTextureTile,tail
0x01ff8910,ndsRendererRecordSetTile,ndsRendererSyncTextureTile,tail
0x01ff892c,ndsRendererRecordSetTile,ndsRendererSyncTextureTile,tail
0x01ff8948,ndsRendererRecordSetTile,ndsRendererSyncTextureTile,tail
0x01ff89fc,ndsRendererRecordSetTileSize,ndsRendererSyncTextureTile,tail
0x01ff8cb0,ndsRendererRecordLoadBlock,ndsRendererCaptureTextureLoad.part.0,tail
0x01ff8df0,ndsRendererTask36ReplayRun,ndsRendererNativeStageBeginRun.part.0,call
0x01ff8f54,ndsRendererTask36ReplayRun,ndsEffectPacketRecord,call
0x01ff8f6c,ndsRendererTask36ReplayRun,ndsRendererTask36ReplayRecord,call
0x01ff9198,ndsRendererHardwareSubmitVertex,ndsEffectPacketRecord,call
0x01ff92bc,ndsRendererHardwareSubmitVertex,ndsEffectPacketRecord,call
0x01ff92dc,ndsRendererHardwareSubmitVertex,ndsRendererHardwareClipVertex,tail
0x01ff9338,ndsRendererHardwareSubmitVertex,ndsRendererTask36ReplayRecord,call
0x01ff935c,ndsRendererHardwareSubmitVertex,ndsEffectPacketRecord,call
0x01ff93a8,ndsRendererHardwareSubmitVertex,ndsRendererHardwarePackedVertexColor,call
0x01ff93d4,ndsRendererHardwareSubmitVertex,ndsRendererTask36ReplayRecord,call
0x01ff949c,ndsRendererHardwareSubmitVertex,ndsRendererTask36ReplayRecord,call
0x01ff9528,ndsRendererHardwareSubmitVertex,ndsRendererHardwareClipVertexNdcDepth,tail
0x01ff9a1c,ndsRendererMtxLoadN64ToDS20p12,memset,call
0x01ff9b44,ndsRendererNativeApplyStateDelta,ndsRendererApplyMatrixMoveWordCommand.part.0,tail
0x01ff9b5c,ndsRendererNativeApplyStateDelta,ndsRendererRecordOtherMode,tail
0x01ff9ba4,ndsRendererNativeApplyStateDelta,ndsRendererRecordTextureState,tail
0x01ff9c40,ndsRendererNativeApplyStateDelta,ndsRendererRecordSetTile,tail
0x01ff9c98,ndsRendererNativeApplyStateDelta,ndsRendererRecordLoadBlock,tail
0x01ff9cac,ndsRendererNativeApplyStateDelta,ndsRendererRecordSetTileSize,tail
0x01ff9d84,ndsRendererNativeApplyStateSpan,ndsRendererNativeApplyStateDelta,call
0x01ff9d94,ndsRendererNativeApplyStateSpan,ndsRendererHardwareEndBatch.part.0,call
0x01ffa068,ndsRendererSubmitHardwareTriangle,ndsRendererEnsureTransformedVertex.part.0,call
0x01ffa084,ndsRendererSubmitHardwareTriangle,ndsRendererEnsureTransformedVertex.part.0,call
0x01ffa0a0,ndsRendererSubmitHardwareTriangle,ndsRendererEnsureTransformedVertex.part.0,call
0x01ffa18c,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareColorSource,call
0x01ffa198,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareUseMaterialColor,call
0x01ffa1a4,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareUseVertexColor,call
0x01ffa1bc,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareAlpha,call
0x01ffa1c8,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareAlphaUsesVertex,call
0x01ffa1f0,ndsRendererSubmitHardwareTriangle,ndsRendererHardwarePolyFmt,call
0x01ffa4a8,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareAlpha,call
0x01ffa51c,ndsRendererSubmitHardwareTriangle,ndsRendererLoadHardwareRawComposedMatrix,call
0x01ffa568,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareBeginTriangleBatch,call
0x01ffa5b8,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareSubmitVertex,call
0x01ffa5cc,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareSubmitVertex,call
0x01ffa5e0,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareSubmitVertex,call
0x01ffa6c4,ndsRendererSubmitHardwareTriangle,ndsRendererHardwarePolyFmt,call
0x01ffa6f0,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareUseTexture,call
0x01ffa978,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareTextureImplicitStateOn,call
0x01ffa9a0,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareResolveOrBindTexture,call
0x01ffaa70,ndsRendererSubmitHardwareTriangle,ndsRendererLoadHardwareMatrices,call
0x01ffaab8,ndsRendererSubmitHardwareTriangle,ndsRendererLoadHardwareMatrices,call
0x01ffaac0,ndsRendererSubmitHardwareTriangle,cpuGetTiming,call
0x01ffaadc,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareResolveOrBindTexture,call
0x01ffaae4,ndsRendererSubmitHardwareTriangle,cpuGetTiming,call
0x01ffab48,ndsRendererSubmitHardwareTriangle,ndsRendererHardwareSubmitNearClippedTriangle,call
0x01ffade8,ndsRendererScanList,ndsRendererResolveDataPointer,call
0x01ffadf8,ndsRendererScanList,ndsRendererMtxLoadN64ToDS20p12,call
0x01ffae68,ndsRendererScanList,ndsRendererComposeMatrix,call
0x01ffb004,ndsRendererScanList,ndsRendererTask36ReplayRecord,call
0x01ffb020,ndsRendererScanList,ndsEffectPacketRecord,call
0x01ffb100,ndsRendererScanList,ndsRendererRecordOtherMode,call
0x01ffb154,ndsRendererScanList,ndsRendererSubmitHardwareTriangle,call
0x01ffb178,ndsRendererScanList,ndsRendererSubmitHardwareTriangle,call
0x01ffb1c8,ndsRendererScanList,ndsRendererExecuteFastRawCurrentRun.constprop.0,call
0x01ffb248,ndsRendererScanList,ndsRendererRecordSetTile,call
0x01ffb328,ndsRendererScanList,ndsRendererCaptureTextureLoad.part.0,call
0x01ffb3cc,ndsRendererScanList,ndsRendererApplyMatrixMoveWordCommand.part.0,call
0x01ffb5ac,ndsRendererScanList,ndsRendererCaptureTextureLoad.part.0,call
0x01ffb61c,ndsRendererScanList,ndsRendererRecordSetTileSize,call
0x01ffb854,ndsRendererScanList,ndsRendererHardwarePrepareLitDirection,call
0x01ffb8a0,ndsRendererScanList,ndsRendererDecodeInputVertex.part.0,call
0x01ffbcb0,ndsRendererScanList,ndsRendererSyncTextureTile,call
0x01ffbf84,ndsRendererScanList,ndsRendererScanList,call
0x01ffbfdc,ndsRendererScanList,cpuGetTiming,call
0x01ffc054,ndsRendererScanList,ndsRendererSubmitHardwareTriangle,call
0x01ffc078,ndsRendererScanList,ndsRendererSubmitHardwareTriangle,call
0x01ffc124,ndsRendererScanList,ndsRendererRecordTransformedTriangle,call
0x01ffc134,ndsRendererScanList,ndsRendererRecordTransformedTriangle,call
0x01ffc13c,ndsRendererScanList,cpuGetTiming,call
0x01ffc168,ndsRendererScanList,cpuGetTiming,call
0x01ffc19c,ndsRendererScanList,cpuGetTiming,call
0x01ffc1a8,ndsRendererScanList,cpuGetTiming,call
0x01ffc1e0,ndsRendererScanList,ndsRendererSubmitHardwareTriangle,call
0x01ffc1f0,ndsRendererScanList,cpuGetTiming,call
0x01ffc228,ndsRendererScanList,cpuGetTiming,call
