pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x01ff81e8,114021,8810,14923
0x01ff8220,468,18,9
0x01ff82cc,2217236,179937,301928
0x01ff8464,260994,16707,21857
0x01ff85c4,324239,21391,28489
0x01ff8620,17857,903,908
0x01ff8674,112125,5829,5856
0x01ff876c,58200,3043,3046
0x01ff8800,58200,3043,3046
0x01ff8804,39164,2026,2039
0x01ff8910,10912,565,572
0x01ff892c,14244,734,733
0x01ff8948,14008,727,734
0x01ff8950,14032,730,740
0x01ff89fc,14032,730,740
0x01ff8a04,2418,126,144
0x01ff8bd0,155,8,19
0x01ff8c54,13933,723,726
0x01ff8cb0,13932,723,726
0x01ff8cb8,436,19,44
0x01ff8d58,52801,2640,2640
0x01ff8df0,52800,2640,2640
0x01ff8fb8,720,48,192
0x01ff9198,648,48,120
0x01ff92bc,720,48,192
0x01ff935c,720,48,192
0x01ff93a8,556,44,144
0x01ff9a00,5983,351,277
0x01ff9a1c,5983,351,277
0x01ff9b00,303433,15680,15680
0x01ff9b44,44144,2240,2240
0x01ff9b5c,21744,1120,1120
0x01ff9ba4,58176,3040,3040
0x01ff9c40,38688,2000,2000
0x01ff9c98,13908,720,720
0x01ff9cac,13908,720,720
0x01ff9dac,29193,1462,1475
0x01ff9ee4,240,16,64
0x01ffa068,240,16,64
0x01ffa084,240,16,64
0x01ffa0a0,240,16,64
0x01ffa18c,80,4,12
0x01ffa198,80,4,12
0x01ffa1a4,80,4,12
0x01ffa1bc,80,4,12
0x01ffa1c8,80,4,12
0x01ffa1f0,76,4,8
0x01ffa4a8,20,0,20
0x01ffa568,240,16,64
0x01ffa5b8,240,16,64
0x01ffa5cc,240,16,64
0x01ffa5e0,240,16,64
0x01ffa6c4,24,0,24
0x01ffa6f0,80,4,12
0x01ffa978,76,4,8
0x01ffaab8,240,16,64
0x01ffaac0,76,4,8
0x01ffaadc,76,4,8
0x01ffaae4,76,4,8
0x01ffabcc,80,4,12
0x01ffb020,80,4,12
0x01ffb100,200,14,34
0x01ffb154,88,4,20
0x01ffb178,88,4,20
0x01ffb248,168,10,22
0x01ffb5ac,76,4,8
0x01ffb61c,76,4,8
0x01ffb8a0,556,44,144
0x01ffbcb0,80,4,12
0x01ffbfdc,80,4,12
0x01ffc054,32,4,12
0x01ffc078,32,4,12
0x01ffc13c,32,4,12
0x01ffc168,32,4,12
0x01ffc19c,32,4,12
0x01ffc1a8,32,4,12
0x01ffc248,88,4,20
0x01ffc274,80,4,12
0x01ffc294,88,4,20
0x01ffc2c8,88,4,20
0x01ffc2d4,88,4,20
0x01ffc604,80,4,12
0x01ffcbec,19324,1040,1040
0x01ffce2c,82956,4320,4320
0x01ffd050,75448,3920,3920
0x01ffd174,75448,3920,3920
0x01ffd18c,75450,3920,3920
0x01ffd250,3036,160,160
0x01ffd294,102281,5360,5360
0x01ffdc9c,13908,720,720
0x01ffdf68,61540,3200,3200
0x01ffe11c,3036,160,160
0x01ffe36c,48904,2560,2560
0x01ffe41c,48904,2560,2560
0x01ffe458,48904,2560,2560
0x01ffe528,217604,11200,11200
0x01ffe574,45704,2400,2400
0x01ffe618,77992,4080,4080
0x01ffe644,75449,3920,3920
0x01ffe6a0,41520,2240,2240
0x01ffe6c4,22196,1200,1200
0x01ffe7e4,19324,1040,1040
0x01ffe8dc,7836,400,400
0x01ffe9d0,60760,3120,3120
0x01ffe9f4,60760,3120,3120
0x01ffeaa8,26544,1360,1360
0x01ffedf4,7836,400,400
0x01ffeee4,429020,26118,28545
0x01fff2e8,1050161,60106,64625
0x01fff30c,422959,28417,40193
