symbol,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_interlock,whole_halt_wait,m80prof_instructions,m80prof_total_cycles,m80prof_issue,m80prof_icache_fill,m80prof_dcache_fill,m80prof_write_buffer,m80prof_bus_contention,m80prof_interlock,m80prof_halt_wait,m80gate_instructions,m80gate_total_cycles,m80gate_issue,m80gate_icache_fill,m80gate_dcache_fill,m80gate_write_buffer,m80gate_bus_contention,m80gate_interlock,m80gate_halt_wait
<unattributed>,315980,1245706,56365,1089289,89545,3256,112,7139,0,104199,301826,7043,263104,30646,164,0,869,0,20067,83445,9557,67342,5117,162,0,1267,0
DynamicArrayGet,3215111,8904923,761088,2603685,4850612,186840,0,502698,0,162729,454128,39099,132156,247465,9767,0,25641,0,164385,465799,39136,134528,255879,10251,0,26005,0
DynamicArraySet,140,1423,205,898,245,32,0,43,0,0,0,0,0,0,0,0,0,0,84,998,163,651,135,22,0,27,0
FindDevice,616,3699,146,1598,1625,64,0,266,0,616,3699,146,1598,1625,64,0,266,0,616,3699,146,1598,1625,64,0,266,0
LBParticleProcessStruct,1920,9312,752,7030,866,0,0,664,0,312,1586,148,1230,104,0,0,104,0,528,2724,261,2088,196,0,0,179,0
_FAT_read_r,98808,324011,-9053,253000,63841,7469,0,8754,0,88176,227232,-5209,189906,30522,4602,0,7411,0,90648,250113,-6116,205005,38102,5446,0,7676,0
_FAT_seek_r,7632,110257,-3400,93599,18604,1131,0,323,0,2592,33630,-1007,28712,5422,383,0,120,0,3924,54071,-1682,45732,9241,588,0,192,0
____ieee754_sqrtf_from_arm,2,186,-10,36,140,8,0,12,0,1,93,-5,18,74,0,0,6,0,0,0,0,0,0,0,0,0,0
____libc_lock_release_from_arm,4329,36147,-3900,5971,23449,3093,0,7534,0,3746,17343,-1108,4227,8898,700,0,4626,0,3886,21701,-1780,4658,12359,1138,0,5326,0
__aeabi_dadd,7399,44862,44,44278,405,0,0,135,0,482,2974,3,2935,27,0,0,9,0,472,2980,3,2941,27,0,0,9,0
__aeabi_fadd,83936903,99836110,95890342,3945768,0,0,0,0,0,6390662,7567669,7276224,291445,0,0,0,0,0,9697030,11442298,11009371,432927,0,0,0,0,0
__aeabi_fcmpeq,9451437,11088429,9451449,1636980,0,0,0,0,0,540955,634577,540957,93620,0,0,0,0,0,581625,683593,581625,101968,0,0,0,0,0
__aeabi_fcmpge,596947,651818,596947,54871,0,0,0,0,0,40196,43951,40196,3755,0,0,0,0,0,44655,48941,44655,4286,0,0,0,0,0
__aeabi_fcmpgt,3397850,3856099,3397852,458247,0,0,0,0,0,201019,228156,201019,27137,0,0,0,0,0,231790,263251,231790,31461,0,0,0,0,0
__aeabi_fcmple,1078389,1195597,1078389,117208,0,0,0,0,0,62647,69316,62647,6669,0,0,0,0,0,62413,69045,62413,6632,0,0,0,0,0
__aeabi_fcmplt,5498458,6192594,5498466,694128,0,0,0,0,0,369409,415951,369411,46540,0,0,0,0,0,522497,588404,522499,65905,0,0,0,0,0
__aeabi_fsub,1135254,1135264,1135264,0,0,0,0,0,0,78580,78580,78580,0,0,0,0,0,0,103637,103637,103637,0,0,0,0,0,0
__aeabi_i2f,4905844,6530209,5935746,594463,0,0,0,0,0,286818,381758,347008,34750,0,0,0,0,0,322832,429610,390455,39155,0,0,0,0,0
__aeabi_idivmod,180248,1023616,-11293,685153,287729,16965,0,45062,0,9192,51562,-574,34241,14566,1031,0,2298,0,9368,54041,-675,35933,15500,941,0,2342,0
__aeabi_uidivmod,33657,351002,-6739,265336,75231,8760,0,8414,0,16000,169812,-3308,127075,37637,4408,0,4000,0,3024,29721,-499,23342,5560,562,0,756,0
__alloc_handle,567,3799,844,1470,1268,47,0,170,0,567,3799,844,1470,1268,47,0,170,0,567,3799,844,1470,1268,47,0,170,0
__arm_excpt_irq,260126,781830,498565,110283,0,6593,106905,59484,0,30445,88976,59057,9159,0,808,13035,6917,0,44244,128439,86380,12400,0,696,19005,9958,0
__clzdi2,377411,1398688,-3643,1087780,242521,14962,0,57068,0,123251,328997,-3247,252495,58845,3412,0,17492,0,21557,87756,-626,70074,14151,854,0,3303,0
__clzsi2,1227046,2882978,-81823,1988521,699205,34445,0,242630,0,260711,503128,-9252,374025,88339,5292,0,44724,0,95192,214679,-6071,147935,51638,2544,0,18633,0
__cosf,31324,213834,7856,182485,15662,0,0,7831,0,2356,15273,608,12898,1178,0,0,589,0,3016,18656,796,15598,1508,0,0,754,0
__divsf3,27732591,30573800,30196149,377651,0,0,0,0,0,1774496,1956941,1931844,25097,0,0,0,0,0,2340040,2581306,2546824,34482,0,0,0,0,0
__divsi3,1407507,3162107,225,3159006,0,2876,0,0,0,79937,175298,12,175107,0,179,0,0,0,86027,185624,7,185473,0,144,0,0,0
__extendsfdf2,720,3870,1305,2565,0,0,0,0,0,48,258,87,171,0,0,0,0,0,48,258,87,171,0,0,0,0,0
__fixsfsi,3441343,4369033,3829810,539223,0,0,0,0,0,226242,286867,251983,34884,0,0,0,0,0,301941,381760,336136,45624,0,0,0,0,0
__fixunssfsi,163207,208930,187708,21222,0,0,0,0,0,8168,10477,9424,1053,0,0,0,0,0,8188,10510,9456,1054,0,0,0,0,0
__floatdisf,2544889,3016910,2863353,153557,0,0,0,0,0,185796,220127,209034,11093,0,0,0,0,0,299826,354977,337311,17666,0,0,0,0,0
__floatunsisf,228041,456083,456083,0,0,0,0,0,0,17620,35240,35240,0,0,0,0,0,0,29846,59692,59692,0,0,0,0,0,0
__get_handle,133285,479034,61756,196970,200471,12822,0,7015,0,92720,249614,44797,102692,92074,5171,0,4880,0,83600,189787,43297,71643,67537,2910,0,4400,0
__getreent,955397,2347042,502815,977840,529014,115178,0,222195,0,449929,1086209,236649,445076,242068,57812,0,104604,0,128808,315205,66370,134188,75703,9130,0,29814,0
__glGenTextures_from_arm,3,288,-18,162,126,0,0,18,0,0,0,0,0,0,0,0,0,0,3,288,-18,162,126,0,0,18,0
__gnu_thumb1_case_uhi,275671,1334891,78343,776443,367119,18467,0,94519,0,132060,630222,37561,365132,173374,9273,0,44882,0,23250,116992,6774,69124,31787,1252,0,8055,0
__gnu_thumb1_case_uqi,48816,135802,26867,52389,28886,2384,0,25276,0,23823,65886,13150,25081,14151,1156,0,12348,0,3726,10576,2015,4354,2142,144,0,1921,0
__ieee754_atan2f,822,5824,1023,3719,992,66,0,24,0,271,2036,397,1397,217,18,0,7,0,205,1578,300,1109,150,14,0,5,0
__ieee754_rem_pio2f,350545,1427717,363059,748614,282300,11272,0,22472,0,26500,105625,26905,56145,20061,910,0,1604,0,34150,128932,33655,68427,23825,1099,0,1926,0
__ieee754_sqrtf,34,181,48,2,65,55,0,11,0,17,30,20,1,6,0,0,3,0,0,0,0,0,0,0,0,0,0
__kernel_cosf,349366,1313460,406726,773899,114276,1966,0,16593,0,26888,97417,30656,57072,8342,98,0,1249,0,33482,116594,37084,67330,10441,134,0,1605,0
__kernel_sinf,339531,1393613,350525,737342,252364,33552,0,19830,0,25685,100959,25345,53320,18413,2423,0,1458,0,32141,121896,29501,64631,22762,3100,0,1902,0
__libc_lock_acquire,118324,444896,78988,163620,161944,8930,0,31414,0,82251,236250,48511,83174,80477,3445,0,20643,0,81540,196301,39811,83369,51778,2383,0,18960,0
__libc_lock_acquire_recursive,57475,236031,59199,115855,46245,1660,0,13072,0,26839,102942,25677,52196,18534,466,0,6069,0,7038,41433,10487,18486,10037,694,0,1729,0
__libc_lock_release,118323,318325,62883,132728,94422,1993,0,26299,0,82251,185285,40036,79597,46677,692,0,18283,0,81540,179669,39642,75593,45359,950,0,18125,0
__libc_lock_release_recursive,57474,322905,49286,214796,44548,1493,0,12782,0,26838,143783,20890,97622,18631,671,0,5969,0,7038,45523,8396,26557,8326,675,0,1569,0
__locale_mb_cur_max,640194,1322587,300123,524145,344421,16714,0,137184,0,290026,595432,134575,236076,154768,7865,0,62148,0,65241,135137,31188,53941,34810,1218,0,13980,0
__malloc_lock,364,3490,-1,1176,2079,107,0,129,0,294,2332,-29,796,1417,54,0,94,0,336,3158,12,1062,1873,90,0,121,0
__malloc_unlock,364,1986,-55,498,1391,48,0,104,0,294,1543,-60,385,1098,36,0,84,0,336,1877,-54,463,1324,48,0,96,0
__memset_from_arm,3194,156252,-15965,12796,135027,5236,0,19158,0,170,8162,-845,684,7081,228,0,1014,0,180,8680,-895,724,7521,256,0,1074,0
__muldf3,2058,12863,45,12593,180,0,0,45,0,138,857,3,839,12,0,0,3,0,138,857,3,839,12,0,0,3,0
__muldi3,288647,857214,178452,613206,43788,75,0,21693,0,33681,83769,20915,55165,5145,8,0,2536,0,16804,56383,10339,41961,2768,30,0,1285,0
__mulsf3,49726897,56538898,53152679,3386219,0,0,0,0,0,4150651,4693327,4416786,276541,0,0,0,0,0,7116242,8014102,7546533,467569,0,0,0,0,0
__nds_task16_libgcc_i2f_golden,649536,876227,860284,15943,0,0,0,0,0,48484,65972,63916,2056,0,0,0,0,0,79766,109351,104726,4625,0,0,0,0,0
__sbprintf,101192,596980,78996,303183,142063,56696,0,16042,0,48100,283616,37116,142408,69094,27283,0,7715,0,8580,52067,7376,26384,11923,5059,0,1325,0
__sclose,56,219,33,151,21,0,0,14,0,56,219,33,151,21,0,0,14,0,56,219,33,151,21,0,0,14,0
__sflags,294,2554,275,1639,517,66,0,57,0,294,2554,275,1639,517,66,0,57,0,294,2554,275,1639,517,66,0,57,0
__sflush_r,88005,457523,73304,322159,51991,3690,0,6379,0,42059,216471,35134,151181,25138,1938,0,3080,0,7859,41312,6120,30008,4349,246,0,589,0
__sfp,686,6384,204,2272,3246,230,0,432,0,686,6384,204,2272,3246,230,0,432,0,686,6384,204,2272,3246,230,0,432,0
__sfp_lock_acquire,49,497,-28,105,398,8,0,14,0,49,497,-28,105,398,8,0,14,0,49,497,-28,105,398,8,0,14,0
__sfp_lock_release,49,540,-35,385,168,8,0,14,0,49,540,-35,385,168,8,0,14,0,49,540,-35,385,168,8,0,14,0
__sfvwrite_r,607685,1529354,366642,927261,193559,557,0,41335,0,286272,725121,173822,440678,90932,162,0,19527,0,53220,132711,31360,80722,16920,130,0,3579,0
__sinf,31596,247187,46502,154961,33096,2293,0,10335,0,2364,17396,3415,10810,2291,130,0,750,0,3036,22793,4645,13945,3036,195,0,972,0
__smakebuf_r,385,2893,372,2156,336,8,0,21,0,385,2893,372,2156,336,8,0,21,0,385,2893,372,2156,336,8,0,21,0
__sprint_r,70056,248835,90495,138846,11676,34,0,7784,0,33300,117562,42904,65395,5550,13,0,3700,0,5940,21376,7739,11987,990,0,0,660,0
__sread,11115,95592,5612,66683,21720,992,0,585,0,2698,22163,1100,15382,5347,192,0,142,0,4655,38482,2066,26443,9348,380,0,245,0
__srefill_r,24570,162740,15389,102267,35254,1840,0,7990,0,5964,38739,3598,24032,8886,397,0,1826,0,10290,67098,6285,41973,14993,682,0,3165,0
__sseek,3082,16472,4972,9214,1872,280,0,134,0,1058,5561,1710,3072,638,95,0,46,0,1909,10152,3102,5647,1113,207,0,83,0
__ssprint_r,422273,667017,168098,334074,106143,496,0,58206,0,200848,307112,79401,151127,48989,127,0,27468,0,36786,64721,14907,33814,10534,214,0,5252,0
__ssputs_r,426064,1078556,209342,645160,162588,9160,0,52306,0,203809,498271,98171,295450,77525,2087,0,25038,0,36366,103063,18694,63573,13546,2813,0,4437,0
__ssvfiscanf_r,1610715,5315806,1142179,3081243,778911,92107,0,221366,0,768104,2518637,541720,1454361,372037,44722,0,105797,0,134923,445166,96422,259955,63766,6558,0,18465,0
