frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
440,1117888,292608,174080,4480,1472,1024,271488,96576,276160,256704,861184,4416,960,266112,27392,1472,2176,123520,57024,640,860160,0
441,1117760,291648,174720,4416,1472,1088,272512,95616,276288,257088,860672,4416,960,266944,27712,1152,2240,124544,57024,512,859584,0
442,1118144,291200,174976,4416,1536,1088,274048,95168,275712,256064,862080,4288,1088,268416,27712,1216,2304,125952,57216,576,860992,0
443,1117696,292288,174080,4352,1408,1088,273536,96000,274944,255360,862336,4224,1024,267968,27648,1152,2048,126144,57088,704,861248,0
444,1678464,290816,174784,4416,1408,417856,270592,96384,422208,402176,1276288,4416,1024,264896,26432,1280,2240,122880,57088,704,858432,0
445,1677120,287616,173696,4544,2624,1088,537536,119040,550976,531520,1145600,168128,1024,532032,28608,1280,2304,170432,100288,576,1144512,0
446,1118336,290048,173824,4480,2624,1088,447040,107136,92096,72576,1045760,168512,1088,441600,24896,1152,2432,121984,57344,640,1044672,0
447,1677888,289664,179840,4416,2560,1152,591104,225344,383808,364160,1313728,89408,1088,585600,48768,1280,2368,334912,65344,512,1312576,0
448,1678080,288768,178432,4544,128832,1088,506240,194048,376128,356096,1321984,172544,1088,500480,9344,1344,2176,173120,57792,704,1320896,0
449,1678080,288640,174976,4416,2688,1024,445056,184192,577088,557312,1120768,180608,1024,439424,896,1344,2176,88256,58496,640,1119744,0
450,1678080,285120,177152,4352,2688,1088,542016,322752,342912,323008,1355072,96000,1024,536320,896,1408,168896,93888,57984,576,1353984,0
451,1677696,287616,174912,4416,2560,1024,443328,324288,439552,420096,1257600,164544,1024,437760,896,1344,2368,101952,57536,640,1256576,0
452,1678592,286528,176000,4480,2624,1088,441600,324288,441984,421952,1256640,163008,1024,436160,832,1536,2112,103872,57920,704,1255552,0
453,1677248,288320,176256,4480,4800,1088,495936,325888,380480,360832,1316416,162816,1088,490304,960,1216,2368,151104,56640,768,1315328,0
454,1678144,287424,176448,4416,3264,1024,430912,268736,505920,486272,1191872,164096,1024,425472,832,1280,2112,92480,57600,704,1190848,0
455,1678720,285184,175680,4480,1472,415552,448192,270848,77312,56896,1621824,163712,1024,442688,832,1344,2176,111808,57536,512,1206272,0
456,2237952,294976,175424,4352,2752,71296,999616,193600,495936,475904,1762048,43520,1088,993792,832,1344,546048,69952,56640,640,1690752,0
457,1117568,293248,174464,4480,2752,1088,290944,197440,153152,133696,983872,4672,1216,284992,1408,1280,2304,133440,54464,576,982784,0
458,1117760,292608,173952,4480,2752,1088,242560,194560,205760,186048,931712,4480,1088,236928,8832,1408,2304,73856,54784,512,930624,0
459,1117632,291456,175360,4416,2624,1024,228544,197376,216832,197248,920384,4608,1024,222912,1344,1408,2176,71616,56064,576,919360,0
460,1118208,292672,175552,4416,2688,1152,303744,203264,134720,115072,1003136,4672,1088,298176,48384,1344,2176,144192,56192,704,1001984,0
461,1117440,291840,175168,4416,2624,1024,265472,201664,175232,155904,961536,4416,1088,259968,832,1408,2176,105536,58176,640,960512,0
462,1118080,291328,174656,4480,2624,1088,280512,208576,154816,135040,983040,4352,1024,275008,832,1280,2112,120576,57728,512,981952,0
463,1117760,288064,174848,4480,2688,1024,260736,133184,252736,233088,884672,4672,960,255168,768,1472,2368,99392,58560,640,883648,0
464,1117696,292224,176064,4480,2624,1088,285184,138048,217984,198784,918912,4608,1152,279616,1344,1152,2240,126784,58560,640,917824,0
465,1118208,293632,174016,4544,2688,1088,373824,137408,131008,111168,1007040,4480,1152,368064,8320,1408,2176,214720,58624,640,1005952,0
466,1117568,292288,175936,4480,155456,1088,323776,132416,32128,11968,1105600,4288,1088,317824,960,1344,2240,164288,59008,640,1104512,0
467,1118208,292416,174784,4288,2752,71232,246656,130880,195200,175296,942912,4672,1088,241088,896,1088,2176,91136,57088,704,871680,0
468,1117248,289920,174464,4416,2624,1024,245248,118592,280960,261184,856064,4480,1088,239552,896,1280,2176,91200,57344,576,855040,0
469,1678336,291136,175360,4480,2816,416960,245184,118784,423616,403136,1275200,4480,896,239808,960,1472,2240,92160,58688,576,858240,0
470,1117056,291200,174400,4416,2624,1088,244608,102464,296256,276992,840064,4608,1088,239104,960,1344,2176,92736,57664,704,838976,0
471,1118080,290496,174336,4480,2688,1024,367744,103104,174208,154560,963520,4608,1152,362240,1344,1344,2112,216704,58112,640,962496,0
472,1678080,287808,174912,4416,2688,1088,656512,115264,435392,415872,1262208,189568,1024,651008,1472,1280,2176,273344,103680,640,1261120,0
473,1677760,284800,175872,4352,2752,1024,530752,106752,571456,551744,1126016,204544,960,525440,48896,1152,2176,145984,90752,576,1124992,0
474,1117696,285952,175040,4480,2752,960,519488,105792,23232,3904,1113792,209280,1024,513664,1408,1408,2304,113728,108032,704,1112832,0
475,1118400,285120,175168,4480,2752,1152,531328,96384,22016,2304,1116096,189120,1024,525760,27584,1472,2112,143104,110848,576,1114944,0
