frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
440,1118080,278976,175744,4416,1408,1024,272640,94720,289152,269696,848384,4352,1088,266752,27392,960,2176,124544,57408,704,847360,0
441,1117568,276672,173504,4416,1536,1024,272960,95936,291520,272128,845440,4480,1024,267520,27712,1152,2240,124800,57536,640,844416,0
442,1118208,277312,173760,4352,1408,1088,273792,94976,291520,271680,846528,4224,960,268224,27200,1280,2176,125440,57792,576,845440,0
443,1117312,278080,175936,4480,1472,1088,275328,94336,286592,267264,850048,4416,960,269760,26688,1216,2112,125696,58944,448,848960,0
444,1117952,276800,175168,4480,1536,1088,271360,95296,292224,272960,844992,4544,1088,265856,27456,1216,1984,123520,57216,576,843904,0
445,1678464,275392,175232,4544,2688,414720,536320,118720,150848,130496,1547968,168256,1024,530944,28352,1152,2368,169024,100544,640,1133248,0
446,1117440,277248,176832,4416,2560,1024,446592,106560,102208,82752,1034688,169088,1152,440960,25216,1344,2432,122304,55872,640,1033664,0
447,1677696,276736,177472,4416,2496,1088,592832,224576,398080,378752,1298944,88960,1088,587328,49152,1216,2304,336768,65920,640,1297856,0
448,1678080,275904,177728,4480,2560,1088,500544,192512,523264,503744,1174336,172352,1088,494912,9280,1216,2304,166912,58240,640,1173248,0
449,1117760,275712,174784,4416,2496,1088,443968,183872,31424,11840,1105920,180736,1152,438144,896,1344,2240,87936,57024,640,1104832,0
450,1678208,278016,176576,4416,3776,1024,507136,324288,382976,363264,1314944,97024,1088,501440,960,1344,134336,93120,57024,640,1313920,0
451,1677696,274048,175360,4352,132672,1088,442304,323008,324864,305280,1372416,163904,1088,436544,832,1280,2240,101696,57216,704,1371328,0
452,1678656,273856,175552,4416,3904,1088,440704,322048,457088,437184,1241472,162816,1088,435264,832,1280,2112,103360,57984,640,1240384,0
453,1677504,273536,175744,4352,4800,1152,498240,323520,396160,376832,1300672,163904,1152,492416,896,1408,2176,151808,57472,640,1299520,0
454,1678144,273216,176448,4416,3264,1088,431232,270080,518400,498688,1179456,163328,1088,425536,832,1408,2176,93760,56512,704,1178368,0
455,1677824,273600,176256,4480,1408,1088,447872,269504,503616,484032,1193792,163968,1088,442368,1024,1344,2048,111680,57920,576,1192704,0
456,2238848,304384,174720,4352,2752,476800,998144,191936,85760,65600,2173248,43456,1088,992320,896,1344,544704,70336,56768,704,1696448,0
457,1117248,281536,175424,4352,2624,1024,291072,197440,163776,144384,972864,4544,1088,285504,1280,1088,2240,133376,56064,576,971840,0
458,1118016,280832,174656,4416,2752,1088,241792,193536,218944,199424,918592,4352,1024,236096,8896,1472,2176,73152,54848,640,917504,0
459,1117376,279424,175552,4416,2752,1024,226176,199168,228864,209792,907584,4480,1088,220736,1472,1280,2368,70528,55104,640,906560,0
460,1118336,280000,174464,4480,2624,1088,302080,203840,149760,129920,988416,4608,1024,296448,48448,1280,2304,144192,55808,768,987328,0
461,1117248,288576,175872,4480,2688,1088,265344,201408,177792,158464,958784,4544,1088,259904,768,1408,2176,106176,57728,640,957696,0
462,1118208,278912,175680,4480,2688,1024,281472,207616,166336,146304,971904,4352,1024,275968,896,1344,2240,120704,58432,640,970880,0
463,1117824,275520,174784,4544,2688,1088,260928,134336,263936,243904,873920,4736,1024,255296,832,1280,2112,99456,59072,512,872832,0
464,1117760,278016,174784,4416,2688,1088,285440,138304,233024,213568,904192,4736,1088,279744,1472,1344,2240,126976,58496,576,903104,0
465,1117696,277568,174016,4544,2624,1024,374976,137472,145472,125632,992064,4352,1024,369216,8384,1344,2304,214720,59200,512,991040,0
466,1117376,275392,173888,4416,2624,1088,320704,133632,205632,186240,931136,4480,1024,315072,960,1344,2304,162112,58368,640,930048,0
467,1118336,287232,174016,4288,2688,71488,248000,129728,200896,180608,937728,4544,1088,242432,832,1408,2112,92032,56960,576,866240,0
468,1117376,278272,174656,4416,2688,1088,245376,118656,292224,272896,844480,4352,1024,239744,896,1280,2048,91328,56896,640,843392,0
469,1117632,276416,175616,4480,153536,1088,248832,117056,140608,120960,996672,4224,1024,243072,960,1408,2368,91776,58368,768,995584,0
470,1117632,276992,175296,4352,2560,1088,244608,102208,310528,291328,826304,4608,1088,238976,960,1216,2176,93632,56640,640,825216,0
471,1678912,279296,173632,4480,2752,415168,369216,102208,332160,312000,1366912,4736,1024,363712,1280,1280,2048,218752,57600,640,951744,0
472,1677504,273280,175168,4352,2816,1088,656576,115776,448448,428864,1248640,188992,1024,650880,1472,1280,2240,274368,103808,576,1247552,0
473,1117952,272320,174400,4352,2816,1088,529792,106688,26496,6720,1111232,204096,1024,524160,48064,1408,2240,145472,90112,704,1110144,0
474,1117696,273088,174080,4352,2816,1088,519680,105792,36800,17280,1100416,208960,1088,514240,1280,1280,2176,113536,109056,576,1099328,0
475,1118016,274112,175104,4480,2880,1088,530624,97280,32448,12928,1105088,188864,1024,525184,28160,1408,2176,143808,110272,512,1104000,0
476,1117760,273280,173888,4352,2752,1088,532160,97984,32256,12160,1105600,189248,960,526656,30144,1280,2176,137280,117824,768,1104512,0
477,1118272,272512,174656,4416,2688,1088,494528,95744,72640,52544,1065728,161408,1088,488896,27008,1216,2112,134208,111808,640,1064640,0
478,1117120,273408,173952,4416,4992,1088,337536,96448,225280,205312,911808,7616,1024,331968,27264,1216,2048,130816,112960,704,910720,0
479,1117696,275904,174912,4352,4864,1152,339520,96512,220480,200576,917120,7488,1024,334208,27264,1280,2048,136128,109632,576,915968,0
480,1118080,272896,175744,4352,4032,1088,337664,96960,225344,205568,912512,7616,1024,332096,27904,1152,2368,132224,112064,704,911424,0
481,1117696,273408,173632,4352,2816,1088,432960,84416,145024,125248,992448,7040,1024,427136,51968,1472,2240,228608,110784,512,991360,0
482,1117824,275648,175232,4352,4736,1024,367616,84928,204288,184512,933312,7808,1024,362112,66496,1280,2304,165632,108800,576,932288,0
483,1117632,278592,173824,4288,4800,1024,337664,85056,232384,212864,904768,4224,1024,332160,66880,1344,2176,168960,79424,704,903744,0
484,1118464,278592,175808,4416,3840,1088,342976,86016,225728,205504,912960,4224,1024,337536,70592,1216,2304,175552,79232,640,911872,0
485,1678080,278080,173696,4544,2560,413440,341632,85120,379008,358144,1319936,4224,960,336256,68480,1408,2176,171712,80320,640,906496,0
486,1117184,279104,174592,4352,2560,1088,343104,84096,228288,208512,908672,4352,1088,337536,69824,1344,2240,174784,79296,576,907584,0
487,1117824,277440,175232,4480,2624,1024,346112,84288,226624,206784,911040,4224,960,340736,69760,1216,2240,175104,82176,576,910016,0
488,1117888,278528,174848,4480,2496,1024,343872,83648,228992,209152,908736,4288,1088,338304,65472,1216,2048,175296,79872,704,907712,0
489,1117760,276416,176128,4416,2624,1088,358528,86080,212480,192960,924800,4352,1024,353280,81728,1280,2304,185408,83648,640,923712,0
490,1117888,275776,173312,4416,129088,1024,375936,83712,74624,54528,1063360,4416,1024,370176,101696,1344,2176,205760,80896,512,1062336,0
491,1117632,275840,173504,4480,2624,1088,443776,85376,130944,110720,1006912,3968,1024,438208,103360,1344,2240,273024,81152,640,1005824,0
492,1117952,275520,174976,4416,2624,1024,361408,84224,213760,193856,924096,4352,1024,355840,103744,1472,2240,192192,79616,704,923072,0
493,1117632,275520,175040,4480,2688,1024,513920,96768,48192,28608,1089024,4672,1024,508224,103104,1280,2240,194112,229312,704,1088000,0
494,1117824,277184,174848,4416,4736,1152,363200,105216,187072,167552,950272,4480,1024,357696,119744,1280,2048,209856,57856,640,949120,0
495,1117760,277312,174336,4416,4928,1088,363648,104960,187072,166912,950848,4608,1088,358208,118592,1280,2368,213696,57600,576,949760,0
496,1117952,277312,174976,4416,3776,1088,361728,104704,189952,170240,947712,4544,1024,355968,118336,1408,2240,209664,57984,640,946624,0
497,1118528,277120,175360,4416,2560,72128,362176,105984,118784,98304,1020224,4224,1024,356672,118144,1472,2240,211136,58496,576,948096,0
498,1117184,277120,175488,4416,2624,1088,362432,104128,189888,170432,946752,4608,1088,356480,117568,1344,2240,211264,57920,576,945664,0
499,1117888,277696,175296,4480,4672,1088,367744,104192,182720,162944,954944,4480,960,362304,119232,1088,2048,217600,57856,640,953856,0
500,1678336,276800,174464,4416,4672,413952,366208,105280,332544,312128,1366208,4352,1088,360512,119360,1408,2176,214336,58880,576,952256,0
501,1117504,276288,173888,4416,3136,1024,362816,104384,191552,171648,945856,4416,896,357440,118528,1472,2240,212864,57536,640,944832,0
502,1117504,277696,174848,4416,1472,1152,359808,103616,194496,175104,942400,4416,1024,354112,118464,1280,2112,210048,57600,640,941248,0
503,1118208,278528,173824,4480,1536,960,369088,105472,184320,164544,953664,4544,1024,363392,126656,1152,2304,218560,57920,576,952704,0
504,1117760,278720,174720,4416,1472,1088,372608,104384,180352,160320,957440,4480,1088,367104,124416,1280,2240,222272,57728,704,956352,0
