frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117504,304960,218240,4352,1536,1088,323520,97984,165824,146752,970752,4288,896,318272,76032,1280,1792,174464,58240,576,969664
440,1117888,313088,216704,4288,1472,1024,276480,96896,207936,188544,929344,4352,960,271168,29120,1088,1792,128384,57600,512,928320
441,1678144,305472,217856,4224,92288,421056,276800,97728,262720,242112,1436032,4544,896,271552,28288,1088,1984,127488,58752,576,1014976
442,1117568,304064,216704,4352,1472,1024,278784,98176,212992,193280,924288,4160,896,273472,28928,1088,1856,130880,57856,576,923264
443,1117248,304896,215872,4288,1536,1024,279424,97536,212672,193536,923712,4288,896,274112,28992,1216,1984,130944,57920,576,922688
444,1117824,304320,218752,4288,1408,1024,276672,97408,213952,194560,923264,4160,896,271488,28864,1088,1856,128256,58432,576,922240
445,1677760,302592,218560,4224,2624,1088,596992,121024,430656,411264,1266496,173376,896,591616,30272,1216,2112,223936,101248,640,1265408
446,1118080,302528,219072,4416,2688,1024,456128,108672,23552,3904,1114176,174080,960,450752,26496,1280,2112,125632,56896,576,1113152
447,1677632,304768,223232,4416,2432,1024,597568,230208,313984,294016,1383616,91776,896,592320,50048,1280,1984,338368,66048,640,1382592
448,1677632,300800,222272,4288,2496,960,513216,200384,433216,413376,1264256,178048,896,507840,9856,1216,2048,172416,58944,576,1263296
449,1678272,301056,221504,4288,2560,896,451456,189376,507136,487104,1191168,185536,896,445952,960,1280,1920,89984,57984,576,1190272
450,1677568,301632,220224,4352,2432,1024,513728,326720,307456,287360,1390208,99520,832,508544,960,1280,135360,96320,57600,640,1389184
451,1677504,303168,220096,4352,2688,1024,447936,326720,371520,352064,1325440,168256,896,442752,960,1216,1984,104768,57344,576,1324416
452,1678016,301696,219008,4416,2560,1088,445312,327296,376640,356736,1321280,167232,896,439936,960,1280,1920,104832,57600,576,1320192
453,2238208,302400,221440,4288,4800,417600,503808,325440,458432,438400,1799808,167680,832,498496,832,1408,1984,153920,58432,640,1382208
454,1677568,299840,221184,4288,3200,1024,437760,271552,438720,419072,1258496,168320,896,432448,1024,1280,1792,95744,57216,640,1257472
455,1677888,302592,217664,4288,1408,1024,455936,271552,423424,404032,1273856,168704,832,450624,896,1344,1920,114880,58176,576,1272832
456,2238336,310336,219584,4224,153088,74432,1064256,199040,213376,193280,2045056,260672,960,1058624,832,1344,548480,71040,57536,512,1970624
457,1117632,307072,218496,4416,2688,1024,293888,203904,86144,66176,1051456,4480,832,288576,1344,960,1792,135680,56512,448,1050432
458,1117632,307264,219136,4352,2688,1024,244288,201216,137664,117952,999680,4480,832,239104,9024,1280,1792,75072,57344,704,998656
459,1117568,304576,219584,4288,2560,1024,228224,205056,152256,132224,985344,4352,896,223104,1344,1152,1792,72832,55232,576,984320
460,1117632,308544,218048,4288,2624,1024,306688,211456,64960,44736,1072896,4608,1024,301440,49216,1152,1856,146560,57344,640,1071872
461,1117440,308416,218816,4288,2688,1024,267456,211392,103360,83776,1033664,4096,896,262080,832,1152,1856,107456,58560,640,1032640
462,1117824,305984,217024,4352,2624,960,282304,216128,88448,68544,1049280,4352,832,277056,832,1216,1792,121280,59072,576,1048320
463,1117888,306368,218880,4352,2688,1088,264384,137280,182848,162944,954944,4352,832,259200,960,1344,1920,102144,59648,576,953856
464,1117312,308800,219904,4224,2688,1024,287936,142400,150336,130816,986496,4096,768,282624,1536,1152,1920,131328,58112,448,985472
465,1118144,306880,218944,4416,2816,960,378432,140992,64704,44480,1073664,4224,896,373056,8768,1344,1856,220352,58368,512,1072704
466,1677696,307072,217216,4352,2688,424576,325440,138048,258304,238080,1439616,4352,960,320192,960,1216,1856,166272,59520,640,1015040
467,1117696,306944,215808,4224,2624,73984,250048,132800,131264,111296,1006400,4416,832,244608,960,1216,1920,93888,57216,640,932416
468,1117440,306176,217088,4288,2624,1024,248128,120768,217344,197760,919680,4352,896,242880,960,1152,1856,93504,58496,640,918656
469,1117760,306816,217408,4352,2688,1088,247424,119168,218816,199488,918272,4160,896,242176,832,1216,1920,94464,59328,640,917184
470,1117568,306240,215872,4288,2816,960,247680,105088,234624,215040,902528,4224,960,242304,832,1088,1920,95744,57472,640,901568
471,1117632,308608,219008,4224,2688,1088,372416,104704,104896,84992,1032640,4352,960,367168,1408,1216,2048,222976,57280,576,1031552
472,1677632,299072,217536,4224,2752,1024,664960,117440,370624,351488,1326144,194240,832,659776,1344,1024,2048,277824,103040,576,1325120
473,1678208,299072,217984,4352,2880,1088,536000,108736,508096,488768,1189440,208704,896,530816,49600,1216,2048,147904,89792,576,1188352
474,1678144,300672,218176,4288,2688,1024,526528,107904,516864,497152,1180992,212288,832,521344,1472,1216,1984,117760,108864,576,1179968
475,1677888,299776,218368,4288,2880,1024,540480,99264,511808,491520,1186368,193536,960,535168,29248,1152,2048,147840,111360,640,1185344
476,1677760,299456,217408,4352,130304,1088,540864,98752,385536,365504,1312256,193984,960,535488,30720,1216,2048,140864,118336,704,1311168
477,1678400,299712,216512,4288,4928,1088,501824,97984,552064,531328,1147072,165056,1024,496448,28800,1216,1920,138880,110784,576,1145984
478,1677888,301312,219136,4352,4096,423872,341504,98880,284736,264640,1413248,7104,896,336064,28160,1216,1920,134336,114240,640,989376
479,1117504,301632,216448,4288,4864,960,345344,98368,145600,125312,992192,7232,896,340032,28672,1344,1920,141440,110464,576,991232
480,1117440,302144,220160,4352,4992,1024,341312,97856,145600,126144,991296,7296,960,335872,29504,1152,1856,135936,112000,512,990272
481,1117952,300288,214592,4352,3840,960,438528,86144,69248,49344,1068608,7104,896,433344,54144,1216,1984,234880,110400,640,1067648
482,1117504,304384,218240,4416,2624,1024,372032,86912,127872,107968,1009536,7488,832,366720,67840,1088,1856,170624,108800,576,1008512
483,1117632,306880,217216,4288,2688,1088,341568,86208,157696,137920,979712,4288,896,336512,69504,1344,1792,173504,78720,640,978624
484,1117824,306112,216704,4608,2624,1024,351232,87232,148288,128448,989376,4288,896,345792,72576,1408,1920,180352,81280,576,988352
485,1117568,306496,218752,4288,2688,1152,347712,86464,150016,130368,987200,4096,768,342592,72960,1280,1856,177920,81344,640,986048
486,1118016,304512,216960,4288,2624,1024,352256,86528,149824,129728,988288,4480,896,347008,73408,1408,1856,181184,81600,640,987264
487,1117376,305024,217408,4288,2560,1024,350912,86400,149760,129984,987392,4160,896,345728,71488,1216,1856,179328,82816,576,986368
488,1117632,305408,217088,4224,2624,1024,350528,86912,149824,130368,987264,4160,832,345152,68288,1152,1856,180032,81600,576,986240
489,1117888,306816,217344,4352,2624,960,363584,85184,137024,116928,1000960,3968,832,358272,84352,1024,1856,189824,84928,640,1000000
490,1117696,308096,218368,4416,2560,960,381696,85824,115776,95616,1022080,4160,832,376384,104704,1088,1984,211008,81664,576,1021120
491,1117888,304128,217792,4416,2624,1088,450176,87168,50496,30784,1087104,4224,896,444672,105536,1024,1856,279744,81728,576,1086016
492,1117312,305984,217344,4352,2560,1024,366656,86336,133056,113344,1003968,4352,832,361408,105408,1408,1792,196864,79936,576,1002944
493,1678080,301120,217728,4288,2624,422080,521664,99264,109312,89216,1588864,4416,832,516608,106560,1280,1920,199680,231872,640,1166784
494,1117440,305792,220416,4352,4864,1024,370112,106496,104384,84160,1033280,4288,960,364992,124224,1216,1856,216960,58688,512,1032256
495,1117696,307456,218944,4352,3840,1024,370112,111872,100096,80192,1037504,4352,960,364928,122752,1216,2048,220288,57920,640,1036480
496,1678144,305664,215616,4288,130432,1024,366336,106816,547968,527680,1150464,4032,896,360896,121920,1152,1856,216000,57600,640,1149440
497,1117888,307648,217920,4288,5056,73984,367552,109120,32320,11392,1106496,4224,832,362368,121600,1216,1984,217024,58560,640,1032512
498,1117312,307584,219136,4288,1536,1024,369920,108096,105728,85824,1031488,4288,960,364608,122304,1024,1984,218944,58688,640,1030464
499,1117696,305152,220608,4416,1536,1088,374784,106432,103680,84480,1033216,3968,960,369280,122496,1088,1920,223552,58368,576,1032128
500,1117632,305152,218304,4352,1472,1088,368704,106752,111808,92224,1025408,4352,960,363264,120768,1088,1920,217664,59264,704,1024320
501,1117696,310272,216768,4480,1408,1024,368576,106624,108544,88768,1028928,4160,896,363328,122368,1216,1792,218560,57856,640,1027904
502,1117696,309248,217280,4416,1472,1024,366080,108224,109952,90368,1027328,4160,896,360704,122176,1216,1856,216064,58240,576,1026304
503,1117824,307968,215936,4352,1536,1088,376512,106752,103680,83712,1034112,3968,896,371136,130752,1152,1920,226176,58304,640,1033024
504,1117376,305984,219072,4352,1408,1024,377472,106176,101888,82048,1035328,4288,896,372288,127296,1152,1792,229056,57216,640,1034304
505,1117952,305920,219264,4544,1536,1024,369280,106496,109888,90112,1027840,4352,896,363840,124864,1152,1856,219008,58304,640,1026816
506,1677760,307840,219328,4288,1536,1088,545408,106624,491648,471680,1206080,4288,960,540224,97536,1088,1920,393664,59520,512,1204992
507,1677888,305344,217792,4352,1472,420480,353728,106176,268544,248704,1429184,4288,960,348352,96320,1152,1856,204160,57152,640,1008704
508,1117824,304896,217088,4288,1536,1024,324288,87040,177664,157696,960128,4160,896,318912,69376,960,1920,173184,57920,640,959104
509,1117312,304192,217024,4480,1472,960,473344,86784,29056,9408,1107904,4160,832,468032,125248,1152,1792,325120,58816,640,1106944
510,1117376,305216,216448,4352,1408,1088,304000,87168,197696,178240,939136,4416,832,298816,36416,1280,1792,156864,58304,640,938048
511,1117888,307328,215168,4288,1536,1088,273728,87744,227008,207744,910144,4288,896,268352,33856,1152,1920,126976,57984,512,909056
512,1117696,305472,217152,4288,1536,1088,275264,86528,226368,207424,910272,4160,832,270080,34496,1216,1984,128320,57600,640,909184
513,1117760,305344,220288,4288,1536,960,278080,87488,219776,199872,917888,4032,896,272896,34496,1280,1920,131264,57664,512,916928
514,1117376,306752,217280,4288,1472,1088,277184,85952,223360,204160,913216,4160,832,272064,34624,1216,2112,130112,58432,576,912128
515,1118272,307776,218496,4352,1472,1024,342464,87872,154816,134976,983296,4224,832,337152,36480,1280,1984,193472,59840,576,982272
516,1117312,309376,217280,4160,1536,1024,358336,86784,138816,119168,998144,4224,896,352960,34816,1280,1856,209664,59648,576,997120
517,1117632,307584,216256,4224,91840,1024,288896,86080,121728,101632,1016000,4160,832,283584,33984,1152,1856,141440,58624,576,1014976
518,1118016,304704,218944,4288,1472,1088,356480,85440,145600,125952,992064,4416,832,351232,35776,1216,1920,208256,58880,512,990976
519,1117760,306240,217728,4288,1472,1088,393984,87488,105472,85632,1032128,4160,896,388736,36352,1216,1920,246720,59136,640,1031040
520,1677824,304320,217920,4416,2560,1152,589952,107520,449984,430208,1247616,4096,832,584640,36608,1088,1984,408448,88768,640,1246464
521,2238464,301440,217664,4480,2624,420736,626112,113984,551424,531200,1707264,3712,896,620736,85632,1216,1856,434624,99392,640,1286528
522,1117504,304768,217600,4416,2688,1088,339520,119680,127744,107904,1009600,4288,832,334528,54464,1216,1728,146368,96384,576,1008512
523,1677760,341504,219840,4416,2752,960,441344,119680,547264,527360,1150400,4096,896,436096,75584,1280,1792,251520,95808,640,1149440
524,1118016,329728,218816,4288,2560,1152,377344,119232,64896,44800,1073216,3904,832,372160,94272,1152,1920,187456,95936,576,1072064
525,1117568,332224,218944,4224,2688,1024,399616,120448,38400,18624,1098944,3904,896,394240,113088,1088,1856,207168,98432,704,1097920
526,1117888,331200,220160,4352,2624,1088,394752,119424,44288,24192,1093696,3904,896,389504,111680,1024,1856,204736,96448,576,1092608
527,1678016,332416,218368,4352,2816,74368,399424,124032,522240,501952,1176064,3904,896,394176,115200,1088,1920,211392,94016,576,1101696
528,1117376,330944,218304,4352,2816,1088,399296,119104,41472,21504,1095872,3904,896,393920,114496,1280,1920,211584,94080,640,1094784
529,1117824,331712,218304,4352,2752,960,400896,121408,37440,17408,1100416,4160,960,395392,115392,1152,1984,212800,94400,512,1099456
530,1677952,332480,217472,4480,2880,960,681024,151424,287232,267200,1410752,6912,832,675968,116736,1216,1920,441024,104576,704,1409792
531,1677760,332736,220416,4288,5120,1024,437632,148864,527680,507456,1170304,7040,832,432448,117888,1216,1920,211008,92736,576,1169280
532,1677632,332608,219712,4352,4992,1088,415808,142208,556864,536896,1140736,6656,896,410624,90688,1088,1920,187584,94400,640,1139648
533,1678272,330880,218176,4608,2752,420864,402688,141888,156416,136192,1542080,6720,960,397376,69696,1344,2048,167680,101312,576,1121216
534,1677696,332864,218688,4352,129344,1152,399424,132928,458944,438016,1239680,6528,896,393984,71040,1280,1920,168640,97472,640,1238528
