frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117120,303744,174528,4288,1664,1152,319808,95296,216640,197056,920064,4736,1024,314496,77056,1216,1984,174080,55744,576,918912
440,1117568,304064,174784,4480,1600,1152,272128,95936,263424,243968,873600,4480,960,266816,29248,1216,1984,127104,55168,768,872448
441,1117504,307072,173440,4224,1664,1088,273280,96576,260160,241088,876416,4544,1024,267776,29952,1280,1984,127040,56576,512,875328
442,1118208,306304,175936,4416,1664,1088,273600,95552,259648,240192,878016,4736,1088,268224,28992,1280,2112,128384,56000,512,876928
443,1117440,303360,175104,4288,1664,1152,274112,96000,261760,242688,874752,4736,1024,268608,29248,1536,2048,128640,55168,640,873600
444,1117568,305920,174592,4352,1600,1152,271680,96384,261888,242560,875008,4736,1024,266240,29888,1152,1984,127168,55680,576,873856
445,1678016,304256,175488,4288,2880,1216,595904,119936,474048,454848,1223168,174400,960,590528,30528,1344,2240,225024,98688,576,1221952
446,1117888,305152,177344,4480,2688,1152,455488,106176,65408,45568,1072320,176512,960,450048,26560,1408,2240,124864,55168,512,1071168
447,1677504,304448,179136,4352,2688,1088,598848,232384,354560,335424,1342080,93312,1088,593216,51200,1536,2176,339392,64960,640,1340992
448,1678016,303232,178304,4288,129152,1088,508096,196224,357632,338176,1339840,179968,960,502592,9728,1408,2112,168384,56832,576,1338752
449,1677824,305408,177216,4288,2880,1088,447552,187200,552192,533184,1144640,186944,1088,442240,768,1280,2176,88768,55232,704,1143552
450,1678144,299968,177152,4352,2688,1152,519872,323904,349056,329536,1348608,100736,896,514496,960,1472,143616,95104,56576,512,1347456
451,2238080,300352,176704,4352,2816,416064,445184,324032,568576,548864,1689216,169088,960,439936,896,1280,2112,102336,56192,640,1273152
452,1677696,304640,176448,4544,2752,1088,442752,323392,422080,402624,1275072,169024,1024,437376,832,1408,2176,103360,56064,640,1273984
453,1678016,300992,176448,4480,4800,1088,500672,323264,366272,346816,1331200,169792,960,495104,960,1408,2112,151872,56704,640,1330112
454,1677696,299520,178240,4288,3392,1216,434432,268480,488128,468864,1208832,169472,1024,429056,896,1344,2112,93504,55808,576,1207616
455,1677824,302400,174784,4352,1664,1152,449984,269888,473600,454720,1223104,169600,1024,444544,896,1344,2048,111872,55808,512,1221952
456,2238336,311104,174976,4480,2496,72512,1053120,196864,422784,403008,1835328,236608,1024,1047616,832,1216,572160,69824,53952,576,1762816
457,1117568,311424,176768,4416,2880,1152,288064,201216,131648,112000,1005568,4800,960,282624,1280,1344,1920,133952,53952,576,1004416
458,1117952,306048,177088,4352,2944,1152,238272,196416,191680,172032,945920,4928,1024,232832,8832,1408,1984,73664,52928,576,944768
459,1117248,306752,175616,4416,3008,1088,223616,199808,202944,183488,933760,4800,1088,218176,1280,1344,1984,71616,52480,640,932672
460,1117952,311488,177472,4352,2944,1152,305152,207168,108224,88576,1029376,5056,1024,299648,50176,1472,2112,147136,55360,576,1028224
461,1117312,306816,176704,4352,2944,1088,262720,205824,156864,137536,979776,4992,1024,257280,896,1408,2112,105856,56640,576,978688
462,1117696,309824,175744,4352,2752,1088,277888,210880,135168,115520,1002176,4992,896,272640,896,1280,2112,119488,56512,512,1001088
463,1678272,308416,172928,4288,2816,420416,257984,133056,378368,358336,1319936,4672,1024,252544,768,1280,2048,100672,56000,640,899520
