PER-SYMBOL ITCM CENSUS  (c200-itcm.dis, column all_instructions)
symbol                                             addr resident     code     exec   exec%
ndsRendererScanList                            01ffae64     7728     7620     3508   46.0%
ndsRendererNativePrepareProductionRun          01ffd52c     3720     3608     1552   43.0%
ndsRendererExecuteNativeFighterOwnerProduction 01ffe3b4     3508     3368     2656   78.9%
ndsRendererSubmitHardwareTriangle              01ffa17c     3304     3196     1708   53.4%
ndsRendererHardwareSubmitVertex                01ff9218     2688     2644     1528   57.8%
ndsRendererTask36ReplayRun                     01ff8fb8      608      544      456   83.8%
ndsRendererNativeShadeProductionActions.constp 01ffd2e8      580      520      348   66.9%
ndsRendererNativeEmitProductionCrossRun.constp 01ffce84      576      548      384   70.1%
ndsRendererNativeEmitProductionPrimitiveGroups 01ffd0c4      548      508      396   78.0%
ndsRendererNativeApplyStateDelta               01ff9d98      492      484      476   98.3%
ndsRendererHardwareLitShadeColorPrepared       01ff8c64      460      452      372   82.3%
__addsf3                                       01ff802c      444      444        0    0.0%
__aeabi_fadd                                   01fff310      424      424      332   78.3%
__aeabi_fmul                                   01ff82cc      408      408      188   46.1%
ndsRendererHardwareGetLightShadeLut            01ff8ad0      404      388        0    0.0%
__aeabi_fdiv                                   01ff8464      352      352      232   65.9%
ndsRendererMtxMul20p12                         01ffa044      312      312      304   97.4%
threadUnblockAllByValue                        01fff960      312      308        0    0.0%
ndsRendererRecordSetTile                       01ff892c      264      260      260  100.0%
ndsRendererMtxLoadN64ToDS20p12                 01ff9c98      256      248      248  100.0%
ndsRendererNativeEmitDenseRawRun               01ffcd84      256      240        0    0.0%
threadUnblockAllByMask                         01fffa98      240      236      216   91.5%
__ieee754_sqrtf                                01fff650      236      228       34   14.9%
__arm_excpt_irq                                01fffcf0      228      212      212  100.0%
ndsRendererSyncTextureTile                     01ff87c0      212      212      212  100.0%
threadBlock                                    01fff7b8      212      208      200   96.2%
threadUnblockOneByValue                        01fff88c      212      208      208  100.0%
ndsRendererNativeApplyStateSpan                01ff9f84      192      176        0    0.0%
__aeabi_l2f                                    01ff8220      172      172      136   79.1%
memcpy                                         01fff55c      172      172      170   98.8%
ndsRendererHardwarePolyFmt                     01ff8f18      160      160      152   95.0%
ndsRendererRecordSetTileSize                   01ff8a34      156      152      152  100.0%
ndsRendererRecordTextureState                  01ff8894      152      152      152  100.0%
memset                                         01fff4d0      140      140      140  100.0%
ndsRendererHardwareTextureSourceBytes          01ff8e30      132      128       64   50.0%
ndsRendererNativeEmitProductionRawTexturedRun  01ffcc94      128      112        0    0.0%
threadSwitchTo                                 01fff73c      124      120      104   86.7%
ndsRendererNativeEmitProductionRawUntexturedRu 01ffcd14      112       96        0    0.0%
__cmpsf2                                       01ff85d4      100      100        0    0.0%
ndsRendererRecordLoadBlock                     01ff8eb4      100       96       96  100.0%
__aeabi_f2iz                                   01ff8710       92       92       56   60.9%
__aeabi_i2f                                    01fff2b0       92       92       56   60.9%
__aeabi_f2uiz                                  01ff876c       84       84       52   61.9%
armCopyMem32                                   01fffb88       76       76       76  100.0%
memcmp                                         01fff608       72       72       70   97.2%
__nds_task16_libgcc_fcmpun_golden              01ff86d8       56       56        0    0.0%
ndsFTParamsInvalidateFighterParts              01fff168       56       56        0    0.0%
__aeabi_fcmplt                                 01fff1c4       52       52       52  100.0%
__aeabi_fcmple                                 01fff1f8       52       52       52  100.0%
__aeabi_fcmpge                                 01fff22c       52       52       52  100.0%
__aeabi_fcmpgt                                 01fff260       52       52       52  100.0%
__excpt_entry                                  01fffcc0       48       44        0    0.0%
armContextSave                                 01fffbd4       44       44       44  100.0%
armDCacheFlushAll                              01fffc34       40       40        0    0.0%
__aeabi_fcmpeq                                 01fff1a0       36       36       36  100.0%
__floatsisf                                    01ff81f0       32       32       24   75.0%
__aeabi_fcmpun                                 01fff294       28       28        0    0.0%
armContextLoadFromSvc                          01fffc04       28       28       28  100.0%
armDCacheFlush                                 01fffc5c       28       28       28  100.0%
armDCacheInvalidate                            01fffc78       28       28       28  100.0%
__aeabi_cfcmpeq                                01ff8648       24       24        0    0.0%
__nds_task9_libgcc_fcmpeq_golden               01ff8660       24       24        0    0.0%
__nds_task16_libgcc_fcmplt_golden              01ff8678       24       24        0    0.0%
__nds_task16_libgcc_fcmple_golden              01ff8690       24       24        0    0.0%
__nds_task16_libgcc_fcmpge_golden              01ff86a8       24       24        0    0.0%
__nds_task16_libgcc_fcmpgt_golden              01ff86c0       24       24        0    0.0%
__excpt_vectors                                01fff4b8       24        0        0    0.0%
__aeabi_ul2f                                   01ff8210       16       16        0    0.0%
__aeabi_cfrcmple                               01ff8638       16       16        0    0.0%
armDrainWriteBuffer                            01fffc28       12       12       12  100.0%
armICacheInvalidateAll                         01fffc94       12       12        0    0.0%
__arm_excpt_und                                01fffca8       12       12        0    0.0%
__arm_excpt_dabt                               01fffcb4       12       12        0    0.0%
__aeabi_frsub                                  01ff8020        8        8        0    0.0%
__aeabi_ui2f                                   01ff81e8        8        8        8  100.0%
__gesf2                                        01ff85c4        8        8        0    0.0%
__lesf2                                        01ff85cc        8        8        0    0.0%
armWaitForIrq                                  01fffc20        8        8        8  100.0%
__nds_task16_libgcc_fsub_golden                01ff8028        4        4        0    0.0%
__aeabi_fsub                                   01fff30c        4        4        4  100.0%
armContextLoad                                 01fffc00        4        4        4  100.0%
__arm_excpt_rst                                01fffca0        4        4        0    0.0%
__arm_excpt_pabt                               01fffca4        4        4        0    0.0%
tiny                                           01fffdd4        0        0        0    0.0%
one                                            01fffdd8        0        0        0    0.0%
--------------------------------------------------------------------------------------------
TOTAL resident 32180   executed 17938   never-executed 14242   (44.3% of ITCM cold)
BLOCKS WITH ZERO EXECUTED BYTES: 33 blocks, 2448 bytes
