frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
440,1117440,307264,178624,4224,1536,1088,277184,98496,249024,229440,888000,4416,896,272064,28544,1344,1984,129408,57984,512,886912
441,1117696,308928,179776,4224,1408,1088,275072,99328,247872,228032,889664,4160,896,269568,28544,1344,2048,127424,57344,768,888576
442,1117568,309120,180096,4224,1536,1152,277632,98496,245312,225728,891840,4160,896,272448,28736,1216,2048,131328,57152,704,890688
443,1677568,311040,179776,4224,1472,418624,277120,97280,388032,367936,1309632,4288,960,271552,28800,1280,1920,130688,56768,768,891008
444,1117440,305984,181952,4288,1472,1152,275712,98560,248320,228608,888832,4160,960,270656,28416,1280,1984,129216,56960,640,887680
445,1677568,306752,181888,4160,2496,1088,547456,121408,512320,492544,1185024,174976,1024,542272,30080,1152,2112,174272,100992,640,1183936
446,1678016,307200,181440,4224,130944,1088,459072,109184,484864,464192,1213824,175616,896,453632,26880,1536,2112,128000,56512,640,1212736
447,1676864,307840,184064,4224,2624,1088,605568,231104,340352,320576,1356288,91392,1024,600128,49664,1344,2112,347456,66432,704,1355200
448,1677504,307328,183424,4352,2560,1152,512640,201152,464896,445248,1232256,180544,896,507136,9600,1344,2240,171648,58240,640,1231104
449,1677952,306880,181376,4224,2496,1024,451776,189824,540352,520768,1157184,185920,896,446336,832,1344,2240,90624,58112,576,1156160
450,1677824,304000,180992,4224,2624,1088,540224,327808,316864,296832,1380992,98624,960,535104,896,1472,161600,97792,57856,704,1379904
451,1677312,304064,181120,4160,2688,1088,450944,328064,405184,385728,1291584,170752,1024,445312,896,1536,2048,105664,57408,640,1290496
452,1677952,304192,181440,4416,2688,1152,449408,328960,405696,385984,1291968,169216,960,443968,832,1408,2048,108160,58368,704,1290816
453,1677312,303616,182720,4160,4672,1152,502720,328384,349888,330176,1347136,168576,896,497408,768,1344,1984,154688,57920,640,1345984
454,1677824,307328,179904,4224,3200,415296,437824,273664,56384,35904,1641920,168320,896,432064,832,1472,1920,96704,57472,704,1226624
455,1677440,306240,178944,4160,1408,1152,454592,272320,458624,438720,1238720,169216,1024,449216,896,1344,1984,114240,58176,640,1237568
456,2238400,312896,182400,4288,2688,70720,1026176,199744,439488,419072,1819328,43072,960,1020736,832,1216,570048,72384,56128,640,1748608
