frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
440,1117440,307776,179136,4224,1536,1088,275904,97472,250304,230848,886592,4160,960,270528,28224,1280,2112,129664,57024,576,885504
441,1117312,307520,178240,4224,1408,1088,274432,99264,251136,231360,885952,4416,960,269184,28416,1344,2048,128128,56448,640,884864
442,1118080,308864,178944,4224,1408,1152,278400,98816,246272,226240,891840,3968,960,273024,29120,1216,2048,131136,57408,704,890688
443,1677248,313280,179328,4224,1472,417536,276544,99072,385792,365504,1311744,4096,896,271168,29120,1344,1984,130880,56512,640,894208
444,1117312,309120,179520,4416,93184,1088,276352,98304,155328,135424,981888,4224,960,270848,28288,1280,1984,128256,57792,640,980800
445,1677696,307328,181120,4160,2688,1088,547392,122176,511744,491904,1185792,174080,896,542016,29952,1216,2240,174592,101056,704,1184704
446,1117696,304960,180032,4224,2624,1088,457280,111040,56448,36352,1081344,174784,960,451776,26240,1472,2240,126656,56896,704,1080256
447,1677568,307776,184768,4416,2432,1088,597696,231296,348096,327936,1349632,91840,960,592320,49280,1344,2176,339072,66496,704,1348544
448,1677440,306944,182656,4096,2560,1152,512064,200832,467136,447552,1229888,180672,896,506752,9664,1280,2112,171904,57664,704,1228736
449,1677760,307840,180288,4288,2496,1088,451840,190080,539840,519680,1158080,186048,960,446656,832,1536,2176,91456,57856,576,1156992
450,1678144,306112,182656,4288,2560,1088,539520,328768,313152,292800,1385344,99072,896,534144,768,1216,160960,97600,57152,576,1384256
451,1677120,302976,183168,4288,2688,1088,449728,329024,404160,384384,1292736,169216,960,444352,832,1536,2240,104896,58176,576,1291648
452,1678144,302016,184064,4352,2624,1088,447552,327104,409344,389248,1288896,168448,896,442368,768,1408,2048,107328,57344,576,1287808
453,1677184,302208,182144,4096,4736,1088,505088,326784,351040,331584,1345600,169088,960,499456,704,1408,2048,155008,57536,768,1344512
454,1677888,307328,180224,4224,3200,415488,437824,274048,55552,35264,1642624,168256,960,432064,832,1472,1984,96896,57344,704,1227136
455,1677632,303616,180544,4160,1408,1024,455040,273088,458752,438848,1238784,168512,896,449920,768,1280,1856,115136,59072,704,1237760
456,2237888,313600,180736,4288,2752,71296,1023168,201024,441024,421056,1816832,43264,960,1017600,832,1280,567552,72704,56128,640,1745536
457,1116928,310976,181120,4224,2816,1152,292544,204608,119488,100096,1016832,4480,896,287040,1280,1344,1984,135808,55680,704,1015680
458,1117696,311104,180544,4096,2624,1152,242240,200832,175104,155264,962432,4288,896,236800,9024,1280,1856,75392,55808,640,961280
459,1117376,311808,181568,4160,130816,1152,232256,204864,50752,30656,1086720,4288,960,226880,1344,1344,1920,72448,60224,704,1085568
460,1117632,310336,180480,4160,2688,1024,304640,210624,103680,83584,1034048,4352,960,299136,49280,1216,1984,147392,56512,704,1033024
461,1117312,309952,180928,4352,2816,1152,266304,210752,141056,121152,996160,4544,1024,260736,896,1344,1984,108288,57536,704,995008
