pc,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_dma_hold,whole_interlock,whole_halt_wait,sitr25_instructions,sitr25_total_cycles,sitr25_issue,sitr25_icache_fill,sitr25_dcache_fill,sitr25_write_buffer,sitr25_bus_contention,sitr25_dma_hold,sitr25_interlock,sitr25_halt_wait,event288_instructions,event288_total_cycles,event288_issue,event288_icache_fill,event288_dcache_fill,event288_write_buffer,event288_bus_contention,event288_dma_hold,event288_interlock,event288_halt_wait,quiet_instructions,quiet_total_cycles,quiet_issue,quiet_icache_fill,quiet_dcache_fill,quiet_write_buffer,quiet_bus_contention,quiet_dma_hold,quiet_interlock,quiet_halt_wait,card_instructions,card_total_cycles,card_issue,card_icache_fill,card_dcache_fill,card_write_buffer,card_bus_contention,card_dma_hold,card_interlock,card_halt_wait
0x01fffd68,2860,741858559,17157,0,0,0,0,0,0,741841383,211,21777343,1266,0,0,0,0,0,0,21776063,1046,142525475,6276,0,0,0,0,0,0,142519180,976,401993916,5853,0,0,0,0,0,0,401988063,76,5670818,456,0,0,0,0,0,0,5670362
0x020070c0,49152,244849,-23480,4042,201702,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,244849,-23480,4042,201702,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff662,716732,8689708,714167,0,0,7975541,0,0,0,0,14227,163781,14190,0,0,149591,0,0,0,0,150212,1745123,149761,0,0,1595362,0,0,0,0,316593,3981084,315366,0,0,3665718,0,0,0,0,4967,62972,4955,0,0,58017,0,0,0,0
0x01fff660,716733,8386740,714733,0,0,7672007,0,0,0,0,14227,158242,14181,0,0,144061,0,0,0,0,150214,1686891,149729,0,0,1537162,0,0,0,0,316594,3844338,316024,0,0,3528314,0,0,0,0,4967,61312,4947,0,0,56365,0,0,0,0
0x01fff65e,716732,8216199,705072,0,0,7511127,0,0,0,0,14227,155331,14019,0,0,141312,0,0,0,0,150211,1656520,148073,0,0,1508447,0,0,0,0,316596,3763526,311222,0,0,3452304,0,0,0,0,4967,60280,4901,0,0,55379,0,0,0,0
0x01fffce0,59616,4517869,-177443,0,4503098,192214,0,0,0,0,8000,591996,-23871,0,588539,27328,0,0,0,0,32240,2477448,-96476,0,2470756,103168,0,0,0,0,10784,790931,-31809,0,790010,32730,0,0,0,0,3536,240070,-10521,0,237863,12728,0,0,0,0
0x020070c4,49152,157250,-43549,157297,0,43502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,157250,-43549,157297,0,43502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff6fe,766952,5857471,5308959,0,0,493216,55296,0,0,0,16537,136468,117922,0,0,18546,0,0,0,0,165082,1440435,1263522,0,0,121617,55296,0,0,0,340006,2473715,2268383,0,0,205332,0,0,0,0,5642,52995,43686,0,0,9309,0,0,0,0
0x01fff65c,716728,6520903,157193,0,0,6363710,0,0,0,0,14227,123163,3759,0,0,119404,0,0,0,0,150213,1314168,39174,0,0,1274994,0,0,0,0,316593,2985621,60791,0,0,2924830,0,0,0,0,4967,47594,1080,0,0,46514,0,0,0,0
0x020070b8,49152,98304,0,98304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,98304,0,98304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020070ca,49152,98128,49168,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49152,98128,49168,48960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x01fff6fc,766941,13491745,-853649,0,7066243,7279151,0,0,0,0,16537,436960,-19510,0,183138,273332,0,0,0,0,165080,3733928,-210000,0,1773733,2170195,0,0,0,0,340001,5438817,-361795,0,2979242,2821370,0,0,0,0,5642,177636,-7250,0,68883,116003,0,0,0,0
