frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsR204AnimForceLoadTotal,gNdsRelocAssetPayloadReadCount,gNdsR2FtAnimParseCalls,gNdsR2FtAnimNullSkips,gNdsR2AnimCacheHits,gNdsBattlePackHits,gNdsR2CubicEvals,gNdsRelocFindMemoScans,WRAPFIX
438,1117248,291200,175680,4288,1408,1024,322048,94912,226688,206848,910400,4352,960,316672,75712,1472,2112,186368,56768,832,909376,21,101,31722,14516,18,41,64212,42,0
439,1117248,292480,176064,4224,1472,1024,273856,95680,272512,253120,864192,4992,1024,268352,28736,1408,2048,175104,57088,576,863168,21,101,31792,14550,18,41,64346,42,0
440,1117312,292096,176064,4288,1472,1024,273408,94528,274752,254848,862784,4480,960,268160,28032,1280,2048,127296,56704,448,861760,21,101,31862,14584,18,41,64480,42,0
441,1117632,289280,174528,4224,1472,1088,275840,95616,275648,256000,861696,4544,896,270592,28672,1472,2048,127168,56448,704,860608,21,101,31932,14618,18,41,64614,42,0
442,1117696,292160,174720,4224,1408,960,278592,95232,270080,250624,866752,4608,1024,273280,28864,1280,2176,129664,55872,640,865792,21,101,32002,14652,18,41,64748,42,0
443,1117376,290176,177472,4288,1472,1088,272640,94848,275456,256064,861376,4608,896,267456,28288,1280,2112,130752,57280,576,860288,21,101,32072,14686,18,41,64882,42,0
444,1117440,287232,176192,4288,2624,419584,592384,117440,78208,58240,1619712,167936,1024,586880,29824,1408,2112,127808,55872,896,1200128,21,101,32142,14720,18,41,65016,43,0
445,1677952,290368,175040,4352,2752,1088,451648,106560,85568,65920,1051456,170688,1152,446080,26048,1344,2240,226368,100160,640,1050368,21,101,32212,14754,18,41,65150,43,0
446,1117376,288896,178816,4288,2496,1088,595392,224896,381632,362240,1315264,89920,896,589952,49920,1408,2304,126272,55488,640,1314176,21,101,32325,14799,18,42,65337,44,0
447,1677504,288768,178368,4288,2688,1024,504896,193984,503936,484416,1193536,175616,1024,499264,9856,1536,2240,339520,65408,704,1192512,21,101,32421,14834,18,43,65477,44,0
