region,instructions,total_cycles,average_cycles,min_cycles,max_cycles,issue,icache_fill,dcache_fill,write_buffer,bus_contention,dma_hold,cart_spin,interlock,halt_wait,gx_paid,gx_blamed
1558,3331748,7843318,2.354,0,596339,2070936,2276500,1398112,874577,304855,16470,0,256584,645284,0,0
1061,943571,4483184,4.751,0,914277,602683,1056581,855888,158156,81845,16470,0,125049,1586512,0,0
1217,1788601,4482672,2.506,0,613949,1281722,1330120,800617,127080,88602,16470,0,128706,709355,0,0
815,1381685,4482496,3.244,0,420567,830714,1413557,900655,156855,83817,16502,0,143992,936404,0,0
1492,1546169,4482314,2.899,0,1051187,1098421,1241339,752627,117568,84422,16470,0,120286,1051181,0,0
1270,882167,4482294,5.081,0,778371,596424,1014083,898785,163499,81866,16470,0,119783,1591384,0,0
1010,1079234,4482254,4.153,0,827527,764895,1091060,868639,139442,83736,16470,0,128849,1389163,0,0
788,1371177,4481982,3.269,0,892877,801320,1384608,867028,150082,81014,16534,0,143584,1037812,0,0
576,1313368,4481430,3.412,0,1021687,672764,1359845,825947,147372,78763,16470,0,175481,1204788,0,0
489,1026139,4481356,4.367,0,594893,720203,1062331,815737,153169,84083,16470,0,120844,1508519,0,0
17,1194839,4481314,3.751,0,837203,628704,1345337,873947,155786,85126,16470,0,160864,1215080,0,0
391,1251701,4481282,3.580,0,810667,652137,1387989,884192,153603,78710,16882,0,169673,1138096,0,0
1186,1180751,4481144,3.795,0,1029233,597941,1311395,853580,145301,78451,16470,0,165394,1312612,0,0
1478,1089776,3362934,3.086,0,601195,652990,1123952,666414,113568,80082,16470,0,108269,601189,0,0
1528,779078,3362584,4.316,0,900139,500595,876072,705984,116934,77145,16470,0,120238,949146,0,0
546,1210894,3362508,2.777,0,439503,759558,1151192,687806,111956,82150,16470,0,113879,439497,0,0
774,1019573,3362444,3.298,0,787367,605448,1029790,634060,108133,79126,16470,0,102056,787361,0,0
1288,1062005,3362426,3.166,0,773459,625396,1079426,608545,91986,64788,16470,0,102362,773453,0,0
488,1059689,3362418,3.173,0,697765,634380,1069402,651307,109019,79807,16470,0,104274,697759,0,0
1016,1130069,3362416,2.975,0,620013,694110,1085397,649784,111599,81530,16470,0,103519,620007,0,0
1071,964567,3362368,3.486,0,791825,568224,975514,563459,94610,62587,16470,0,88850,992654,0,0
272,1206556,3362364,2.787,0,286789,720357,1193498,726248,130072,81921,16470,0,114865,378933,0,0
402,1057272,3362348,3.180,0,673845,627581,1089724,658650,111439,79568,16470,0,105077,673839,0,0
1056,816812,3362326,4.116,0,588837,574242,882920,709438,122076,80134,16470,0,108184,868862,0,0
1377,1021399,3362322,3.292,0,750855,600312,1058973,644447,109165,79367,16470,0,102739,750849,0,0
1231,1075575,3362304,3.126,0,649633,637585,1079787,672513,116853,79352,16470,0,110117,649627,0,0
858,1160021,3362284,2.898,0,538659,721315,1115103,668430,111529,81759,16470,0,109025,538653,0,0
465,943092,3362280,3.565,0,161227,674110,976530,781078,133237,81611,16470,0,118207,581037,0,0
800,1076432,3362270,3.124,0,695167,639864,1059892,654944,109180,79053,16470,0,107706,695161,0,0
301,1238112,3362222,2.716,0,265441,756837,1220253,761274,135059,79714,16818,0,126832,265435,0,0
44,1058175,3362218,3.177,0,690335,631011,1078896,651446,109431,79534,16470,0,105101,690329,0,0
844,1115496,3362174,3.014,0,579187,679943,1115663,669317,113050,81033,16470,0,107517,579181,0,0
200,855760,3362144,3.929,0,929101,603176,880299,644191,96861,80133,16470,0,109895,931119,0,0
315,1066540,3362144,3.152,0,709697,632191,1067369,640787,112744,79909,16470,0,102983,709691,0,0
730,1055285,3362136,3.186,0,710247,632378,1065557,643211,110317,80156,16502,0,103774,710241,0,0
258,1051510,3362120,3.197,0,730833,620500,1048178,650777,110839,78657,16470,0,105872,730827,0,0
871,1174158,3362108,2.863,0,458145,731176,1155160,693491,114222,82363,16502,0,111055,458139,0,0
13,892217,3362086,3.768,0,841159,656301,868995,645094,139618,94247,16470,0,100208,841153,0,0
1464,1102667,3362086,3.049,0,555849,665343,1143302,678878,112856,80022,16470,0,109372,555843,0,0
229,1021001,3362082,3.293,0,772125,605008,1043393,632942,111502,79795,16470,0,100853,772119,0,0
598,1283980,3362078,2.618,0,162017,793463,1278259,770533,128834,82554,16470,0,127978,163987,0,0
1436,986796,3362058,3.407,0,808717,578953,1078227,605253,114389,64017,19602,0,92906,808711,0,0
5,1008032,3362020,3.335,0,535577,588023,1038167,628237,107940,79569,16470,0,100708,802906,0,0
