frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H
439,1117376,292224,174592,4288,1472,1088,320000,96192,227520,208128,909248,4416,1024,314560,75072,1536,2176,174528,56064,576,908160
440,1117568,293120,172800,4288,1408,960,273664,96640,274688,254848,862720,4544,896,268352,28480,1408,2048,127296,56768,704,861760
441,1117824,297408,174400,4288,1472,1088,272960,96576,269632,249792,868032,4672,1024,267584,29120,1280,2176,126784,56704,576,866944
442,1117696,294848,173632,4416,1536,1088,276288,96768,269120,249536,868160,4544,960,271104,28288,1472,2048,129472,56640,576,867072
443,1117184,294848,175424,4352,1472,1088,275648,95744,268608,249152,868032,4544,1024,270272,28480,1408,2048,129792,56832,512,866944
444,1118016,292800,174016,4288,1472,1088,273600,95552,275200,255296,862720,4672,960,268352,27968,1600,1984,127424,57024,576,861632
445,1678016,293248,173056,4224,2624,423296,593088,120384,68096,47936,1630080,168384,1024,587776,29696,1600,2240,227648,99904,704,1206784
446,1117760,294208,174144,4352,2624,1024,449728,107008,84672,64512,1053248,168960,960,444224,26304,1536,2368,125760,56064,640,1052224
447,1677312,295488,179328,4224,2624,1088,592960,226624,374976,355584,1321728,89984,1024,587712,49216,1472,2176,338496,64704,704,1320640
448,1678272,291136,178432,4224,2624,1088,508032,194880,497856,477952,1200320,175424,960,502656,9984,1472,2304,172224,58368,640,1199232
449,1677632,294016,175232,4288,129664,960,448128,184256,441088,421632,1256000,184640,1024,442624,832,1792,2112,89984,56896,640,1255040
450,1678144,291264,175296,4352,2496,1088,519040,326592,358016,338304,1339840,96960,960,513664,832,1536,144960,96512,56320,768,1338752
451,1677504,291776,176064,4224,2624,960,441728,325440,434688,414848,1262656,164352,1088,436480,832,1536,2176,104192,56320,512,1261696
452,1678080,291392,174272,4416,2560,1152,444288,326272,433728,413632,1264448,166720,1024,438912,896,1728,2048,106752,56320,704,1263296
453,1677440,292096,176640,4224,4864,1024,501056,325952,371584,351936,1325504,166720,960,495616,768,1600,2368,154880,56896,640,1324480
454,1677632,289472,175104,4224,3264,1024,433344,272896,498304,478720,1198912,164864,1088,427840,768,1536,2176,96000,56576,704,1197888
455,1678016,290368,175744,4224,1472,1024,448064,273280,483840,464256,1213760,163712,960,442688,896,1536,2240,114112,57280,768,1212736
456,2238336,299712,174464,4224,2816,487104,1051328,194368,24320,4608,2233728,43712,960,1045696,896,1664,568896,72128,55808,512,1746624
457,1117632,296960,175424,4224,2752,1152,288960,198784,149376,129088,988544,4736,960,283520,1280,1344,2048,133888,54336,576,987392
458,1117824,296256,174592,4416,2624,1088,240576,194304,203968,183872,933952,4864,960,235136,8832,1408,2048,74816,54400,640,932864
459,1117248,296448,176384,4224,2752,1088,227712,199360,209280,189504,927744,4928,896,222400,1408,1536,1920,72896,54912,768,926656
460,1117760,298624,177408,4288,2880,1024,304192,203264,126080,106240,1011520,5184,960,298944,49792,1472,1984,146944,55744,512,1010496
461,1117376,295808,175040,4224,2624,1024,265600,204480,168576,148992,968384,4480,960,260096,960,1536,2112,107840,57600,576,967360
462,1117888,295616,175040,4288,2752,1088,281856,208768,148480,128960,988928,4800,960,276352,896,1728,2240,121408,58240,704,987840
463,1117888,294784,174592,4352,2816,1088,260352,132864,247040,227328,890560,4544,960,254976,832,1664,2112,101760,57792,640,889472
464,1117184,297152,173056,4288,2816,1024,285760,137088,216000,196096,921088,4736,960,280448,1472,1600,2176,129984,57216,640,920064
465,1118080,296192,172736,4352,2752,1088,374464,136064,130432,110784,1007296,4800,1024,369024,8448,1408,1984,216960,57984,704,1006208
466,1117440,296384,173376,4288,2752,1024,323840,131776,184000,164352,953088,4608,1024,318464,896,1536,2112,165696,59008,640,952064
467,1118016,296128,176576,4224,128320,73024,252416,129472,57856,37120,1080896,4800,960,246912,896,1664,2368,93824,56640,640,1007872
468,1117184,296576,173376,4288,2816,1088,246720,116672,275648,256448,860736,4736,960,241152,960,1472,2048,93248,57280,640,859648
469,1118016,297280,173376,4224,2752,1024,245632,117632,276096,256192,861824,4544,960,240320,960,1408,2176,94400,57600,768,860800
470,1117184,294272,170816,4288,2688,1088,246720,102656,294656,275456,841728,4800,960,241344,896,1600,2176,95168,57408,640,840640
471,1678400,294912,172288,4288,2688,422976,372288,103616,305344,284864,1393536,5056,896,366848,1280,1472,2112,222464,57344,576,970560
472,1677568,289664,173888,4352,2752,1152,657024,114304,434432,414848,1262720,190592,960,651840,1344,1600,2176,276032,102272,576,1261568
473,1677696,290560,174912,4224,2816,1024,530240,106624,567296,547904,1129792,204032,960,524672,49536,1536,2176,148928,89024,704,1128768
474,1117760,290240,174272,4288,2816,1024,518080,105088,21952,1920,1115840,207808,1088,512768,1472,1408,2176,115456,108160,640,1114816
475,1677952,291200,174912,4416,2880,960,531712,96448,575424,555328,1122624,187584,1024,526336,28672,1408,2368,146368,110464,640,1121664
476,1677824,288576,175360,4416,2752,960,532416,96896,576448,556672,1121152,188992,960,526848,30272,1344,2496,140160,116672,704,1120192
477,1118016,289408,173440,4288,4736,1024,492608,97472,55040,34496,1083520,160320,1024,487360,28224,1408,2176,137344,109504,640,1082496
478,1117056,293760,173376,4288,4992,1088,341696,96640,201216,181184,935872,7936,1024,336320,28224,1664,2048,135680,112832,576,934784
479,1117568,293632,173632,4352,2688,1088,342848,97152,202176,182272,935296,7552,960,337408,28672,1472,2112,139072,110528,640,934208
480,1117952,292992,174464,4288,3840,1088,339840,97280,204160,183936,934016,7552,1088,334400,28992,1408,2304,134976,111616,640,932928
481,1117568,291072,172224,4288,4864,1088,436992,84416,122624,102656,1014912,7680,960,431424,54272,1472,2240,235328,109312,768,1013824
