Wrote artifacts\performance\2026-08-16_tilesync-memo\ship-rows.csv
Tick-HUD buckets: target=smash64ds-battle-playable-tickhud-hwtri samples=1600 frames=439..2038 melonDS=1.0 sha=DE80E46BDCF1FD98 git=c3f7f048074+dirty(9) dldi=ON

bucket p50        p95        spread mean       min        max        %ALLp50
------ ---        ---        ------ ----       ---        ---        -------
ALL     1,117,696  1,678,144   1.50  1,215,852  1,114,304  5,311,552   100.0
FTR       294,720    299,136   1.01    285,941    169,344  4,495,040    26.4
STG       174,912    182,592   1.04    176,438    170,816    187,456    15.6
BG          4,288      4,416   1.03      4,306      4,096      4,608     0.4
AUD         2,688      6,848   2.55      8,709      1,088    152,576     0.2
HUD         1,088    420,032 386.06     35,595        896  2,127,488     0.1
SRC       334,208    576,256   1.72    353,496     10,944  1,173,696    29.9
MISC      108,288    178,048   1.64    114,001     83,200    326,592     9.7
OTHR      219,776    473,408   2.15    237,367     20,672    579,840    19.7
WAIT      200,128    454,016   2.27    217,477        896    559,744    17.9
WORK      948,800  1,363,328   1.44    998,375    670,592  5,007,168    84.9
SHDT        4,608     81,024  17.58     14,499          0    451,712     0.4
SWRM        1,024      1,088   1.06      1,003        768      1,152     0.1
GCRA      328,832    570,752   1.74    347,988      6,656  1,168,128    29.4
SCPU       53,760    110,464   2.05     48,085          0    142,272     4.8
SCAT        1,408      1,600   1.14      1,369          0      1,856     0.1
SPRM        2,112      2,304   1.09      4,969          0    593,280     0.2
SINT      161,472    297,216   1.84    165,639          0    958,016    14.4
SPHD       73,152    109,312   1.49     72,402          0    462,336     6.5
SPHC          640        768   1.20        632          0        960     0.1
WORK-H    934,912  1,217,216   1.30    962,781    662,464  5,006,080    83.6

named=978,486 (80.5% of ALL)  VBI 2:1728 3:284 4:17 5+:9 max:19 total:2038  slips=0
Wrote artifacts\performance\2026-08-16_tilesync-memo\ship.json
