frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,6159552,1006784,4054528,4288,93184,419776,303744,93440,183808,157312,6002240,8128,1280,298240,0,1856,3200,109952,86144,1088,5582464,0
3,1676864,16768,908736,4224,134912,5824,194816,74944,336640,316160,1360704,768,1344,189440,0,1408,2944,72896,27840,1152,1354880,0
4,1117632,17152,157632,4288,2752,5440,194176,71232,664960,644288,473344,768,1280,188736,0,1216,2816,73088,27840,1088,467904,0
5,1117376,16320,153600,4288,2688,5440,194112,70784,670144,649984,467392,704,1408,188544,0,1408,2816,73152,28160,1152,461952,0
6,1117760,16768,154048,4160,2880,5312,192256,71680,670656,650560,467200,640,1152,186880,0,1344,3136,72320,27072,1024,461888,0
7,1117568,17856,153152,4160,2816,5440,191744,71040,671360,651328,466240,576,1216,186304,0,1280,3008,71872,27136,960,460800,0
8,1117696,16896,154688,4224,2944,5248,191104,71424,671168,650880,466816,768,1216,185920,0,1216,2752,71168,27264,1024,461568,0
9,1117376,17472,153408,4224,2560,5376,193024,70400,670912,650688,466688,640,1280,187648,0,1216,2816,72640,28288,1088,461312,0
10,1117888,17088,154496,4160,2816,5440,192064,72192,669632,649472,468416,704,1216,186688,0,1344,3008,71616,27264,1088,462976,0
11,1117632,17088,155648,4288,2752,5376,192192,72256,668032,647424,470208,704,1344,186816,0,1152,2880,71488,27968,1152,464832,0
12,1117632,17024,155072,4160,2624,5504,191232,70272,671744,651456,466176,832,1216,185856,0,1280,3008,71552,27520,1024,460672,0
13,1117632,17280,153728,4288,2880,5504,191360,70272,672320,652608,465024,704,1216,186240,0,1216,2880,72320,27712,960,459520,0
14,1117696,16960,154496,4224,2688,5376,192576,72064,669312,648896,468800,640,1344,187264,0,1216,3200,72320,27136,1024,463424,0
15,1117376,16960,156032,4224,2816,5376,190784,71040,670144,650304,467072,640,1280,185664,0,1152,2944,71232,27648,1216,461696,0
