frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4738176,17856,1243776,0,2176,703744,249600,1985984,535040,506176,4232000,640,1088,244736,0,1088,3136,132032,27648,960,3528256,0
3,1116736,17984,332416,0,247616,4928,251584,79616,182592,156544,960192,640,1216,246720,0,1280,3072,133696,27392,960,955264,0
4,1117952,17856,329408,0,3904,5440,252288,81216,427840,401216,716736,576,1088,246848,0,1344,2944,134336,27776,1024,711296,0
5,1117312,18112,330304,0,3072,5504,251456,80960,427904,400960,716352,704,1088,246400,0,1280,3136,133632,27776,896,710848,0
6,1117696,17856,331008,0,3072,5376,252288,81536,426560,399872,717824,768,1024,247488,0,1088,3008,134592,27392,1088,712448,0
7,1117696,17984,330048,0,3136,5184,250368,81536,429440,402432,715264,704,1024,245440,0,1408,3008,133440,27264,896,710080,0
8,1117376,17600,327936,0,3136,5568,253440,79552,430144,403136,714240,704,1216,248576,0,1152,3008,134656,27392,1024,708672,0
9,1117760,17984,330688,0,3136,5248,254080,80896,425728,398464,719296,640,1088,249088,0,1280,3072,136064,27776,960,714048,0
10,1117504,18048,331264,0,3072,5376,250624,80832,428288,401536,715968,704,1216,245568,0,1280,2816,133696,27200,1024,710592,0
11,1117696,17984,328960,0,3136,5440,255680,79872,426624,400128,717568,832,1088,250688,0,1152,3200,137408,27520,1152,712128,0
12,1117440,18688,330560,0,3136,5120,253312,81088,425536,398528,718912,576,1152,248256,0,1024,3008,136064,27456,1024,713792,0
13,1117760,17984,328064,0,3008,5504,255232,80128,427840,401152,716608,704,1152,250112,0,1088,3072,136896,27712,1088,711104,0
14,1117568,17984,331136,0,3136,5248,253376,80384,426304,399808,717760,704,1152,248512,0,1152,3008,136192,27392,1024,712512,0
15,1117632,17856,327744,0,3136,5248,253568,81472,428608,402048,715584,704,1152,248512,0,1088,2880,136192,27648,768,710336,0
16,1117952,18176,332096,0,3072,5248,253440,79744,426176,399360,718592,704,1152,248256,0,1152,3136,136576,27264,1088,713344,0
17,1117632,18240,331072,0,3200,238592,253504,80128,192896,165888,951744,640,1088,248512,0,1024,2944,137088,27264,768,713152,0
18,1117312,17856,328640,0,3072,5248,253184,80512,428800,402368,714944,704,1152,248384,0,1152,2816,135872,27520,1088,709696,0
19,1117760,18048,330816,0,3072,5440,254336,80704,425344,398656,719104,640,1088,249280,0,1088,3008,136448,27648,960,713664,0
20,1117632,18176,330496,0,3008,5440,259264,80384,420864,393984,723648,832,1152,254336,0,1088,3200,140672,28160,1024,718208,0
21,1117440,17984,331904,0,3072,5696,258816,81280,418688,392256,725184,640,1152,253504,0,1152,2944,141056,27264,1024,719488,0
22,1117760,17728,330176,0,3136,5248,259328,80896,421248,394752,723008,640,1088,254400,0,1216,3008,140800,28288,1088,717760,0
23,1117696,18176,329792,0,3072,5376,257216,81216,422848,395968,721728,704,1088,251968,0,1216,3008,138624,28352,960,716352,0
24,1117440,18048,328064,0,3136,5312,256256,80128,426496,399936,717504,768,1152,250944,0,1088,2816,139136,27648,896,712192,0
25,1117888,18176,331328,0,3072,5376,256000,81344,422592,395968,721920,704,1088,251008,0,1216,2944,138304,27584,1024,716544,0
26,1117120,17920,330112,0,79936,5376,256384,79808,347584,320704,796416,640,1216,251136,0,1024,2944,139328,27072,896,791040,0
27,1117888,18176,329216,0,3136,5440,257344,80640,423936,397696,720192,640,1088,252352,0,1088,2944,139264,27648,1024,714752,0
28,1117568,18368,331264,0,3072,5312,252544,79744,427264,400512,717056,640,1152,247552,0,1152,3072,134976,27520,832,711744,0
29,1117568,17856,331264,0,2944,5440,254400,80512,425152,398400,719168,768,1152,249408,0,1280,3136,135872,27840,1024,713728,0
30,1117568,18048,334016,0,3136,5632,257728,80320,418688,392384,725184,640,1152,252736,0,1280,3008,140160,27776,960,719552,0
31,1117952,17728,331008,0,3136,5376,254272,80256,426176,399808,718144,768,1152,249408,0,1024,3200,137280,27968,960,712768,0
32,1117632,18368,327808,0,3072,258304,250560,79936,179584,152704,964928,640,1216,245312,0,1216,3072,133568,27200,832,706624,0
33,1117696,17856,330304,0,3072,5120,256000,79808,425536,398912,718784,704,1088,250816,0,1024,2880,137728,27904,960,713664,0
34,1117440,17856,332736,0,3072,5568,252800,80576,424832,398144,719296,704,1152,247680,0,960,3008,136576,27008,1024,713728,0
35,1117568,17664,328384,0,3072,5376,253888,80064,429120,402560,715008,640,1216,248960,0,1216,3200,136448,27648,960,709632,0
