frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4465152,19328,1282432,0,2304,410496,251200,1964160,535232,506048,3959104,640,1280,245952,0,1088,3008,132864,27712,1152,3548608,0
3,1116736,18368,350336,0,277760,5440,254592,81216,129024,102336,1014400,768,1344,249344,0,1216,3328,135232,28032,960,1008960,0
4,1117696,18752,346368,0,3904,5376,252736,81856,408704,381568,736128,512,1216,247552,0,1216,3072,133632,27840,1024,730752,0
5,1117248,18304,345792,0,3072,5376,253568,81280,409856,383104,734144,512,1344,248320,0,1088,3136,134720,27968,1088,728768,0
6,1117632,18240,346368,0,3264,5248,254080,82240,408192,381056,736576,640,1216,248960,0,1216,3008,135616,27520,896,731328,0
7,1117504,18496,345536,0,3200,5440,252544,80896,411392,384192,733312,640,1216,247360,0,1152,3264,134208,27456,960,727872,0
8,1117312,18432,347456,0,3200,5376,254848,82304,405696,378432,738880,640,1344,249728,0,1024,3200,135360,27456,832,733504,0
9,1117440,18240,347200,0,3136,5376,253632,80896,408960,382272,735168,640,1152,248640,0,1344,3008,135040,27392,1024,729792,0
10,1117632,18048,347776,0,3264,5568,253504,80384,409088,381952,735680,640,1216,248320,0,1088,3264,135808,26752,960,730112,0
11,1117376,17792,346624,0,3200,5568,257664,81152,405376,378560,738816,640,1216,252416,0,1088,3136,138944,27200,896,733248,0
12,1117760,17984,344384,0,3200,5568,253696,80384,412544,385856,731904,768,1216,248640,0,960,3136,136640,26880,960,726336,0
13,1117440,18496,344832,0,3136,5248,255616,80384,409728,382976,734464,576,1152,250432,0,1024,3264,137600,27072,960,729216,0
14,1117632,18752,347008,0,3200,5504,255872,82240,405056,378240,739392,640,1344,250624,0,960,3136,137536,27328,1024,733888,0
15,1117312,18304,347520,0,3200,5376,256000,81280,405632,378816,738496,640,1216,251008,0,1088,3072,138176,26816,1024,733120,0
16,1117760,18368,345536,0,3136,5376,255360,81152,408832,382272,735488,576,1152,250112,0,1152,3008,137408,27200,1024,730112,0
17,1117760,18112,346176,0,3200,237312,257152,80832,174976,147776,969984,640,1216,252032,0,1024,3136,138304,27392,832,732672,0
18,1117376,18688,345664,0,3136,5440,254848,81792,407808,380928,736448,640,1280,249728,0,1216,3136,136768,26880,960,731008,0
19,1117696,17920,347328,0,3200,5760,255552,81152,406784,379776,737920,768,1216,250432,0,1152,3264,136896,27584,960,732160,0
20,1117440,18240,344896,0,3200,5440,259776,81664,404224,376896,740544,704,1280,254720,0,1024,3008,141184,27648,896,735104,0
21,1117312,18048,346752,0,3264,5248,260928,81152,401920,375104,742208,640,1280,255872,0,1088,2944,142208,27712,1088,736960,0
22,1117568,18112,346240,0,3328,5376,259456,81088,403968,377024,740544,640,1216,254400,0,1216,2944,140864,27200,832,735168,0
23,1117568,18496,345344,0,3072,5504,260672,80000,404480,378048,739520,704,1280,255424,0,1088,3008,140864,28224,896,734016,0
24,1117376,18688,347008,0,3264,5504,257856,79936,405120,378496,738880,768,1344,252544,0,896,3136,139968,27264,896,733376,0
25,1117504,17792,345472,0,3136,5376,257408,80448,407872,380864,736640,576,1344,252096,0,1152,3008,139136,27264,960,731264,0
26,1117120,18368,345024,0,94528,5184,259648,80128,314240,287744,829376,640,1216,254400,0,1088,3136,140160,27328,1088,824192,0
27,1117824,18048,346560,0,3072,5504,258816,81664,404160,377408,740416,640,1088,253760,0,1344,3072,140608,27200,1024,734912,0
28,1117632,18496,345600,0,3072,5568,254720,81088,409088,382208,735424,640,1152,249600,0,1216,3136,136576,27328,896,729856,0
29,1117568,18560,344576,0,3200,5248,256000,80576,409408,382592,734976,576,1280,250624,0,1216,3008,137344,27648,1088,729728,0
30,1117760,18240,347328,0,3136,254976,259328,81024,153728,126528,991232,704,1280,254080,0,1024,3136,140992,26880,1024,736256,3
31,1117184,18624,343872,0,3136,5056,257792,80768,407936,381312,735872,640,1280,252672,0,1024,3136,139520,27392,960,730816,0
32,1117504,18560,345024,0,3072,5440,252288,81024,412096,384960,732544,640,1152,247168,0,1216,3264,134080,27264,960,727104,0
33,1117376,18176,346432,0,3072,5248,257792,80960,405696,378624,738752,704,1216,252800,0,960,3136,139648,27648,1088,733504,0
34,1117568,18432,346816,0,3136,5696,257792,81664,404032,377024,740544,768,1280,252672,0,1152,3072,138240,27968,1088,734848,0
35,1117376,18112,346624,0,3136,5568,254592,81408,407936,381376,736000,512,1344,249408,0,960,3008,136448,27456,960,730432,0
36,1117760,18624,346432,0,3136,5568,255040,80768,408192,381888,735872,640,1216,249984,0,1152,3072,137344,27712,1088,730304,0
37,1117440,18112,347328,0,2944,5440,257088,80448,406080,379328,738112,704,1216,251904,0,1152,3008,138432,27840,1024,732672,0
38,1117440,17792,346624,0,3072,5632,256448,80896,406976,380480,736960,640,1216,251584,0,1216,2944,138176,27520,960,731328,0
39,1117376,18496,344064,0,3200,5696,256768,81088,408064,381376,736000,576,1152,251712,0,1024,3136,138048,27712,896,730304,0
40,1117376,18240,346944,0,3328,5632,255616,80320,407296,380736,736640,704,1344,250496,0,960,3136,137408,27264,1024,731008,0
41,1117696,18560,346688,0,3136,5440,283200,81408,379264,352320,765376,704,1216,278144,0,1024,3072,164608,27456,896,759936,0
42,1117312,17856,346048,0,3072,5376,265536,80832,398592,371648,745664,640,1280,260288,0,1024,3072,146944,27584,896,740288,0
43,1117824,17728,346624,0,3072,5376,255488,81472,408064,381376,736448,640,1344,250176,0,1152,3072,137152,26944,1024,731072,0
44,1117312,18496,345728,0,3136,5504,255872,80640,407936,381376,735936,640,1088,251008,0,1216,3072,137408,27328,896,730432,0
45,1117952,18176,345280,0,3264,273920,255040,80384,141888,114432,1003520,704,1280,249920,0,1088,3200,137472,26944,896,729600,0
46,1117184,18560,346304,0,3136,5376,256128,80640,407040,380416,736768,640,1216,251200,0,960,3136,137792,27264,960,731392,0
47,1678144,28032,345664,0,6400,16640,1039232,179136,63040,27712,1650432,832,1600,1033536,0,1088,3264,132352,32768,896,1633792,0
48,1117696,27968,348992,0,137536,16704,274688,177728,134080,98624,1019072,576,1536,269056,0,1280,3136,138816,33152,1024,1002368,0
49,1117056,28288,349632,0,3200,16704,275520,179712,264000,229504,887552,576,1472,270144,0,1088,3200,139520,32576,960,870848,0
50,1117824,28416,347520,0,3200,16896,274112,179712,267968,233088,884736,640,1472,268864,0,1152,3072,139136,32640,1024,867840,0
