frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4682304,18816,1278144,0,2304,660224,251904,1935168,535744,506368,4175936,704,1280,246784,0,1216,3008,133760,27200,1152,3515712,0
3,1116544,18624,340608,0,278784,5376,253696,81472,137984,110976,1005568,640,1344,248640,0,1216,3200,135104,27456,960,1000192,0
4,1117632,18496,340288,0,3904,5440,255104,81664,412736,385664,731968,640,1280,249984,0,1344,3136,135872,27584,1152,726528,0
5,1117760,18624,339264,0,3136,5376,254464,82560,414336,386880,730880,640,1280,249152,0,1152,3264,135360,27456,1024,725504,0
6,1117440,18304,340288,0,3136,5632,253568,80960,415552,388480,728960,704,1280,248384,0,1152,3008,135168,27264,832,723328,0
7,1117440,19136,338752,0,3136,5504,253248,80640,417024,389952,727488,768,1280,248000,0,1152,3200,135040,27008,1024,721984,0
8,1117568,18368,340992,0,3264,5504,256896,81152,411392,384512,733056,704,1152,251648,0,1152,3072,137344,27520,768,727552,0
9,1117504,17856,339648,0,3136,5376,253760,80640,417088,390272,727232,640,1152,248640,0,960,3136,136256,27264,960,721856,0
10,1117504,18304,341056,0,3200,5568,253824,80896,414656,387776,729728,768,1472,248384,0,1088,3136,135936,27136,1152,724160,0
11,1117696,18432,338944,0,3136,5504,257600,80896,413184,385984,731712,704,1280,252352,0,1344,3008,139840,26944,1024,726208,0
12,1117632,18304,338048,0,3072,5504,256256,81216,415232,388032,729600,640,1216,251136,0,1088,3200,137600,27648,960,724096,0
13,1117568,18240,341056,0,3136,5312,256768,81344,411712,384768,732800,640,1216,251456,0,1344,3008,138624,27456,896,727488,0
14,1117376,18496,340224,0,3200,5184,256896,81024,412352,385408,731968,704,1152,251840,0,1408,3200,138944,27456,896,726784,0
15,1117568,18496,340736,0,3072,5248,257024,81344,411648,384640,732928,640,1216,251648,0,1152,3200,139200,27008,1024,727680,0
16,1117248,18432,339584,0,3200,5440,256512,81344,412736,385984,731264,704,1280,251136,0,1280,3200,138496,27008,960,725824,0
17,1118144,17728,340480,0,3072,239808,259008,79168,178880,151296,966848,640,1216,253760,0,1088,3392,140480,27392,960,727040,0
18,1117312,18240,340096,0,3136,5632,255104,80960,414144,386944,730368,640,1344,249664,0,1088,2944,137600,26816,1024,724736,0
19,1117376,17856,341056,0,3072,5440,256576,81088,412288,385728,731648,704,1344,251264,0,1280,3136,137920,27328,1088,726208,5
20,1117952,18048,339136,0,3072,5696,262016,81408,408576,381440,736512,640,1216,256832,0,1152,3200,142848,27904,1024,730816,0
21,1117312,17856,340736,0,3136,5568,261120,81280,407616,380736,736576,704,1152,256064,0,1088,3008,142848,27328,1088,731008,0
22,1117632,18304,340224,0,3264,5504,259200,81216,409920,383040,734592,640,1344,253696,0,1280,3072,141504,26944,896,729088,0
23,1117568,17920,341824,0,3072,5568,260032,80832,408320,381184,736384,640,1216,254656,0,1280,2880,140352,27968,1024,730816,0
24,1117504,18496,338368,0,3072,5376,259328,81536,411328,384384,733120,704,1216,254208,0,1344,3008,141312,27008,1088,727744,0
25,1117760,17920,340608,0,3136,5888,258432,80640,411136,384064,733696,640,1280,253248,0,1216,3200,139648,27584,832,727808,0
26,1117312,17472,339584,0,95040,5376,259136,79936,320768,293632,823680,512,1216,253760,0,1216,3072,139648,27648,896,818304,0
27,1117504,17792,339264,0,3200,5696,260544,80960,410048,383168,734336,576,1280,255296,0,1088,3264,142080,27392,1088,728640,0
28,1117632,17792,341312,0,3200,5440,254592,81664,413632,386752,730880,512,1088,249344,0,1216,3008,136896,27264,1024,725440,0
29,1117824,18816,340608,0,3200,254528,256192,81216,163264,135872,981952,640,1216,251136,0,1088,3200,137984,27264,832,727424,0
30,1117376,17984,341376,0,3136,5184,259008,81152,409536,382400,734976,640,1280,253632,0,1216,3008,141376,26944,1024,729792,0
31,1117632,17984,340480,0,3072,5312,258176,80128,412480,385216,732416,704,1280,253248,0,1216,3264,139904,27456,1024,727104,0
32,1117568,17472,339712,0,3200,5376,254656,80000,417152,390208,727360,640,1280,249536,0,1216,3008,136320,27648,896,721984,0
