frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,1677504,390208,355200,0,3264,11904,484032,308224,124672,96576,1580928,8320,1216,478464,64896,1728,2944,202624,104064,1024,1569024,0
1401,2798144,775360,351232,0,3648,20672,803456,291904,551872,523392,2274752,13760,1216,797824,44992,1792,3008,518464,160192,1152,2254080,0
1402,1677760,346048,352960,0,3520,20608,507264,291584,155776,127232,1550528,13760,1152,501568,96896,1920,3136,222912,158848,1152,1529920,0
1403,2797760,670208,354496,0,3712,41792,998656,298112,430784,402240,2395520,213056,1152,993152,48064,1792,275200,207424,189888,1216,2353728,0
1404,2237888,364544,355008,0,6464,471488,426752,281856,331776,303616,1934272,13696,1088,421120,44992,1792,2944,126592,146944,960,1462784,0
1405,1677696,351488,353920,0,117376,42112,430784,270144,111872,83200,1594496,13568,1152,424832,68480,1664,2880,153920,148480,1280,1552384,0
1406,1677760,340864,353600,0,3648,5312,520384,270976,182976,154816,1522944,11712,1216,514880,70592,1728,3136,230784,166272,1280,1517632,0
1407,2236352,370944,353856,0,3712,5824,791360,269760,440896,414144,1822208,301504,1152,785792,45888,1664,3712,206272,170496,1024,1816384,0
1408,3358080,695552,353152,0,3968,27264,1321472,424576,532096,505536,2852544,415744,1216,1315776,46464,1728,329600,285504,179584,1216,2825280,0
1409,2237760,385920,351680,0,4224,27904,721536,430272,316224,289856,1947904,330048,1216,715904,45440,1344,6656,87232,153472,1088,1920000,0
1410,2238016,372608,354368,0,4096,5632,632576,460864,407872,380992,1857024,221056,1152,627072,85440,1728,3072,128896,156800,1088,1851392,0
1411,2237824,356480,353472,0,6656,27776,660160,459904,373376,346752,1891072,231424,1152,654720,43456,1856,3136,134912,169664,1344,1863296,0
1412,2798400,365952,353024,0,3904,437632,840704,338432,458752,431616,2366784,380160,1216,834816,44096,1920,3648,163328,174976,1152,1929152,0
1413,2237632,378176,355904,0,4160,5376,821952,462720,209344,182592,2055040,401600,1280,816320,45888,1664,3136,137344,161728,1024,2049664,0
1414,3358336,380160,352896,0,4224,27456,1780032,643776,169792,142976,3215360,440000,1088,1774272,66880,1856,854784,190464,172352,1280,3187904,0
1415,2237568,371200,353856,0,126080,27584,458432,619968,280448,254016,1983552,14592,1152,452480,93760,1664,3072,178304,132288,1344,1955968,0
1416,2237888,357952,353600,0,4416,27584,407424,626432,460480,433920,1803968,14784,1216,401600,47040,1728,3072,130240,131456,1152,1776384,0
1417,1677824,355456,351424,0,7680,27968,400256,448512,86528,59968,1617856,14784,1216,394688,48576,1600,3200,130368,130112,1216,1589888,0
1418,1677504,371200,354240,0,5376,5760,447616,322880,170432,143168,1534336,14912,1152,441984,93312,1344,3136,187648,130240,1216,1528576,0
1419,1677824,358784,352320,0,3904,5568,388928,443008,125312,98496,1579328,14848,1152,383296,47680,1664,3072,129600,129984,1216,1573760,0
1420,2238016,356096,351744,0,5248,436352,544960,455488,88128,60416,2177600,15104,1216,539584,47744,1856,28736,215040,172288,1216,1741248,0
1421,2237696,357312,354816,0,7744,5504,536128,451328,524864,497472,1740224,14400,1152,530368,46784,1728,28096,213952,165312,1216,1734720,0
1422,2237440,355840,350912,0,3648,5696,535296,424704,561344,534848,1702592,14784,1152,529536,46016,1728,28160,210560,167808,1216,1696896,0
1423,1677888,359744,352128,0,3648,5824,563968,248640,143936,117440,1560448,12480,1152,558400,91904,1664,36992,255424,148096,1152,1554624,0
1424,1679232,358528,357440,0,4672,11776,537600,267520,141696,113664,1565568,9408,1088,532160,74688,1856,17344,247744,135040,1344,1553792,0
1425,1677888,332544,357888,0,5952,11776,516544,264576,188608,160064,1517824,9280,1216,510784,100736,1856,3136,255744,133184,1216,1506048,0
1426,1677632,331904,358592,0,4992,11904,496448,269568,204224,175808,1501824,9472,1152,490624,92544,1792,3072,236032,131968,1216,1489920,0
1427,1677696,349120,356928,0,3392,33472,498560,268032,168192,139840,1537856,9536,1152,492992,86080,1792,2944,237888,131840,1024,1504384,0
1428,1677696,325248,357440,0,81984,5696,507904,258240,141184,112896,1564800,9984,1152,502144,104704,1600,2944,246976,132160,1216,1559104,0
1429,2796800,429248,360128,0,3456,431552,762816,658880,150720,123520,2673280,10304,1088,757056,106880,1920,3136,244608,132416,1280,2241728,0
1430,1677376,394688,361024,0,3392,5504,555264,329088,28416,1536,1675840,10368,1216,549504,108160,2048,3072,267520,131520,1344,1670336,0
1431,2237696,642432,360576,0,5568,5888,783424,328960,110848,84480,2153216,10240,1152,778048,102784,1984,3328,478400,148864,1088,2147328,0
1432,2237888,329920,359488,0,3456,5568,738176,336192,465088,438848,1799040,9984,1216,732416,107520,1856,3008,266368,157888,1216,1793472,0
1433,1677632,311104,353984,0,3520,5696,604928,321408,76992,50048,1627584,10048,1152,599488,131520,1920,3136,285248,161408,1088,1621888,0
1434,2239360,332096,359296,0,3392,12096,621696,324864,585920,557376,1681984,9856,1024,616192,151680,1856,3072,310016,155648,1152,1669888,0
1435,1677760,316352,358976,0,3584,11840,623872,331200,31936,3840,1673920,9920,1216,618112,148288,1664,3200,319232,147392,1152,1662080,0
1436,2237760,315648,358272,0,3520,11776,632128,336960,579456,551360,1686400,9728,1152,626432,151296,1920,3520,328064,146752,1088,1674624,0
