frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4775104,17728,1257664,0,2240,724032,250368,1988032,535040,505984,4269120,576,1024,245248,0,1152,3136,131776,27520,768,3545088,0
3,1116864,18176,386880,0,262336,5376,251136,80896,112064,85376,1031488,576,1024,246208,0,1344,3136,133184,27520,896,1026112,0
4,1117568,18432,384448,0,3840,5696,251840,81792,371520,344576,772992,832,1152,246784,0,1152,3136,133120,27776,832,767296,0
5,1117568,18624,382912,0,3008,5184,251072,80640,376128,348928,768640,704,1088,245824,0,1088,3008,132288,27712,1024,763456,0
6,1117696,18368,381312,0,3008,5376,252160,81344,376128,348672,769024,704,960,247232,0,1088,3136,133952,27456,960,763648,0
7,1117248,18048,382784,0,3200,5504,249856,81920,375936,348864,768384,640,1152,244992,0,1152,3008,132352,27520,896,762880,0
8,1117376,18048,382464,0,3328,5248,252032,81664,374592,347584,769792,768,1088,247104,0,1088,2944,134208,27008,896,764544,0
9,1117312,18240,381696,0,3136,5632,252736,81216,374656,347840,769472,640,1088,247936,0,960,3200,134080,27968,960,763840,0
10,1117760,17984,380864,0,3200,5440,250816,80832,378624,351808,765952,640,1088,245760,0,1216,3072,132928,27840,1024,760512,0
11,1117504,18368,384192,0,3264,5312,254848,80896,370624,343552,773952,640,1152,249728,0,1088,3072,137088,27328,1088,768640,0
12,1117312,18176,384064,0,3136,5760,253632,80576,371968,345216,772096,704,1088,248448,0,1088,2944,136192,27136,832,766336,0
13,1117568,18048,386560,0,3200,5440,253376,81344,369600,342848,774720,704,960,248384,0,1024,3008,135936,27584,1024,769280,0
14,1117632,18176,383616,0,3136,5440,251456,80896,374912,348160,769472,576,1024,246528,0,1088,3008,134528,27200,896,764032,0
15,1117632,18496,382784,0,3200,5568,252608,79936,375040,348352,769280,576,1088,247680,0,1088,3136,135680,27200,1024,763712,0
16,1117696,18176,385472,0,3264,5184,252800,80896,371904,344960,772736,576,1152,247552,0,1088,3200,135616,27264,1024,767552,0
17,1117568,18368,383360,0,3264,244288,253440,81984,132864,105600,1011968,704,960,248512,0,1152,3136,136512,27072,896,767680,0
18,1117504,18368,383936,0,3200,5568,253248,80576,372608,345984,771520,704,1024,248192,0,1216,3008,135232,27712,960,765952,0
19,1117376,18176,382272,0,3072,5312,251584,79936,377024,350080,767296,640,1088,246528,0,960,2880,134336,27584,1024,761984,0
20,1117632,18432,382720,0,3072,5312,258560,80512,369024,342144,775488,576,1088,253568,0,1152,3008,140480,27392,1088,770176,0
21,1117440,18368,383488,0,3200,5568,259072,80704,367040,340032,777408,704,1088,254016,0,1088,3072,141248,27328,1024,771840,0
22,1117568,17792,382592,0,3136,5376,256192,81664,370816,344000,773568,768,1088,250944,0,1152,3072,139008,27712,1088,768192,0
