frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4744192,17408,1263808,0,2496,753792,245632,1926016,535040,506624,4237568,832,1152,240576,0,1280,3264,127872,27264,1024,3483776,0
3,1116544,17280,337216,0,260416,5376,247680,80832,167744,141888,974656,768,1088,242368,0,1024,3136,129728,27776,1024,969280,0
4,1117760,17600,332864,0,3904,5504,248192,79616,430080,403328,714432,640,1152,243008,0,1216,3072,129728,27776,1024,708928,0
5,1117376,17728,335936,0,3328,5248,247808,79744,427584,401216,716160,768,1152,242816,0,1152,3264,128832,27584,1088,710912,0
6,1117440,17216,333824,0,3328,5504,249024,80320,428224,401792,715648,640,1152,243904,0,1216,3136,130816,27584,960,710144,0
7,1117504,17280,335552,0,3392,5504,247296,80576,427904,400832,716672,768,1088,242368,0,1216,3328,129920,26944,1024,711168,0
8,1117312,17408,335360,0,3264,5504,248960,79872,426944,400128,717184,576,1088,243776,0,1088,3008,131392,26880,896,711680,0
9,1117376,17600,333568,0,3264,5440,248768,80128,428608,401984,715392,640,1152,243712,0,1152,3072,131712,27072,960,709952,0
10,1117440,17536,334016,0,3328,5504,247936,79744,429376,403328,714112,576,1024,242880,0,1152,2944,129536,27904,1088,708608,0
11,1117760,17472,332736,0,3392,5696,252224,80384,425856,399360,718400,704,1216,247040,0,1024,3328,134528,27264,896,712704,0
12,1117184,17472,335424,0,3264,5312,250432,81408,423872,397248,719936,640,1088,245440,0,1088,3072,132608,27392,896,714624,0
13,1117440,17536,333504,0,3200,5376,249984,79232,428608,402240,715200,704,1152,244864,0,1088,3264,133120,27072,960,709824,0
14,1117824,17728,333504,0,3200,5440,250304,79296,428352,401472,716352,576,1216,245120,0,1088,3008,132352,27712,1088,710912,0
15,1117376,17920,333632,0,3264,5440,251072,79936,426112,399680,717696,832,1152,245824,0,1152,2752,133120,27392,1024,712256,0
16,1117696,16896,334784,0,3328,5248,251392,80896,425152,398464,719232,576,1088,246144,0,1280,3200,132928,27520,896,713984,0
17,1117440,17472,333568,0,3264,240640,250432,79552,192512,165312,952128,704,1088,245376,0,1344,3072,133376,26816,896,711488,0
18,1117440,17792,334784,0,3328,5120,250304,80128,425984,399552,717888,704,1088,245184,0,1216,3136,133056,27264,1024,712768,0
19,1117312,17728,334400,0,3264,5376,251008,80512,425024,398080,719232,704,1088,245696,0,1152,3008,133184,27328,1024,713856,0
