frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,1678080,389248,348480,0,3328,11904,483968,308672,132480,104128,1573952,8768,1024,478272,68800,1856,3264,200960,103232,1216,1562048,0
1401,2798144,791232,344064,0,3712,20416,797696,289472,551552,522880,2275264,13760,1024,792256,49024,1984,3136,512384,160512,1152,2254848,0
1402,1677888,345280,344256,0,3776,19968,510656,289216,164736,136192,1541696,14208,1024,505024,103872,1984,3328,226112,159168,1024,1521728,0
1403,2798080,681920,345472,0,3840,40512,960960,295040,470336,441728,2356352,213760,1088,955328,52224,1856,233728,208000,192960,1152,2315840,0
1404,1677632,365696,341312,0,6592,41344,427712,281472,213504,185344,1492288,14016,1152,422016,47744,1792,3072,127104,147200,1088,1450944,0
1405,1677760,353600,342592,0,3968,41472,435008,266432,234688,206400,1471360,13568,1088,429376,74880,1856,3136,158208,148864,1280,1429888,0
1406,1677888,340672,343424,0,3840,5440,526848,270016,187648,159104,1518784,11328,960,521280,76800,1984,3008,234432,169664,1216,1513344,0
1407,2236416,370816,346368,0,3648,424768,795584,265664,29568,2432,2233984,301568,1024,789824,49792,1856,3840,207360,172608,1216,1809216,0
1408,2798016,704512,343808,0,4096,26816,1241664,424768,52352,25344,2772672,399104,1152,1236032,50048,1856,240896,310400,180096,1152,2745856,0
1409,2237888,386304,344384,0,4224,27136,727424,429888,318528,291648,1946240,331136,1024,721728,50496,1600,6912,92352,153408,1280,1919104,0
1410,2237824,372800,342336,0,4288,5504,640064,457600,415232,388864,1848960,222080,1088,634496,92672,1792,3264,136000,155904,1024,1843456,0
1411,2238080,356160,344704,0,6656,26944,662912,463936,376768,350080,1888000,231680,1024,657408,47872,1792,3392,136320,170304,1216,1861056,0
1412,2237888,367488,345792,0,122368,5696,841472,336192,218880,192256,2045632,380096,1024,835968,48576,1856,3840,165376,173568,1088,2039936,0
1413,2237952,378176,344896,0,4160,5632,821760,459840,223488,196608,2041344,400896,960,816128,48768,1600,3328,137408,161728,1152,2035712,0
1414,3918848,379648,343488,0,4224,448640,1650112,636608,456128,428992,3489856,435648,960,1644544,73728,1728,724032,195328,172288,1152,3041216,0
1415,2237760,371392,342272,0,6848,27136,462464,617984,409664,382784,1854976,14976,896,456704,100672,1856,3264,183360,131520,1088,1827840,0
1416,2238080,354880,342912,0,7360,26816,406848,626304,472960,446016,1792064,14976,960,401152,50688,1920,3328,131584,130368,832,1765248,0
1417,1677952,355200,345728,0,7488,27200,399424,446592,96320,69952,1608000,15232,896,393728,51904,1536,3008,130624,129216,1088,1580800,0
1418,1677696,370816,341376,0,6720,5568,454016,322368,176832,150144,1527552,15168,1024,448512,100992,1728,3328,194560,129280,1152,1521984,0
1419,1677632,359104,342272,0,4032,5568,389504,442048,135104,108800,1568832,14720,1024,383744,51136,1984,3136,130560,128960,1280,1563264,0
1420,2238080,355136,343680,0,6336,5504,542080,456576,528768,502272,1735808,14592,896,536448,51520,1728,28352,214656,170752,1216,1730304,0
1421,2237888,358080,343360,0,7488,5568,532928,452288,538176,511424,1726464,14912,1024,527104,50240,1920,27968,213440,164096,1088,1720896,0
1422,2237888,353856,345920,0,5376,5504,530368,425280,571584,544704,1693184,14784,960,524800,49152,1856,28096,210816,163648,1152,1687680,0
1423,2238080,358592,341952,0,134400,423744,564416,247872,167104,140096,2097984,12480,1088,558784,98752,1856,36928,258752,145600,1152,1674240,0
1424,1679104,358272,346368,0,4992,11584,539904,264832,153152,124800,1554304,9664,1024,534336,81280,1728,17152,251712,133440,1024,1542720,0
1425,1677632,330432,347776,0,5824,11840,519808,264640,197312,169600,1508032,9664,1024,514112,108800,1728,3328,259584,132032,1216,1496192,0
1426,1678080,328960,349952,0,5120,11584,499392,271040,212032,183808,1494272,9984,1024,493760,100032,1792,3136,239168,131008,1088,1482688,0
1427,1677568,345280,347456,0,5952,32896,501248,266240,178496,150400,1527168,9472,1024,495680,94336,1984,3200,241600,131072,1088,1494272,0
1428,1677760,326400,347264,0,6144,5632,507776,258432,226112,197632,1480128,9664,1024,502144,111616,1920,3072,248576,130816,1088,1474496,0
1429,2236608,428672,350656,0,3456,5632,747392,659840,40960,13952,2222656,10240,1024,741696,113216,2176,3200,246656,130240,1216,2217024,0
1430,1677504,394240,349696,0,3456,5568,556416,328448,39680,13376,1664128,10688,960,550912,114560,2048,3072,268800,130560,1152,1658560,0
1431,2238080,649408,350080,0,4544,5568,739328,330304,158848,132288,2105792,10240,1024,733568,109312,1920,3264,434432,146752,960,2100224,0
1432,2238144,329216,349184,0,3648,428352,730304,337664,59776,32768,2205376,10176,1024,724736,115328,1920,3200,272000,158912,1024,1777024,0
