frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,2237952,361216,345280,0,3328,41408,706624,288256,464896,436736,1801216,217472,1024,700992,73344,1792,3776,203584,172032,1152,1759808,0
1401,2798016,792064,347392,0,3648,448000,799936,289280,118720,89984,2708032,13504,1152,794048,47808,1920,3200,513920,162176,1280,2260032,0
1402,1677888,344320,346176,0,3712,20608,513216,296704,160576,132096,1545792,13888,1152,507584,101696,1792,3200,226432,161024,1088,1525184,0
1403,2797952,684032,344576,0,3840,40960,965440,280064,462400,433920,2364032,213632,1152,959616,50688,2048,236352,210624,191232,1152,2323072,0
1404,1677568,364032,349440,0,6272,41344,429312,267840,207104,179264,1498304,13312,1216,423552,47104,1984,3264,128384,148672,1216,1456960,0
1405,1677696,351360,345664,0,3840,41344,438464,270016,229184,201344,1476352,13760,1088,432704,74176,1920,3264,161344,148608,1216,1435008,0
1406,1677632,339328,346112,0,3840,5376,527808,266048,185152,156800,1520832,11584,1216,522240,75008,1856,3264,235776,169280,1088,1515456,0
1407,2236480,370560,343040,0,3840,5376,797440,420288,450176,423232,1813248,301376,1088,791616,48768,1664,3648,208960,172928,1024,1807872,0
1408,2798208,707904,343424,0,3968,27072,1248768,428160,46784,19776,2778432,401088,1152,1242752,49152,1984,242112,312512,181376,1216,2751360,0
1409,2798016,385728,349120,0,4288,450240,729280,459072,451200,424256,2373760,331712,1280,723328,49600,1600,6592,91712,155008,1152,1923520,0
1410,2237632,370688,346560,0,123392,5696,642560,456448,289664,263488,1974144,221504,1152,636864,92160,1536,3200,136000,158848,1216,1968448,0
1411,2238080,355456,345472,0,6656,26816,662720,336640,384512,357824,1880256,231744,1152,656768,47040,1792,3264,136832,170304,1216,1853440,0
1412,2237568,361856,343104,0,4032,5696,845952,459968,340288,313792,1923776,381120,1152,840128,47872,1920,4096,166720,176320,1344,1918080,0
1413,2237888,376320,345216,0,4032,5568,821184,635776,225600,198912,2038976,399296,1152,815616,48000,1728,3136,138304,161792,1152,2033408,0
1414,3358272,379072,346432,0,4160,27072,1649920,618752,315840,289344,3068928,436480,1152,1644032,72192,1792,719936,197248,173888,1088,3041856,0
1415,2237824,371840,347648,0,6528,26816,463808,625152,402432,376128,1861696,14784,1088,457984,99456,1792,3200,183744,132416,1152,1834880,0
1416,2238016,355648,345024,0,5824,452480,408384,448384,45504,18112,2219904,14464,1088,402560,50496,1600,3072,133696,130112,1216,1767424,0
1417,1677632,352256,346560,0,7808,27456,402304,321856,92864,66624,1611008,14272,1088,396672,51776,1792,3392,132992,130304,1216,1583552,0
1418,1677504,371072,341696,0,6656,5760,455488,439808,174976,148928,1528576,14464,1088,449664,99968,1728,3328,195008,130368,1152,1522816,0
1419,1677824,356416,342080,0,4096,5760,391936,453760,137728,110912,1566912,14336,1152,385920,50880,1792,3136,133120,129856,1216,1561152,0
1420,2237888,358784,345664,0,5184,5632,545600,449152,523264,497088,1740800,14976,1088,539904,50496,1792,28672,216448,171776,1024,1735168,0
1421,2237888,358272,347264,0,138304,5696,542016,421376,397184,370944,1866944,14464,1152,536192,50048,1856,28544,216512,166784,1024,1861248,0
1422,2237696,356032,346304,0,5440,6016,536832,246976,565696,538944,1698752,14464,1088,530816,49600,1856,28096,213184,167424,1216,1692736,0
1423,1677760,357632,347840,0,3648,5824,566848,266304,148992,122368,1555392,12224,1088,561344,96000,1920,37184,259776,146560,1216,1549568,0
1424,1679232,357248,350464,0,3648,11520,541632,264448,148416,120064,1559168,9728,1216,535808,79424,2112,17024,251648,134656,1152,1547648,0
1425,2238016,330368,353024,0,5888,441728,521600,270016,320960,292544,1945472,9344,1088,516032,106240,1856,3392,260992,132928,1216,1503744,0
1426,1677504,330176,350528,0,4992,11456,502720,266496,207616,179328,1498176,9536,1152,496960,98112,1792,3328,240064,133952,1088,1486720,0
1427,1677632,343488,350464,0,5760,32832,502272,258304,176320,148096,1529536,9984,1152,496384,91520,1728,3264,240512,132672,1152,1496704,0
