frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4576192,18112,1255168,0,2304,595584,247488,1921664,535872,506944,4069248,704,1152,242496,0,1216,3200,128576,28160,1088,3473664,0
3,1116800,17536,331072,0,259008,5440,249792,79744,174208,147712,969088,576,1088,244672,0,1088,3136,131072,27840,1024,963648,0
4,1117632,18304,325760,0,4032,5120,249728,80576,434112,407168,710464,640,1216,244544,0,1088,3136,130560,28224,1216,705344,0
5,1117440,17792,327552,0,3456,5184,248896,81152,433408,406848,710592,576,1152,243776,0,1216,3264,129664,27840,1152,705408,0
6,1117504,17728,327616,0,3200,5120,249856,79872,434112,407104,710400,640,1216,244864,0,1152,2944,131904,27392,960,705280,0
7,1117376,17664,326464,0,3200,5184,248448,80384,436032,409408,707968,640,1152,243264,0,1216,2816,130432,27456,1024,702784,0
8,1117312,17472,325760,0,3264,5440,251904,80448,433024,406656,710656,704,1216,246528,0,1280,3008,131456,27840,1088,705216,0
9,1117440,17472,327168,0,3328,5312,252352,79360,432448,405696,711744,704,1152,247168,0,1280,2944,133824,27136,960,706432,0
10,1117696,17728,324736,0,3264,5440,248896,79552,438080,411264,706432,704,1152,243776,0,1216,3136,131008,26944,1088,700992,0
11,1117568,17984,326912,0,3328,4992,253568,79424,431360,404736,712832,640,1152,248576,0,1280,3136,134912,27776,1152,707840,0
12,1117440,17728,326016,0,3328,5184,252800,79616,432768,405888,711552,576,1152,247488,0,1280,3072,133568,28032,1024,706368,0
13,1117248,17536,325504,0,3392,5184,252928,80192,432512,406272,710976,704,1152,247808,0,1344,2944,134144,27840,1152,705792,0
14,1117760,17472,327552,0,3264,5184,252160,79168,432960,406400,711360,704,1280,246912,0,1152,2944,133184,27776,1152,706176,0
15,1117504,17536,323904,0,3264,5312,253504,80000,433984,407680,709824,704,1216,248064,0,1216,3072,134400,27968,960,704512,0
16,1117376,18176,328000,0,3200,5312,253184,79872,429632,403072,714304,704,1216,247872,0,1152,3264,135104,27840,1216,708992,0
17,1117824,17664,325248,0,3200,244608,253376,80064,193664,166208,951616,832,1024,248384,0,1216,3072,135168,27456,1088,707008,0
18,1117184,17408,325312,0,3200,5120,251520,79680,434944,408256,708928,704,1216,246400,0,1280,3008,133504,27776,1024,703808,0
19,1117312,17984,324800,0,3328,5312,250752,80128,435008,408768,708544,768,1152,245632,0,1216,2944,132736,27584,1088,703232,0
20,1117632,17280,326592,0,3264,5248,258368,79296,427584,400896,716736,640,1152,253312,0,1088,3072,139200,28288,896,711488,0
21,1117440,17664,325120,0,3392,5376,256128,79744,430016,403584,713856,704,1216,250688,0,1152,2880,137728,27520,896,708480,0
22,1117760,17920,327552,0,3264,5312,255680,79808,428224,401600,716160,512,1216,250304,0,1152,2816,137280,27328,1088,710848,0
23,1117632,17536,323520,0,3264,5376,255360,79552,433024,406016,711616,576,1216,250432,0,1280,3136,136704,28096,960,706240,0
24,1117312,17984,326400,0,3328,5248,254784,79936,429632,403136,714176,576,1152,249728,0,1152,3072,136768,27712,1024,708928,0
25,1117632,17664,325824,0,3264,5120,252096,79616,434048,407552,710080,640,1216,247040,0,1088,3136,134656,27328,832,704960,0
26,1117696,17984,324800,0,78720,5376,256768,79424,354624,327744,789952,704,1088,251648,0,1344,3328,137024,27520,896,784576,0
27,1117376,17792,324416,0,3328,5184,255168,79232,432256,405760,711616,640,1152,249792,0,1408,3072,137216,27200,896,706432,0
28,1117632,17344,324224,0,3264,5184,249664,80000,437952,411520,706112,640,1280,244480,0,1152,2880,132160,27840,1088,700928,0
29,1117440,17600,330048,0,3328,5312,249472,80768,430912,404544,712896,512,1152,244480,0,1088,2944,131840,27840,1152,707584,0
30,1117376,17536,325632,0,3392,5184,256128,79424,430080,403584,713792,640,1152,250944,0,1216,3136,137984,27136,960,708608,0
31,1117376,17856,326080,0,3328,5120,253184,78976,432832,405888,711488,640,1152,248064,0,1344,2944,134976,28224,1152,706368,0
32,1117952,18176,326656,0,3328,263360,249152,79488,177792,151104,966848,576,1152,243904,0,1344,3072,130752,27200,1088,703488,0
33,1117504,18048,324800,0,3328,5184,253696,80192,432256,405376,712128,640,1280,248256,0,1280,3136,135040,27648,1024,706944,0
34,1117248,17472,325376,0,3328,5120,252608,79232,434112,407424,709824,576,1088,247360,0,1280,3328,133504,27968,1024,704704,0
35,1117568,17856,327168,0,3264,5312,252544,80064,431360,405184,712384,512,1216,247488,0,1152,3072,134016,27904,1152,707072,0
36,1117504,17600,327552,0,3136,5248,251904,79616,432448,405888,711616,640,1152,246720,0,1152,2944,133248,27968,1024,706368,0
37,1117376,17920,330048,0,3328,5312,252288,80000,428480,402304,715072,576,1152,246848,0,1088,2880,134784,26816,1088,709760,0
38,1117504,17600,326208,0,3264,5376,254208,79104,431744,405568,711936,576,1152,249088,0,1152,2880,135744,27840,960,706560,0
39,1117440,17408,326592,0,3328,5120,252608,79936,432448,405824,711616,512,1216,247424,0,1280,3200,134272,27968,1088,706496,0
40,1117504,17984,326720,0,3200,5248,252544,79360,432448,405376,712128,640,1152,247168,0,1280,3136,134272,27520,960,706880,0
41,1117440,17728,326400,0,3264,4928,279424,80384,405312,378560,738880,640,1088,274368,0,1088,3008,159744,28032,1152,733952,0
42,1117632,17536,326656,0,3392,5248,261184,79104,424512,398144,719488,640,1152,256064,0,1408,2880,142080,28032,1024,714240,0
43,1117312,17728,325248,0,3200,5248,251328,78912,435648,409088,708224,704,1152,246208,0,1152,3008,133696,28096,1088,702976,0
44,1117824,17344,325632,0,3264,5312,251392,79872,435008,408256,709568,640,1152,246272,0,1344,3200,131904,28160,1024,704256,0
45,1117440,17920,330048,0,3328,5248,252288,80000,428608,402368,715072,640,1216,246976,0,1152,3136,133888,28032,1024,709824,0
46,1117504,17728,326784,0,3392,5248,252672,78912,432768,406464,711040,704,1152,247488,0,1216,3200,134336,27840,960,705792,0
47,2238144,27520,333056,0,3264,296128,892608,144512,541056,506048,1732096,704,1280,887488,0,1152,3200,129472,33472,1024,1435968,0
48,1117504,27328,326528,0,135296,16768,272512,143168,195904,160640,956864,640,1152,267392,0,1152,3008,136576,33216,1152,940096,0
49,1117440,27776,327488,0,3264,16896,271872,144384,325760,291008,826432,640,1152,266816,0,1152,2944,136640,33344,1088,809536,0
50,1117440,27712,327040,0,3200,17088,270848,145600,325952,291712,825728,640,1216,265664,0,1344,3008,136192,33600,1088,808640,0
51,1117504,27264,329856,0,3328,16896,274496,144512,321152,286464,831040,640,1280,269440,0,1472,2944,138752,33024,1024,814144,0
52,1117568,27648,326848,0,3200,16768,272000,144192,326912,292544,825024,640,1152,266816,0,1216,3008,136704,33728,1024,808256,0
53,1117376,27776,332032,0,3456,16512,272384,145024,320192,285760,831616,704,1216,267264,0,1216,3072,136320,33984,960,815104,0
54,1117632,27456,329792,0,3200,16960,273856,144064,322304,288192,829440,640,1216,268608,0,1344,2944,137728,33152,1088,812480,0
