frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4576192,18112,1255168,0,2304,595584,247488,1921664,535872,506944,4069248,704,1152,242496,0,1216,3200,128576,28160,1088,3473664,0
3,1116736,17728,327232,0,260864,5440,250560,80064,174848,148480,968256,640,1152,245248,0,1088,2880,131008,28096,1088,962816,0
4,1117632,18304,324480,0,4096,5184,250304,81088,434176,407232,710400,704,1216,245120,0,1280,3072,132032,27520,960,705216,0
5,1117248,17472,329792,0,3328,5312,249664,79616,432064,405504,711744,704,1152,244608,0,1280,2944,130944,27392,1152,706432,0
6,1117632,17600,324608,0,3136,5440,250880,80320,435648,408896,708736,640,1216,245632,0,1216,3008,131968,27392,1088,703296,0
7,1117248,17664,327360,0,3328,5248,249664,80384,433600,407040,710208,704,1152,244480,0,1216,3008,131008,27520,1024,704960,0
8,1117440,17472,325888,0,3264,5056,250880,79296,435584,408960,708480,640,1216,245696,0,1344,2944,132096,27456,896,703424,0
9,1117632,17344,327296,0,3328,5248,252800,80192,431424,404416,713216,704,1216,247616,0,1280,3072,133632,27968,960,707968,0
10,1117504,17536,324096,0,3072,5312,249920,79936,437632,410816,706688,576,1152,244992,0,960,2880,131520,27456,1088,701376,0
11,1117568,17664,324352,0,3392,5376,255296,79424,432064,405312,712256,640,1152,249792,0,1280,2944,135168,28224,960,706880,0
12,1117376,17472,327744,0,3264,5184,251840,78848,433024,406336,711040,640,1088,246848,0,1408,2880,134400,27584,1152,705856,0
13,1117504,17856,329856,0,3264,5120,251840,80000,429568,403136,714368,640,1152,246592,0,1280,2944,134080,27328,960,709248,0
14,1117440,17664,328512,0,3328,5120,253504,79104,430208,403712,713728,704,1216,248256,0,1216,2944,133824,28288,1088,708608,0
15,1117312,17984,327552,0,3200,5248,253312,80256,429760,403264,714048,704,1280,248128,0,1280,3008,135104,27264,1024,708800,0
16,1117824,17472,328640,0,3328,5312,254208,78912,429952,402944,714880,832,1152,248960,0,1216,2880,135424,28160,960,709568,0
17,1117760,17664,325248,0,3328,244352,253696,79936,193536,166464,951296,640,1216,248384,0,1152,2944,134656,28096,960,706944,0
18,1117312,17984,326720,0,3200,5184,253696,80128,430400,403648,713664,640,1088,248576,0,1152,3136,134144,27840,1024,708480,0
19,1117504,17664,322240,0,3328,5184,251456,80064,437568,410880,706624,640,1216,246272,0,1152,2816,133504,27584,1088,701440,0
20,1117568,17600,327168,0,3392,5312,257152,79744,427200,400704,716864,512,1088,252096,0,1152,2944,138560,28800,1152,711552,0
21,1117440,17600,330368,0,3264,5248,257536,78720,424704,398336,719104,576,1216,252096,0,1280,3072,139136,27520,1152,713856,0
22,1117760,17280,325952,0,3136,5248,255744,80000,430400,403520,714240,704,1152,250688,0,1344,3072,138112,27392,1024,708992,0
23,1117440,17600,323840,0,3328,5376,256512,80384,430400,404032,713408,704,1088,251392,0,1216,2880,138112,28288,832,708032,0
24,1117568,17664,324736,0,3264,5440,255552,80256,430656,404352,713216,640,1152,250368,0,1088,2880,137536,27904,1024,707776,0
25,1117504,17600,327616,0,3328,5376,254080,79616,429888,403328,714176,704,1280,248768,0,1280,3200,135744,27456,960,708800,0
26,1117696,17600,324544,0,78528,5376,255936,79104,356608,329728,787968,640,1216,250624,0,1024,3008,137344,27584,960,782592,0
27,1117376,17472,325120,0,3264,5312,257472,79680,429056,402432,714944,704,1152,252288,0,1344,3136,138496,27584,832,709632,0
28,1117376,17792,326144,0,3264,5056,249664,79936,435520,409280,708096,512,1152,244672,0,1280,3136,132544,26816,1152,703040,0
29,1117632,17600,325440,0,3200,5440,251392,80064,434496,408128,709504,640,1152,246272,0,1408,2944,133888,27456,960,704064,0
30,1117568,17664,325440,0,3264,5120,256000,79232,430848,403968,713600,704,1216,250752,0,1280,3008,138112,27328,1024,708480,0
31,1117376,17216,329024,0,3392,5248,253184,79872,429440,402560,714816,576,1216,248256,0,1088,3072,135040,28032,896,709568,0
32,1117952,17280,328576,0,3200,262912,250176,79744,176064,149312,968640,640,1088,245184,0,1024,3136,132224,27648,1024,705728,0
33,1117056,17536,326080,0,3200,5440,254784,79872,430144,403328,713728,640,1152,249472,0,1280,2880,136448,27648,960,708288,0
34,1117696,17344,325696,0,3328,5248,253760,79424,432896,406464,711232,704,1152,248512,0,1152,3072,135104,27712,896,705984,0
35,1117632,17792,326400,0,3328,5312,251904,79552,433344,406848,710784,704,1216,246720,0,1344,3008,134464,27008,1088,705472,0
36,1117312,17344,328832,0,3264,5056,253760,79744,429312,402752,714560,704,1216,248576,0,1216,3200,134400,27968,960,709504,0
37,1117696,17472,324800,0,3264,5248,253760,79296,433856,406976,710720,704,1152,248640,0,1088,3008,136192,27712,1152,705472,0
38,1117248,17664,325248,0,3264,5184,254272,80000,431616,404672,712576,576,1088,248896,0,1280,3072,135808,27648,960,707392,0
39,1117568,17216,324864,0,3392,5248,253376,80448,433024,406912,710656,640,1152,248256,0,1344,2944,135168,27520,896,705408,0
40,1117440,18112,328384,0,3520,5248,253312,79872,428992,402752,714688,704,1152,248192,0,1408,3008,135168,27200,1024,709440,0
41,1117888,17920,326592,0,3200,5440,279360,79040,406336,379584,738304,704,1152,274048,0,1280,3008,160576,28288,896,732864,0
42,1117248,17472,324288,0,3264,5440,260288,79360,427136,400448,716800,704,1152,255168,0,1280,3072,142080,27264,960,711360,0
43,1117312,18048,325312,0,3136,5312,252800,79424,433280,406720,710592,704,1152,247680,0,1280,3008,134336,27776,1024,705280,0
44,1117632,17280,325120,0,3264,5312,251904,79744,435008,408576,709056,640,1152,246848,0,1280,2944,133248,28096,1088,703744,0
45,1117440,17792,328640,0,3328,5184,252096,79872,430528,404160,713280,704,1216,246784,0,1216,3136,134272,27264,1024,708096,0
46,1117952,17664,327616,0,3264,5248,253568,79488,431104,404352,713600,640,1216,248320,0,1088,3072,135552,27456,896,708352,0
47,2237888,27136,333056,0,3328,294528,892160,145216,542464,507008,1730880,704,1280,887040,0,1216,3008,130176,33792,896,1436352,0
48,1117376,27328,326080,0,135168,16896,273600,144000,194304,158272,959104,640,1088,268480,0,1344,3008,137920,33216,1216,942208,0
49,1117568,27008,330240,0,3456,16384,273152,143872,323456,288192,829376,576,1152,268032,0,1216,3072,137344,32896,1024,812992,0
50,1117504,27776,326400,0,3264,16832,271552,142912,328768,293760,823744,640,1216,266240,0,1024,3008,136640,32640,1088,806912,0
51,1117504,27456,327744,0,3392,16576,274304,144192,323840,289216,828288,640,1216,269056,0,1216,2880,139200,33408,1088,811712,0
52,1117760,27200,327616,0,3520,16576,272640,143680,326528,291904,825856,576,1216,267328,0,1344,3072,136768,33472,1024,809280,0
53,1117120,27776,328640,0,3264,16704,271232,144000,325504,291648,825472,704,1216,265920,0,1280,3072,136704,33024,1088,808768,0
54,1117760,27328,329664,0,3264,16640,274304,143488,323072,289728,828032,640,1280,269184,0,1088,3136,137984,33792,1152,811392,0
55,1117312,27584,326976,0,3392,16576,272768,144640,325376,291776,825536,704,1088,267520,0,1280,3008,137408,33600,960,808960,0
56,1117632,27776,327680,0,3136,16768,275264,144384,322624,288064,829568,640,1152,270144,0,1280,3200,139392,33792,1152,812800,0
57,1117760,27648,329536,0,3264,16640,273856,143680,323136,289152,828608,576,1152,268672,0,1152,2880,138176,33216,960,811968,0
58,1117376,27776,328512,0,3136,16640,274944,143040,323328,289792,827584,576,1152,269824,0,1280,3136,138880,33920,1088,810944,0
59,1117312,28224,326912,0,3264,16896,276096,144896,321024,287552,829760,704,1216,271040,0,1280,3136,140800,32960,1088,812864,0
60,1117696,27584,327168,0,3392,16640,279040,144128,319744,286720,830976,576,1216,273856,0,1216,3072,142592,34048,960,814336,0
61,1117376,27776,329600,0,3392,16768,280000,143424,316416,283328,834048,640,1216,274688,0,1216,2880,145088,33216,832,817280,0
62,1677888,27840,380160,0,3328,318144,265920,144640,537856,503936,1173952,704,1216,260736,0,1408,3008,143296,33344,896,855808,0
63,1117376,27520,380032,0,3328,16704,265344,144640,279808,246016,871360,704,1280,260096,0,1280,3136,142976,34112,1152,854656,0
64,1117696,28736,378304,0,3200,16512,262912,146112,281920,248320,869376,704,1216,257792,0,1216,3072,141056,33600,960,852864,0
65,1117184,27840,377984,0,3200,16768,266112,143808,281472,248960,868224,640,1088,260800,0,1408,3200,145472,33088,1024,851456,0
66,1117568,27328,381696,0,3264,16896,263616,145088,279680,246912,870656,640,1216,258368,0,1472,2944,141120,33664,1088,853760,0
67,1117632,27328,380160,0,3456,16832,264128,145152,280576,247360,870272,640,1216,258880,0,1280,3008,141440,33600,1088,853440,0
68,1117504,27584,383936,0,3328,16640,262080,145024,278912,245568,871936,640,1216,256896,0,1408,3328,140224,33472,960,855296,0
69,1117696,27584,379968,0,78912,16576,260928,145536,208192,174784,942912,704,1152,255744,0,1344,3328,137984,33920,1024,926336,0
70,1117184,27520,378368,0,3264,16576,262208,145152,284096,251520,865664,640,1216,257088,0,1280,3136,140608,33024,1024,849088,0
71,1117376,26880,381184,0,3392,16448,264192,144832,280448,248000,869376,704,1152,259136,0,1216,3136,142976,32768,1088,852928,0
72,1117760,27520,377984,0,3392,16768,260288,144000,287808,254976,862784,704,1088,255232,0,1280,3392,138880,33216,1088,846016,0
73,1117440,26432,378752,0,3392,16704,263040,144448,284672,250880,866560,640,1216,257728,0,1280,3136,140352,33472,1088,849856,0
74,1117568,27072,377600,0,3136,16704,261184,144768,287104,253760,863808,640,1216,256000,0,1216,3264,138816,33600,1024,847104,0
75,1117376,27328,378240,0,3392,16768,478144,163776,49728,16704,1100672,640,1216,473024,0,1152,3200,332928,41280,1088,1083904,0
76,1117952,27520,380800,0,3392,16896,270144,161856,257344,223808,894144,576,1216,265024,0,1408,3328,145984,33344,1024,877248,0
77,7279360,4592576,383168,0,3584,341760,1190592,199040,568640,535808,6743552,640,1152,1185472,0,1216,3392,359616,38144,1024,6401792,0
78,1117568,143360,382720,0,3584,16768,285824,204032,81280,48704,1068864,768,1216,280640,0,1472,3136,147008,36224,1024,1052096,0
79,1117312,143744,380288,0,3648,16832,284736,209024,79040,46848,1070464,640,1152,279552,0,1408,3072,145344,37056,1024,1053632,0
80,1117568,144192,379136,0,3520,16448,276032,203840,94400,61568,1056000,640,1280,270848,0,1536,3264,146560,36800,1088,1039552,0
81,1117504,143808,381120,0,3584,16960,313600,207104,51328,17728,1099776,512,1216,308416,0,1536,3200,171776,37120,1024,1082816,0
82,1117696,142720,378752,0,3648,16704,289600,215552,70720,37376,1080320,768,1344,284224,0,1280,3136,141632,36672,1088,1063616,0
83,1117504,144640,380480,0,3648,16576,274496,210368,87296,54848,1062656,704,1216,269248,0,1408,3264,144576,36480,1024,1046080,0
84,1117568,144576,382784,0,3584,16960,272576,206656,90432,57856,1059712,704,1216,267328,0,1408,3136,144256,36544,1088,1042752,0
85,1117632,144512,386816,0,3584,16768,272640,206528,86784,54016,1063616,640,1216,267520,0,1280,3008,145280,37056,1024,1046848,0
86,1677760,144000,381696,0,133824,16512,275776,196416,529536,495424,1182336,704,1216,270336,0,1408,3264,146944,36864,1152,1165824,0
87,1117312,143936,379520,0,3520,16448,276800,191488,105600,72896,1044416,640,1152,271616,0,1408,3392,150272,36800,1088,1027968,0
88,1117376,143872,379648,0,3584,16512,272128,181376,120256,87744,1029632,576,1216,266944,0,1344,3200,147392,36288,768,1013120,0
89,1117760,144320,379776,0,3648,16832,270592,182272,120320,86720,1031040,704,1216,265408,0,1472,3136,146368,36352,896,1014208,0
90,1117504,144192,380608,0,3648,16704,271104,180992,120256,87488,1030016,576,1152,265728,0,1280,3008,146880,36672,960,1013312,0
91,1677696,144384,377536,0,3520,364736,275200,181952,330368,297728,1379968,704,1152,269760,0,1472,3072,151040,37056,1152,1015232,0
92,1117568,145536,379072,0,3584,16704,276800,182720,113152,80256,1037312,576,1216,271680,0,1536,3008,151104,37888,960,1020608,0
93,4478464,3249984,381568,0,3520,16768,270528,186112,369984,337472,4140992,640,1152,265344,0,1408,3456,146176,36736,896,4124224,0
94,1677760,226560,381312,0,6400,16896,270592,185088,590912,558016,1119744,640,1216,265472,0,1344,3264,146176,37184,1024,1102848,0
95,1677696,227264,382720,0,4736,16768,274176,183360,588672,554880,1122816,704,1216,268800,0,1408,3072,149056,36992,1088,1106048,0
96,1117696,109312,376896,0,3200,16832,272896,180544,158016,125056,992640,832,1216,267584,0,1472,3200,148736,36480,1088,975808,0
97,1117504,109248,375424,0,3136,16576,280640,182144,150336,117312,1000192,576,1280,275392,0,1344,3200,156160,36544,1024,983616,0
98,1117056,109184,381376,0,3328,16832,276160,181120,149056,116608,1000448,768,1216,270912,0,1216,3136,152384,36544,1152,983616,0
99,1117696,109632,377088,0,3264,16512,276480,182208,152512,119680,998016,704,1152,271296,0,1344,3456,152448,36352,960,981504,0
100,1117248,108864,377408,0,3392,16960,278912,181376,150336,118272,998976,640,1216,273600,0,1536,3456,155008,36288,1024,982016,0
101,1117952,108800,379136,0,3200,16640,281152,182336,146688,113792,1004160,704,1152,276160,0,1472,3264,157120,36480,1024,987520,0
102,1677696,114048,377920,0,3328,380672,280192,182144,339392,306176,1371520,576,1088,274944,0,1408,3392,155968,36800,1216,990848,0
103,1117120,108800,379648,0,79232,16896,281152,181248,70144,37184,1079936,704,1152,275968,0,1472,3328,156736,36544,1024,1063040,0
104,1117632,108288,374336,0,3328,16704,274624,182784,157568,125376,992256,512,1216,269312,0,1472,3200,150144,36480,1152,975552,0
105,1117440,109120,376640,0,3200,16704,275840,181568,154368,120960,996480,640,1216,270784,0,1344,3200,151872,36608,1024,979776,0
106,1117888,109568,376768,0,3264,16576,275968,182720,153024,120128,997760,704,1280,270848,0,1472,3328,152128,36800,1024,981184,0
107,3358208,114112,377920,0,3584,16768,2155584,262208,428032,394624,2963584,4544,1152,2150336,0,1792,3200,425664,67136,1088,2946816,0
108,1677696,115776,379968,0,3584,16960,328576,261184,571648,539008,1138688,4352,1216,323136,0,1792,3200,167296,57728,1088,1121728,0
109,1677696,114368,382784,0,3456,17280,329600,262656,567552,534272,1143424,4480,1216,324544,0,1856,3072,167680,57856,1024,1126144,0
110,1677504,115968,377728,0,3520,17024,331264,261888,570112,537216,1140288,4096,1216,325952,0,1600,3136,169152,58048,1024,1123264,0
111,1678016,115840,381184,0,3584,16832,329984,261760,568832,536064,1141952,4352,1216,324544,0,1856,3072,168576,57024,1088,1125120,0
112,1677376,115136,378496,0,3520,16512,327872,261568,574272,541760,1135616,4480,1152,322752,0,1728,3264,167488,58304,1024,1119104,0
113,1677568,115584,378112,0,3648,398912,332800,260352,188160,155712,1521856,4480,1216,327296,0,1600,3456,169920,57344,1216,1122944,0
114,1677760,114880,379072,0,3456,16704,333440,263040,567168,534656,1143104,4480,1216,328320,0,1856,3264,172864,57280,1152,1126400,0
115,1677888,115264,378560,0,3520,16704,332096,264128,567616,534400,1143488,4416,1280,326720,0,1856,3328,170304,58112,1088,1126784,0
116,1677440,114432,380864,0,3584,16768,332352,260992,568448,535424,1142016,4352,1216,327168,0,1728,3264,172672,57472,1152,1125248,0
117,1678400,114752,378176,0,3520,16832,335296,268672,561152,528384,1150016,4480,1152,329984,0,1728,3072,174144,57728,1024,1133184,0
118,1677312,114816,379520,0,134400,16832,334912,262208,434624,401280,1276032,4288,1152,329664,0,1600,3136,173440,57984,1088,1259200,0
119,1677760,115136,377792,0,5440,17344,332224,262592,567232,534272,1143488,4288,1216,326976,0,1600,3264,170816,57472,1024,1126144,0
120,1677440,114176,380160,0,4800,16704,333568,263232,564800,532416,1145024,4352,1280,328384,0,1792,3136,171520,57728,1024,1128320,0
121,1677824,114112,377472,0,3328,17280,346048,262784,556800,523264,1154560,4544,1216,340672,0,1856,3200,184768,57664,1152,1137280,0
122,1677760,115456,387648,0,3392,16832,767936,262208,124288,91328,1586432,4416,1216,762816,0,1792,3264,347264,58944,1216,1569600,0
123,1677376,115584,385024,0,3328,414272,346752,261248,151168,118528,1558848,4224,1152,341632,0,1664,3200,173888,58112,960,1144576,0
124,6159360,4580352,388672,0,3520,16640,344064,263680,562432,529728,5629632,4416,1216,338688,0,1664,3264,170304,57472,1152,5612992,0
125,1677568,129408,383936,0,3520,17024,344192,263232,536256,503936,1173632,4416,1152,339008,0,1792,3200,170816,57472,1088,1156608,0
126,1677632,128512,385344,0,3584,17344,348480,264448,529920,497536,1180096,4480,1216,343040,0,1728,3136,173248,57792,1152,1162752,0
127,1677888,128896,387712,0,3520,17088,345856,264256,530560,498048,1179840,4288,1216,340672,0,1664,3328,172672,57280,1152,1162752,0
128,1677888,129152,384704,0,3520,17344,339648,264000,539520,507584,1170304,4352,1216,334336,0,1920,3136,170112,57984,960,1152960,0
129,1677760,127872,378240,0,3648,17344,333376,264768,552512,519616,1158144,4416,1216,328000,0,1728,3200,173824,57408,960,1140800,0
130,1677568,127488,380160,0,135744,16704,333440,263488,420544,387968,1289600,4352,1216,328000,0,1856,3072,173376,56832,1024,1272896,0
131,1677568,128512,377920,0,5632,427392,337088,265792,135232,102144,1575424,4608,1280,331776,0,1792,3328,174848,58240,1024,1148032,0
132,1677760,126912,381888,0,4800,16768,383488,264192,499712,466880,1210880,4224,1152,378048,0,1792,3264,175232,58176,1024,1194112,0
133,1677696,129216,387968,0,3200,16960,343808,263616,532928,500736,1176960,4352,1216,338752,0,1664,3328,171520,56896,960,1160000,0
134,1677504,129536,384256,0,3328,17152,345472,263104,534656,502656,1174848,4736,1216,340224,0,1728,3264,172928,57024,1088,1157696,0
135,1678080,127872,385600,0,3264,16832,347968,264128,532416,499520,1178560,4480,1152,342784,0,1728,3264,173120,58304,960,1161728,0
136,1677440,127744,385280,0,3264,16704,348800,264128,531520,498304,1179136,4736,1152,343744,0,1728,3200,173888,58368,1152,1162432,0
137,2798336,132096,384512,0,3520,16896,1533632,185024,542656,510080,2288256,6400,1216,1528384,0,1984,3008,417728,76160,1088,2271360,0
138,1677440,131456,382848,0,3584,17024,371840,182976,587712,555520,1121920,6336,1216,366528,0,1920,3328,181568,73024,1024,1104896,0
