frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4358720,18176,1248704,0,2304,384128,247552,1922560,535296,506240,3852480,704,1152,242304,0,1152,3008,129728,27072,1088,3468352,0
3,1116992,17856,331904,0,261504,5376,253120,81216,166016,138688,978304,704,1024,247936,0,1280,3264,133760,27584,1024,972928,0
4,1117440,18112,329408,0,3840,5120,252288,82176,426496,399424,718016,640,1088,247104,0,1344,3008,133504,27648,1088,712896,0
5,1117376,17920,327680,0,3200,5312,251456,80448,431360,404288,713088,704,1152,246144,0,1152,3072,133120,27520,960,707776,0
6,1117568,17600,330304,0,3328,5248,251072,80832,429184,402624,714944,640,1088,245696,0,1216,2944,132992,26688,1152,709696,0
7,1117376,17792,329728,0,3200,5248,250688,82752,427968,401536,715840,704,1088,245632,0,960,3072,132864,26944,960,710592,0
8,1117376,18112,328448,0,3328,5312,252416,80896,428864,402432,714944,640,1024,247360,0,1344,3072,134272,26816,1088,709632,0
9,1117760,17408,329920,0,3200,4928,252288,80640,429376,402752,715008,640,1152,247232,0,1152,3008,134912,27136,960,710080,0
10,1117504,17664,328768,0,3136,5120,251072,80320,431424,405184,712320,768,1152,245824,0,1152,3008,133376,26944,1088,707200,0
11,1117888,17984,328704,0,3328,5184,256128,80896,425664,398592,719296,640,1152,250880,0,1216,3008,138176,26816,960,714112,0
12,1117504,18304,328768,0,3264,5056,253376,81216,427520,400704,716800,768,1216,248000,0,1344,3072,135808,26624,1024,711744,0
13,1117504,17536,332608,0,3200,5376,255552,80320,422912,396288,721216,768,1024,250560,0,1280,3072,137600,27072,1024,715840,0
14,1117760,17792,330176,0,3200,5312,253568,81280,426432,399488,718272,576,1088,248576,0,1216,3008,136512,26560,1152,712960,0
15,1117312,17280,331200,0,3392,5312,254144,81088,424896,398464,718848,768,1088,249088,0,1216,3136,135872,26944,1024,713536,0
16,1117632,17600,329408,0,3200,5120,255104,80896,426304,399552,718080,768,1216,249856,0,1088,3008,137152,26944,960,712960,0
17,1118016,17856,329088,0,3264,244608,253952,80640,188608,161472,956544,768,1088,248768,0,1216,3072,136512,26880,1024,711936,0
18,1117184,17536,329280,0,3200,5248,252608,80832,428480,401536,715648,640,1088,247616,0,1280,3136,135488,27072,1024,710400,0
19,1117440,18176,328960,0,3264,5440,252928,81088,427584,401216,716224,640,1088,247680,0,1152,2944,135104,27520,768,710784,0
20,1117824,17856,328704,0,3392,5120,258176,81216,423360,396672,721152,640,960,253120,0,1280,2944,139264,27840,1152,716032,0
21,1117504,17536,328832,0,3328,5248,259008,80640,422912,396608,720896,704,1152,253824,0,1152,3072,142336,26880,1088,715648,0
22,1117760,17984,331712,0,3264,5312,258176,80512,420800,393920,723840,640,1088,253120,0,1088,2880,140608,27200,896,718528,0
23,1117504,18176,331456,0,3200,5120,258816,81472,419264,392384,725120,704,1088,253632,0,1344,2944,140224,27968,1024,720000,0
24,1117504,17920,327616,0,3200,5312,255552,80512,427392,400512,716992,576,1152,250432,0,1408,3008,138944,26816,1024,711680,0
25,1117824,17472,329600,0,3200,5248,255168,80704,426432,399424,718400,576,1152,249920,0,1152,2944,138560,26752,1024,713152,0
26,1117504,17664,329408,0,79168,5632,257088,80832,347712,320576,796928,576,1216,251648,0,1088,3264,138624,27200,960,791296,0
27,1117824,17600,327680,0,3264,5376,257536,80704,425664,398720,719104,704,1088,252352,0,1280,2944,139328,27008,960,713728,0
28,1117376,17792,329728,0,3136,5184,251456,81152,428928,401984,715392,768,1088,246528,0,1024,3136,134208,27072,1088,710208,0
29,1117632,17728,328000,0,3264,5056,253440,81792,428352,401792,715840,704,1088,248192,0,1152,3136,135552,27136,896,710784,0
30,1117632,17920,331328,0,3264,5440,257984,80640,421056,394624,723008,576,1152,252544,0,1280,3072,139776,27328,1216,717568,0
31,1117632,18048,328704,0,3264,5248,257472,80000,424896,398208,719424,640,1088,252224,0,1280,3200,138496,27968,896,714176,0
32,1118016,17856,326592,0,3264,262336,250880,81024,176064,149184,968832,512,1216,245760,0,1152,2944,134272,26880,896,706496,0
33,1117312,18112,328384,0,3136,5376,257344,80832,424128,396864,720448,576,1152,252032,0,960,2816,138880,27392,1024,715072,0
34,1117312,17472,330560,0,3200,5376,253504,80768,426432,399808,717504,640,1152,248384,0,1344,2880,136704,27200,1088,712128,0
35,1117696,18112,328576,0,3200,5184,254464,80640,427520,401088,716608,768,1088,249152,0,1280,3072,136640,27584,1152,711424,0
36,1117632,17472,331456,0,3264,5440,254144,79808,426048,399360,718272,640,1152,248768,0,1152,3008,136576,26752,1088,712832,0
37,1117440,17792,330368,0,3072,5504,256704,80896,423104,396864,720576,640,1088,251520,0,1408,3200,137280,27584,1088,715072,0
38,1117632,17728,330944,0,3200,5184,254464,80448,425664,398976,718656,704,1088,249536,0,1344,3008,138048,26496,1088,713472,0
39,1117568,17984,330240,0,3200,5120,256192,80064,424768,398080,719488,704,1216,250880,0,1344,3328,138496,27136,1088,714368,0
40,1117824,18176,328256,0,3264,5248,253824,80832,428224,401536,716288,704,1024,248832,0,1280,3136,136832,27584,960,711040,0
41,1117376,17728,330112,0,3328,5184,286208,80192,394624,368000,749376,704,1280,280832,0,1024,2944,166976,27904,1152,744192,0
42,1117760,17920,327808,0,3200,5312,265600,80576,417344,390784,726976,768,1088,260480,0,1088,3008,148224,27328,1344,721664,0
43,1117376,18240,330688,0,3392,5440,253440,80768,425408,398592,718784,768,1152,248064,0,1216,3072,135296,27648,896,713344,0
44,1117504,17856,331136,0,3328,5056,252544,80256,427328,400960,716544,768,1024,247552,0,1024,3136,135168,27456,1088,711488,0
45,1117888,17664,331136,0,3264,5632,252608,81728,425856,399360,718528,704,1152,247424,0,1280,2880,135680,26944,1088,712896,0
46,1117568,17984,329024,0,3264,5248,253760,80320,427968,401216,716352,640,1024,248640,0,1024,3136,136320,27008,1024,711104,0
47,2238144,27264,335680,0,3264,293824,898432,146048,533632,498432,1739712,576,1216,893312,0,1152,3136,132480,33344,960,1445888,0
48,1117504,27264,331520,0,135744,16256,274624,145280,186816,151040,966464,640,1280,269248,0,1216,3072,138368,33536,896,950208,0
49,1117888,27520,332096,0,3200,16448,274048,145344,319232,283776,834112,768,1152,268992,0,1280,3136,139520,32256,1024,817664,0
50,1117440,27584,330944,0,3264,16640,273728,145408,319872,283712,833728,704,1088,268608,0,1280,3072,139520,32768,1216,817088,0
51,1117760,27648,329024,0,3200,16640,276672,146880,317696,282048,835712,704,1216,271360,0,1216,3008,141760,32768,832,819072,0
52,1117440,27328,334144,0,3200,16192,272960,145728,317888,282560,834880,768,1216,267520,0,1344,3008,137984,32768,1088,818688,0
53,1117568,27584,329472,0,3264,16256,273984,147008,320000,284928,832640,768,1152,268800,0,1344,3072,139200,32960,832,816384,0
54,1117312,27392,332160,0,3200,16256,275072,145920,317312,283392,833920,640,1088,269888,0,1280,3072,139840,32832,1024,817664,0
55,1117888,27968,334848,0,3200,16384,273216,145600,316672,282432,835456,704,1152,267840,0,1216,3072,138752,32896,896,819072,0
56,1117568,27776,329088,0,3264,16192,277056,145600,318592,284736,832832,704,1024,271872,0,1216,3072,141120,33600,960,816640,0
57,1117952,27776,331328,0,3136,16704,274752,145280,318976,284928,833024,768,1088,269760,0,1280,3072,139648,32896,1088,816320,0
58,1117120,27392,331008,0,3328,16448,275648,145216,318080,283840,833280,640,1088,270528,0,1216,2944,141184,33280,1024,816832,0
59,1117568,27712,330816,0,3200,16448,277888,146112,315392,281920,835648,640,1280,272704,0,1344,3072,142208,32704,768,819200,0
