frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,2237632,388672,344896,0,3264,446144,487616,309568,257472,228992,2008640,8704,1152,481856,66048,1664,2944,205184,103872,1216,1562496,0
1401,2797952,797248,336960,0,3712,20096,812032,289984,537920,509760,2288192,13312,1216,806272,47616,1728,3200,524416,163200,1280,2268096,0
1402,1677568,346240,342080,0,3776,20480,511360,290496,163136,135168,1542400,13312,1216,505472,99264,1728,2944,225664,160896,1088,1521920,0
1403,3358400,684864,332288,0,135168,475776,959552,295744,475008,446528,2911872,213568,1280,953856,48640,1792,234432,208128,191872,1216,2436096,0
1404,1677504,364992,336384,0,5312,41792,428288,281472,219264,190912,1486592,13824,1216,422400,45824,1792,3136,127104,148672,1280,1444800,0
1405,1678016,352000,338048,0,3840,42048,435584,268608,237888,209728,1468288,13824,1280,429824,72640,1792,3008,157824,148992,1280,1426240,0
1406,1677504,338368,336000,0,3648,5568,524928,272704,196288,168000,1509504,11520,1152,519232,72960,1984,2880,233472,169024,1280,1503936,0
1407,2236544,370752,334592,0,3840,5632,798528,267520,455680,428928,1807616,300416,1152,792896,47296,1728,3584,211008,172736,1216,1801984,0
1408,2798016,708416,334528,0,3968,27392,1270464,425280,27968,1472,2796544,397376,1216,1264512,48128,1664,242240,338048,180672,1216,2769152,0
1409,2237760,384128,335552,0,4352,27136,726592,431552,328448,302080,1935680,330816,1216,720896,47680,1664,6464,90496,154816,1216,1908544,0
1410,2237824,371072,334464,0,4352,5760,636032,459392,426752,400512,1837312,221120,1280,630208,88768,1664,3136,133056,155904,1216,1831552,0
1411,2798272,355456,336000,0,6400,459584,663168,460800,516864,490560,2307712,231808,1216,657344,46016,1792,3008,137280,170432,1152,1848128,0
1412,2238016,366528,336000,0,5504,5568,842304,338496,343616,316992,1921024,380992,1216,836544,46016,1728,3712,165824,173568,1152,1915456,0
1413,2237312,375488,342848,0,4224,5376,823424,463232,222720,196288,2041024,400960,1216,817792,47552,1664,3200,138944,162368,1280,2035648,0
1414,3358528,378944,336832,0,122560,27584,1626304,636736,229568,202752,3155776,437568,1088,1620480,69760,1728,699072,193472,174144,1344,3128192,0
1415,2238016,371392,340160,0,6592,27520,460032,617856,414464,387776,1850240,15104,1280,454144,96896,1728,3200,181696,131584,1024,1822720,0
1416,2237952,355840,337408,0,5824,27264,405952,626112,479552,452928,1785024,14464,1152,400448,49408,1728,3008,132160,129792,1280,1757760,0
1417,1677696,353472,336384,0,6976,27520,399936,448896,104512,77824,1599872,14656,1088,394112,49408,1856,3200,129920,130112,1216,1572352,0
1418,1677888,371136,337600,0,6080,5568,450624,321600,185280,158784,1519104,14208,1216,444928,97152,1664,3008,191680,129920,1216,1513536,0
1419,2237760,357824,334976,0,4032,440704,390912,439936,269376,242688,1995072,14720,1216,385280,48960,1600,2688,130880,130752,1280,1554368,0
1420,2238272,357184,338624,0,6144,5504,545600,454336,530880,504064,1734208,15040,1216,539968,48832,1856,28288,215360,172736,1152,1728704,0
1421,2237440,357440,334848,0,7808,5760,538752,451072,541760,515264,1722176,14720,1344,532928,48384,2112,27968,216640,165888,1280,1716416,0
1422,2238016,354240,338240,0,3712,5568,536064,422976,577216,550784,1687232,15104,1152,530304,47360,1920,28352,212352,167104,1024,1681664,0
1423,1677760,358592,338112,0,3648,5440,565824,247104,159040,132480,1545280,12096,1152,560128,94080,1792,36928,259648,146432,1344,1539840,0
1424,1679104,357120,339712,0,4928,11648,539968,266048,159680,131776,1547328,9664,1280,534016,76928,1856,17024,250816,134656,1280,1535680,0
1425,1677824,330944,341248,0,132736,11904,524352,264512,72128,43712,1634112,9728,1152,518720,105600,1792,3072,261568,132928,1216,1622208,0
1426,1677504,330176,341824,0,3584,11584,503104,266560,220672,192640,1484864,9472,1344,497344,96512,1664,2944,242752,132480,1216,1473280,0
1427,1677696,343808,342144,0,5824,33152,503104,266944,182720,154752,1522944,9792,1216,497344,90880,1600,2944,243648,131072,1088,1489792,0
1428,2238080,324608,344704,0,5888,440512,512128,257984,352256,323712,1914368,10112,1152,506816,109440,1984,2944,252864,130496,1216,1473856,0
1429,2236480,426624,345536,0,3584,5632,727424,661184,66496,39616,2196864,10432,1280,721792,109504,1728,2880,249280,131456,1344,2191232,0
1430,1677504,393280,342592,0,3520,5504,558656,330048,43904,17536,1659968,10240,1152,552896,110400,2112,3008,270848,131968,1408,1654464,0
1431,2237824,651072,341568,0,5632,5760,718016,332096,183680,157440,2080384,9792,1216,712320,106944,1792,3008,414080,147648,1216,2074624,0
1432,2238080,329984,343744,0,3584,5632,733440,339392,482304,456064,1782016,9664,1216,727488,112000,2048,3008,273280,158208,1280,1776384,0
1433,1677696,309760,342080,0,3648,5632,613568,323904,79104,52672,1625024,9984,1152,607808,138432,1792,2944,292096,163968,1024,1619392,0
1434,1679040,331136,342464,0,3456,11712,631616,327040,31616,3584,1675456,10368,1280,625920,156416,1600,3008,317504,156800,1344,1663744,0
1435,1677888,315328,341632,0,3648,11904,629056,333248,43072,14528,1663360,10176,1216,623360,153600,1856,3200,325760,145792,1280,1651456,0
1436,2237632,315648,342336,0,3584,11520,636544,341056,586944,558272,1679360,10560,1280,630720,155840,1856,3136,332736,146304,1088,1667840,0
1437,3359168,651328,341632,0,3584,448448,960448,432960,520768,491584,2867584,10368,1152,954624,148416,1728,3136,323072,465792,1088,2419136,0
1438,2237376,328192,343424,0,136896,11840,577152,429504,410368,382016,1855360,11008,1216,571392,106688,1792,3200,263488,135168,1216,1843520,0
1439,2237824,342912,341952,0,6528,11776,935680,420416,178560,150400,2087424,10496,1152,929984,113792,1856,3264,623040,135360,1088,2075648,0
1440,2237824,315904,342400,0,4672,11648,592896,425664,544640,516096,1721728,10368,1216,587136,114496,1984,3264,281280,134400,1152,1710080,0
1441,2238016,316480,344000,0,3200,11584,592576,423936,546240,517888,1720128,10688,1280,586688,120128,1984,3264,280512,133248,1088,1708544,0
1442,2238144,329920,343552,0,3328,11776,559168,438848,551552,523136,1715008,10496,1216,553536,65536,1664,3200,242368,132544,1216,1703232,0
1443,1677568,309056,341824,0,3392,11392,536448,370176,105280,76736,1600832,10304,1216,530496,57280,1664,3264,222720,134784,1408,1589440,0
1444,1677696,309184,342656,0,3456,11648,517312,369728,123712,95488,1582208,10624,1280,511680,56704,1856,3136,213376,134272,1152,1570560,0
1445,2237888,308672,342528,0,3328,446848,519616,360576,256320,227712,2010176,10688,1216,513920,57728,1792,3072,214656,133632,1024,1563328,0
1446,1677568,310208,341824,0,3328,11520,574016,365568,71104,42944,1634624,10624,1280,568320,104640,1792,3136,270720,133952,1216,1623104,0
1447,1677760,310144,343744,0,3392,11520,569664,359296,80000,51968,1625792,11008,1216,563776,105344,1984,3456,263808,133632,1280,1614272,0
1448,2238080,335872,343104,0,3264,11584,679808,365568,498880,470400,1767680,10368,1152,674176,37824,1792,3072,375232,136320,1152,1756096,0
1449,2237632,335104,342080,0,3264,5632,647680,363520,540352,512192,1725440,11008,1216,641600,18688,1856,3200,341696,136000,1280,1719808,0
1450,2796480,666240,342784,0,123328,5824,724672,363136,570496,543808,2252672,10624,1216,719040,45312,1920,3136,421440,135360,1152,2246848,0
1451,2238016,326848,343872,0,4416,5440,767872,345600,443968,417728,1820288,10816,1280,761984,59520,1792,3072,229056,133824,1216,1814848,0
1452,1677696,328576,338112,0,6848,5568,467648,331136,199808,173568,1504128,10368,1216,461888,18304,1792,3392,173120,133760,1088,1498560,0
1453,2238080,336128,338368,0,4992,439872,477120,346560,295040,268160,1969920,10240,1280,471296,18496,1856,3072,183680,134464,1024,1530048,0
1454,2797952,804864,337536,0,5056,27712,978560,356224,288000,261440,2536512,56832,1280,972480,59008,1728,192320,423360,131840,1216,2508800,0
1455,1677376,333568,337280,0,6208,5568,403584,357248,233920,207744,1469632,13952,1280,397696,18624,1664,3136,112832,117568,1216,1464064,0
1456,1677888,333888,337728,0,6208,27584,423744,358912,189824,163392,1514496,13760,1216,418048,44352,1600,3072,136832,118912,1216,1486912,0
1457,1677952,333440,335360,0,5184,27392,457472,355520,163584,137216,1540736,13696,1216,451840,70592,1664,2880,167680,117632,1216,1513344,0
1458,1677504,355008,339328,0,5248,5696,534592,352640,84992,58432,1619072,14208,1216,528832,62272,1728,3008,223104,135744,1216,1613376,0
1459,2237952,357504,338944,0,5376,5568,921216,365824,243520,217152,2020800,98304,1216,915328,81088,1856,3136,251392,404864,1152,2015232,0
1460,2798016,668352,342848,0,7360,5824,1016512,377024,380096,353856,2444160,422400,1216,1010688,63360,1856,3200,250560,149824,1024,2438336,0
1461,2798400,324032,340608,0,138880,441280,732480,382336,438784,411968,2386432,10176,1152,726592,18048,1984,3072,191168,113280,1344,1945152,0
1462,1677440,309504,345728,0,7424,5568,510720,380992,117504,91072,1586368,15936,1216,505024,18112,1856,3200,183296,142336,1152,1580800,0
1463,1677568,310848,343488,0,8576,5696,500224,352384,156352,129920,1547648,16896,1216,494400,18432,1920,3136,175744,133696,1088,1541952,0
1464,1677888,310592,343104,0,6784,5632,512320,356096,143360,116928,1560960,13824,1152,506560,55616,1792,2944,212800,121280,960,1555328,0
1465,1677504,310016,346560,0,6208,5696,528704,349696,130624,104128,1573376,10624,1280,522880,55808,2048,3136,210624,109824,1344,1567680,0
1466,2238016,309696,342656,0,6592,27392,940032,382976,228672,201664,2036352,9920,1216,934208,44608,2048,2816,219584,544512,1216,2008960,0
1467,1677568,310400,342848,0,8128,27712,480000,372288,136192,109504,1568064,8256,1216,474368,15168,1664,3008,177600,86720,1152,1540352,0
1468,1677824,308992,342592,0,6784,27712,477760,416768,97216,70720,1607104,8960,1152,471936,15488,1664,3200,179008,84800,1216,1579392,0
1469,2238144,325568,342464,0,6592,27712,762560,447616,325632,299072,1939072,8832,1216,756736,15296,1664,3328,364480,87936,1088,1911360,0
1470,2239168,309696,342848,0,5376,479296,533952,444544,123456,95040,2144128,9024,1152,528192,64320,1856,3200,229312,86592,1216,1664832,0
1471,2237824,305920,343936,0,6336,42176,555264,520448,463744,435584,1802240,8768,1280,549312,63872,2048,3200,230912,86464,1152,1760064,0
1472,2237696,306496,343232,0,7616,42432,534272,468736,534912,507200,1730496,8768,1280,528512,75328,1792,3392,234112,86336,1088,1688064,0
1473,2237760,311424,344704,0,7744,42176,513024,529984,488704,460992,1776768,8768,1152,507264,59136,1728,3328,203072,84352,1408,1734592,0
1474,3358592,689664,343424,0,120256,41856,1254208,543680,365504,336960,3021632,8576,1280,1248320,57280,1792,3136,926976,89344,1024,2979776,0
1475,2237824,314560,344384,0,5376,42432,539904,526400,464768,436288,1801536,8512,1152,533888,56768,1856,3200,235200,85888,1344,1759104,0
1476,2797888,336448,344000,0,5440,42496,1106560,520064,442880,414208,2383680,204288,1216,1100480,124992,1920,3328,538304,114176,1152,2341184,0
1477,2798080,312128,344704,0,5376,479680,938816,538176,179200,150272,2647808,209408,1216,933184,129536,1792,3520,397056,108544,1152,2168128,0
1478,2797952,311872,344064,0,5376,44096,974592,551872,566080,537600,2260352,209408,1280,968832,130240,1728,3200,409088,108992,1408,2216256,0
1479,2238016,312640,343936,0,8768,44992,844160,515392,168128,139712,2098304,108928,1216,838272,129344,2048,3200,395264,94720,1152,2053312,0
1480,2237696,313280,345792,0,5056,44032,672640,511680,345216,317184,1920512,8576,1216,666816,114432,1664,3200,376320,84992,1216,1876480,0
1481,2798400,341696,346240,0,5248,42048,1013696,593792,455680,427200,2371200,8704,1280,1007680,137664,1920,3264,416768,349632,1152,2329152,0
1482,2237824,314688,346560,0,5056,41280,724352,583808,222080,194240,2043584,9024,1152,718592,129216,1792,3136,420352,82048,1024,2002304,0
1483,2237952,314368,345216,0,116928,42432,747136,597568,74304,45824,2192128,8960,1280,741184,135424,1728,3072,428032,84032,1088,2149696,0
1484,2798144,314368,344256,0,5120,478592,740672,465728,449408,420800,2377344,8704,1152,734976,129600,1664,3264,429760,82816,1216,1898752,0
1485,2237888,315840,345664,0,6144,41984,710912,499072,318272,290688,1947200,8576,1280,705088,128640,1792,3136,416384,82240,1152,1905216,0
1486,2237888,314560,345024,0,4992,42752,713920,447680,368960,340608,1897280,8768,1216,708096,129984,1664,3008,420736,82240,960,1854528,0
1487,2238016,313344,343424,0,5952,41664,683520,409472,440640,412096,1825920,9216,1216,677760,87616,1792,2944,373248,82176,1280,1784256,0
1488,2237760,312640,340928,0,6144,44160,648128,365376,520384,491776,1745984,8640,1152,642432,87360,1792,3200,375616,82112,1344,1701824,0
1489,2798080,331456,344320,0,5120,42752,1372736,419904,281792,253376,2544704,9088,1216,1367104,101824,1856,3136,1076928,85440,1088,2501952,0
1490,2237824,339200,343360,0,5184,22528,761344,383232,382976,354880,1882944,8768,1216,755584,74752,1600,3392,495296,83648,1088,1860416,0
1491,1677760,313536,343488,0,6016,22400,438976,400064,153280,125056,1552704,8640,1216,433216,9792,1536,3200,156928,84800,1152,1530304,0
1492,2237952,312768,343424,0,6912,458496,417792,350528,348032,320000,1917952,9216,1280,411968,1600,1856,3392,150208,84928,1216,1459456,0
1493,1677760,312960,343872,0,4288,22464,420480,364224,209472,181376,1496384,9472,1152,414656,1728,1856,3264,146560,84480,1344,1473920,0
1494,2797888,778304,343744,0,134592,22656,804864,371904,341824,313152,2484736,8576,1216,799104,1728,1728,3328,520064,97600,1216,2462080,0
1495,1677696,332544,346624,0,3264,22464,417216,381440,174144,145664,1532032,8512,1280,411456,1664,1792,3072,147392,84928,1216,1509568,0
1496,2238016,354944,344896,0,3328,22592,654272,348544,509440,480960,1757056,8448,1152,648576,3328,1920,3456,357056,84736,1152,1734464,0
1497,1678016,343872,343872,0,3264,8576,585920,338112,54400,25792,1652224,8832,1216,580288,24768,1792,3392,322880,85696,1152,1643648,0
1498,2237440,350528,342016,0,3328,8384,650688,338176,544320,515904,1721536,8384,1280,644800,46528,1664,3264,387456,84672,1088,1713152,0
1499,1677696,330816,339840,0,3392,8128,497344,333696,164480,136448,1541248,8384,1152,491712,82560,1728,3136,233472,85120,1152,1533120,0
1500,1677824,333248,342912,0,3200,8384,530176,349056,110848,82304,1595520,8384,1152,524608,117696,1664,3008,273728,84096,1088,1587136,0
1501,2797952,330496,343168,0,3584,444544,1068160,381824,226176,197760,2600192,228288,1216,1062336,63616,1664,3008,508992,137600,1280,2155648,0
1502,2798144,697792,347264,0,4672,28608,1077184,355264,287360,259072,2539072,398016,1152,1071488,50048,1728,193024,198208,115200,1152,2510464,0
1503,1677568,351680,342784,0,4928,26112,494080,340096,117888,89984,1587584,91648,1152,488320,1408,1664,3264,73088,99648,1088,1561472,0
1504,1676160,318592,343232,0,3456,26560,510528,320384,153408,127232,1548928,154048,1152,504768,1536,1728,3200,68992,101632,1152,1522368,0
1505,1677760,320320,343872,0,4608,26624,540736,340864,100736,75008,1602752,155264,1152,535104,1600,1600,3072,69632,100288,1152,1576128,0
1506,1677632,346496,349888,0,5504,5376,521280,326848,122240,95936,1581696,158080,1216,515520,1600,1664,3008,69440,101888,1152,1576320,0
1507,1677632,315456,342784,0,121664,5696,521472,327616,42944,16448,1661184,158464,1152,515776,1600,1472,3072,67200,100736,1216,1655488,0
1508,1677760,315456,343808,0,3392,5376,620800,324800,64128,37888,1639872,162624,1216,614848,1664,2048,3136,145536,124864,1280,1634496,0
1509,1677696,326144,343360,0,3392,5568,550464,322752,126016,99776,1577920,95104,1216,544832,2176,1728,3136,144192,123328,1280,1572352,0
1510,2238144,310848,346176,0,3200,444544,604416,320000,208960,182272,2055872,164160,1216,598528,4352,1920,3264,143424,117312,1152,1611328,0
1511,2239040,340160,344256,0,3328,8000,1063808,309760,169728,141696,2097344,181184,1216,1057984,79104,1664,3264,566272,118784,1152,2089344,0
1512,2238144,337216,341824,0,3264,7808,830016,308160,409856,381760,1856384,176256,1280,824320,74048,1984,3200,216448,261184,1088,1848576,0
