frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,1677824,392320,342656,0,3200,12032,489344,311296,126976,98240,1579584,8448,1216,483584,66944,1792,3200,207168,104128,1344,1567552,0
1401,2798208,785216,338944,0,3648,20416,853312,291776,504896,476608,2321600,14208,1216,847680,45376,1664,3136,568256,160960,1216,2301184,0
1402,1677824,346368,337792,0,3584,20928,514176,293696,161280,132864,1544960,13888,1280,508544,101184,1792,3136,228480,161472,1152,1524032,0
1403,2798016,674560,337344,0,3840,41728,940352,300416,499776,471488,2326528,213504,1152,934528,48896,1600,211776,211392,191936,1152,2284800,0
1404,1677760,365120,338368,0,5952,42752,427712,284160,213696,185024,1492736,13760,1152,422144,46016,1728,2944,128832,146176,1152,1449984,0
1405,1677760,353920,340800,0,5184,42048,434752,272000,229056,200320,1477440,13504,1280,429120,72064,1792,3008,159296,149376,1088,1435392,0
1406,2237952,340224,337920,0,3840,440640,526272,274944,314112,285120,1952832,11776,1088,520896,73600,1856,2944,237120,166784,1088,1512192,0
1407,2236224,370752,337728,0,3776,5696,798720,270464,449088,422528,1813696,301696,1280,792768,47296,1664,3776,212480,171456,1280,1808000,0
1408,3358528,697984,342016,0,4032,27328,1329152,427008,531008,504256,2854272,426432,1152,1323520,47232,1856,271360,339840,180544,1024,2826944,0
1409,2237888,384448,339968,0,122624,27712,726272,432704,204160,176896,2060992,330304,1216,720384,47232,1600,6400,91200,153600,1280,2033280,0
1410,2237888,373184,336128,0,4160,5632,635776,462592,420416,393856,1844032,222976,1152,630272,88512,1728,3072,133120,154816,1024,1838400,0
1411,2237888,358336,337536,0,6656,27008,665152,461760,381440,355008,1882880,232960,1216,659648,45888,1792,3072,138432,170176,1088,1855872,0
1412,2237824,365760,340480,0,4160,5504,846656,341248,334016,307648,1930176,383424,1216,841088,46400,1792,3712,167488,174528,1280,1924672,0
1413,2798464,376768,340480,0,4224,439296,825344,464960,347392,320384,2478080,402624,1152,819456,46976,1728,3072,140480,162240,960,2038784,0
1414,3358272,381440,341248,0,5248,27200,1629312,638976,334848,307776,3050496,437760,1152,1623360,70272,1856,700416,196672,172480,1088,3023296,0
1415,2237952,372032,340800,0,4352,27904,461184,622208,409472,382592,1855360,14720,1152,455360,96192,1728,3200,182272,133056,1216,1827456,0
1416,2238080,359232,339264,0,4416,28032,408000,628352,470784,443904,1794176,14528,1088,402176,49792,1664,2944,134336,129280,1152,1766144,0
1417,1677760,357312,339072,0,7424,27520,402368,450432,93632,66816,1610944,15168,1216,396480,50048,1728,3136,133056,129792,1152,1583424,0
1418,1677504,369920,336768,0,5376,5376,451712,325696,182656,156032,1521472,14848,1216,445888,97472,1920,3328,193472,128256,1216,1516096,0
1419,2238080,358976,336704,0,130560,5568,395264,444608,566400,539520,1698560,14720,1216,389504,49664,1536,2880,137216,128960,1152,1692992,0
1420,2237824,355840,338880,0,7232,5632,547392,457664,525184,498880,1738944,15168,1216,541696,49280,1920,28160,218496,172032,1280,1733312,0
1421,2237952,358080,337792,0,5824,440128,539584,454720,101824,74944,2163008,15232,1280,533696,48896,1856,28096,218944,164288,1088,1722880,0
1422,2237888,355648,338432,0,3584,5376,538688,425728,570432,543744,1694144,14720,1088,533120,47488,1728,27968,217728,165440,1216,1688768,0
1423,1677632,360128,337152,0,3712,5504,566912,249856,154368,128128,1549504,12224,1216,561280,94720,1984,36544,261376,146496,1088,1544000,0
1424,1679744,359744,342016,0,5888,11520,540864,267968,151744,123264,1556480,10112,1280,535104,76800,1792,16768,252736,133184,1280,1544960,0
1425,1677440,333440,344896,0,4992,11840,519040,267136,196096,167872,1509568,9664,1280,513344,104960,1984,3008,260672,130816,1280,1497728,0
1426,1677632,329920,342592,0,3456,11968,501568,271296,216832,188736,1488896,9408,1152,495936,96448,1856,3008,242944,131392,1152,1476928,0
1427,1677760,344320,343232,0,5760,33728,505344,269824,175552,147648,1530112,10176,1216,499584,89856,1728,3008,246208,130688,1088,1496384,0
1428,1677632,327808,345856,0,5952,5504,514816,261696,216000,187968,1489664,10368,1152,509312,109888,1856,2944,256768,129664,1152,1484160,0
1429,2236544,429952,348736,0,3456,5632,728576,659008,61184,34944,2201600,10624,1216,722688,109952,1792,2880,250432,130816,1408,2195968,0
1430,1677888,395328,349120,0,3456,5568,559424,328832,36160,9536,1668352,10304,1216,553664,112192,1792,2880,273600,130560,1024,1662784,0
1431,2798400,642688,350080,0,5760,438464,723392,332992,305024,278016,2520384,10496,1152,717888,105984,1792,3136,416256,147840,1024,2081920,0
1432,2237632,329536,343552,0,136576,5376,731712,340864,350016,323264,1914368,10432,1088,726016,111744,1856,3008,273344,158016,1152,1908992,0
1433,1677568,312064,344832,0,3584,5504,615552,323968,72064,45696,1631872,10368,1408,609600,137152,1920,3136,293888,163328,1280,1626368,0
1434,1679232,332288,341952,0,3456,11456,633088,326784,30208,2176,1677056,10752,1280,627264,157312,1920,2944,320128,155264,1088,1665600,0
1435,1677824,317952,340800,0,3456,11456,632448,333504,38208,9920,1667904,11136,1088,626688,154624,1856,2880,328896,145920,1216,1656448,0
1436,2237888,317888,343296,0,3520,11968,636096,341312,583808,555648,1682240,10624,1216,630080,155904,2048,3008,333504,144768,1216,1670272,0
1437,2798848,644160,344704,0,3456,11520,965312,428608,401088,372160,2426688,10368,1216,959744,151040,1792,3072,328448,465664,1088,2415168,0
1438,2237376,329728,346432,0,3584,11776,577216,430528,538112,509632,1727744,10624,1152,571712,106944,1728,3072,264256,134912,1344,1715968,0
1439,2798464,344896,346304,0,6592,441664,913728,420096,325184,296128,2502336,10624,1280,907968,114816,1984,3136,603584,133568,1088,2060672,0
1440,2237632,317760,342144,0,4672,11712,596288,425408,539648,511744,1725888,10752,1216,590400,115008,1856,3456,284864,134272,1152,1714176,0
1441,2238080,317120,344576,0,3328,11968,594304,425152,541632,513152,1724928,10560,1280,588608,122368,1728,3392,283520,134208,1152,1712960,0
1442,2237696,328704,345280,0,3328,11968,561152,439552,547712,519680,1718016,10496,1216,555456,65664,1728,3264,243712,134080,1088,1706048,0
1443,2238208,311744,346624,0,118400,11648,537984,372416,539392,510592,1727616,10496,1152,532224,58240,1920,3136,224960,134080,1088,1715968,0
1444,1677696,311488,346304,0,3328,12160,520512,370496,113408,85120,1592576,11072,1344,514624,56896,2112,3392,214848,134592,1024,1580416,0
1445,1677824,312576,348096,0,3136,11584,518528,360192,123712,95360,1582464,11264,1344,512576,57472,1728,3200,215040,133056,1024,1570880,0
1446,1677568,311616,347200,0,3264,11392,573056,364352,66688,38144,1639424,10880,1152,567296,103744,1920,3136,271104,133568,1152,1628032,0
1447,1677888,312064,346880,0,3200,11712,568768,359168,76096,47424,1630464,11264,1216,563008,103232,1984,3328,263744,133952,1216,1618752,0
1448,2798208,336512,344384,0,3328,444416,725504,369856,574208,545792,2252416,11008,1216,719744,38080,2048,3328,419968,136192,1152,1808000,0
1449,2237824,331264,345216,0,3264,5824,676672,363520,512064,484032,1753792,11392,1152,670976,18688,2048,3456,371328,134784,1216,1747968,0
1450,2236352,656128,344128,0,5440,5696,728704,361792,134464,108160,2128192,10880,1152,723072,45312,1792,3200,425856,134208,1216,2122496,0
1451,2238144,326912,343488,0,4352,5632,780032,345280,432448,405952,1832192,10624,1280,774208,59840,1920,3456,232128,133248,1216,1826560,0
1452,1677696,329280,340480,0,6720,5504,467392,330752,197568,171264,1506432,10816,1216,461824,18304,1920,3200,174720,133248,1216,1500928,0
1453,1677760,337216,339776,0,4800,5568,478016,345152,167232,140736,1537024,10688,1152,472256,18496,1600,2944,182976,135360,1152,1531456,0
1454,2798144,791680,339200,0,4992,27456,983744,357632,293440,266688,2531456,57024,1152,977728,59840,1856,222208,401024,129664,1216,2504000,0
