frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4304960,18368,1256320,0,2432,293248,248832,1951232,534528,505792,3799168,640,1152,243776,0,1088,3008,130560,28096,896,3505920,0
3,1117056,18048,328768,0,260480,5056,251392,82432,170880,144128,972928,640,1024,246208,0,1216,2944,132416,27392,1024,967872,0
4,1117632,18368,327488,0,4096,5184,252480,82048,427968,400960,716672,640,1024,247168,0,1024,2944,133760,27712,832,711488,0
5,1117632,17728,328448,0,3392,5376,251648,82048,428992,401792,715840,768,1152,246528,0,1216,3008,132096,28288,1024,710464,0
6,1117632,17792,328448,0,3648,5376,250240,82304,429824,402688,714944,640,1024,245248,0,1152,3072,131456,28032,1024,709568,0
7,1117440,18176,329216,0,3328,5504,249664,82048,429504,401856,715584,768,1088,244736,0,1152,2816,131328,27712,1024,710080,0
8,1117312,18304,329536,0,3456,5312,252096,80832,427776,400896,716416,640,1088,247104,0,1152,2944,131904,27520,1088,711104,0
9,1117376,17920,329664,0,3328,5120,252416,81280,427648,400768,716608,512,1088,247232,0,1344,2880,133760,27904,832,711488,0
10,1117568,18176,330240,0,3328,5120,250496,81024,429184,402368,715200,832,1152,245504,0,1344,2944,132672,27584,960,710080,0
11,1117568,18048,328448,0,3264,5248,257024,81408,424128,396800,720768,640,1088,251776,0,1344,3072,137536,27904,1152,715520,0
12,1117696,18240,327360,0,3392,5440,253568,81216,428480,401280,716416,704,1088,248576,0,1216,3008,134912,27584,1088,710976,0
13,1117440,18240,328704,0,3200,5312,256384,81856,423744,396736,720704,640,1088,251264,0,1280,2816,137472,27584,960,715392,0
14,1117696,18048,329088,0,3328,5440,253376,81536,426880,399680,718016,704,1088,248256,0,1152,2944,135424,27584,960,712576,0
15,1117440,18368,327360,0,3328,5312,254208,81344,427520,400640,716800,512,1152,249088,0,1024,2944,135872,27712,896,711488,0
16,1117568,18368,327232,0,3392,5312,254976,82176,426112,398912,718656,640,1024,249920,0,1280,2880,135808,27584,896,713344,0
17,1117824,18176,329088,0,3392,238464,253888,81344,193472,166144,951680,576,1088,248896,0,1024,2752,135808,27712,1024,713216,0
18,1117248,18560,329664,0,3328,5120,254528,81152,424896,397888,719360,512,1152,249600,0,1280,2880,135552,27776,1088,714240,0
19,1117504,18240,329088,0,3264,5376,253056,81472,427008,400512,716992,576,960,248256,0,1216,2560,134848,27520,1024,711616,0
20,1117696,17728,326400,0,3328,5376,258688,81600,424576,397440,720256,576,1088,253632,0,1152,2944,139328,28416,960,714880,0
21,1117504,17984,329536,0,3328,5504,258240,81088,421824,395008,722496,768,1152,253056,0,1216,2880,139520,28032,1024,716992,0
22,1117632,17920,327360,0,3520,5184,255936,82240,425472,398464,719168,704,1088,250944,0,1280,2944,137472,27392,1024,713984,0
23,1117632,18112,327680,0,3200,5376,256192,80768,426304,398976,718656,640,1024,251136,0,1216,2880,138048,28032,960,713280,0
24,1117504,18304,327040,0,3328,5440,254848,82240,426304,399104,718400,704,1088,249728,0,1088,3008,137152,27072,1024,712960,0
25,1117568,17344,327104,0,3264,5312,254784,81088,428672,401664,715904,640,1088,249600,0,1216,2944,136256,27776,960,710592,0
26,1117376,18112,328128,0,79872,4992,256064,82176,348032,320960,796416,640,1024,251072,0,1024,2944,138048,27456,1088,791424,0
27,1117824,17792,328832,0,3520,5568,258048,82240,421824,394816,723008,576,1088,253184,0,1216,3072,139200,28288,1024,717440,0
28,1117248,18048,326272,0,3200,5312,251648,80960,431808,404864,712384,576,1024,246848,0,1216,2752,133312,28672,1088,707072,0
29,1117632,17984,329856,0,3328,5376,252096,80960,428032,401216,716416,576,1088,247104,0,1152,3136,134336,27520,1024,711040,0
30,1117504,18112,332352,0,3264,5504,256896,80704,420672,394176,723328,704,1152,251776,0,1280,2880,138432,27840,1088,717824,0
31,1117632,18048,329408,0,3456,5184,255168,81920,424448,397504,720128,640,1152,249984,0,1216,3136,136896,27840,1152,714944,0
