frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4304960,18368,1256320,0,2432,293248,248832,1951232,534528,505792,3799168,640,1152,243776,0,1088,3008,130560,28096,896,3505920,0
3,1116992,18560,332608,0,260864,5184,254656,81408,163712,136832,980160,640,1088,249344,0,1088,3008,135232,27520,1152,974976,0
4,1117440,17664,327168,0,4032,5312,256448,80512,426304,399040,718400,768,1088,251392,0,1216,2816,136512,28160,1024,713088,0
5,1117696,17984,330816,0,3328,5312,254208,82624,423424,396352,721344,704,1088,249216,0,1216,2880,135424,28096,896,716032,0
6,1117824,18432,328448,0,3392,5376,254656,81344,426176,398336,719488,704,1088,249728,0,1088,2752,135552,27840,960,714112,0
7,1117312,17920,327808,0,3520,5376,252864,81536,428288,401344,715968,640,1088,247744,0,1280,3008,134912,27008,896,710592,0
8,1117760,18368,326848,0,3392,5248,256448,81728,425728,398464,719296,704,1088,251456,0,1024,2752,137088,27904,896,714048,0
9,1117376,17536,326336,0,3456,5376,255360,81792,427520,400576,716800,704,1088,250432,0,1280,3008,137152,27328,1088,711424,0
10,1117696,17856,329088,0,3520,5376,254464,81408,425984,399040,718656,832,1088,249344,0,1152,2880,135552,27904,896,713280,0
11,1117184,17728,331136,0,3392,5184,258560,81024,420160,393024,724160,640,1152,253312,0,1344,2944,140096,27840,960,718976,0
12,1117504,18176,328064,0,3264,5440,256192,81664,424704,397760,719744,768,1088,250944,0,1088,2752,137664,27328,1024,714304,0
13,1117696,17600,327872,0,3456,4992,257344,82048,424384,397056,720640,576,1024,252288,0,1280,2752,139008,27584,960,715648,0
14,1117568,17920,330048,0,3264,5248,255104,80704,425280,398720,718848,896,1024,250240,0,1216,2944,137600,27712,1024,713600,0
15,1117440,18176,326528,0,3264,5184,258176,81536,424576,397632,719808,640,1024,253184,0,1152,3008,139264,28032,896,714624,0
16,1117696,17792,327872,0,3392,5376,257152,80576,425536,398464,719232,640,1088,252096,0,1280,2816,139008,27648,1024,713856,0
17,1117696,18880,326848,0,3328,238016,257600,80960,192064,164928,952768,704,1152,252544,0,1344,2944,139392,28032,1088,714752,0
18,1117568,17984,330944,0,3456,5248,256640,81792,421504,394048,723520,704,1216,251712,0,1152,2880,138688,27456,960,718272,0
19,1117440,17792,327872,0,3392,5184,256000,80704,426496,399232,718208,704,1088,250816,0,1152,2880,137536,27840,896,713024,0
20,1117248,18688,328000,0,3328,5120,261248,81472,419392,392448,724800,640,1088,255936,0,1344,2944,142080,28224,1088,719680,0
21,1117824,18432,328000,0,3456,5248,261056,81408,420224,393280,724544,704,1088,256064,0,1152,2944,143168,27392,1024,719296,0
22,1117568,17856,328064,0,3264,5184,260480,81920,420800,393664,723904,576,1088,255424,0,1216,3008,141312,27712,1024,718720,0
23,1117312,17664,331200,0,3392,5440,259904,81792,417920,391040,726272,640,1088,254784,0,1344,2688,140672,28672,1088,720832,0
24,1117824,17536,329216,0,3520,5184,259840,80832,421696,394240,723584,768,1152,254784,0,1280,3072,142144,27200,1152,718400,0
25,1117440,18240,329088,0,3328,5184,258368,82240,420992,393472,723968,640,1024,253504,0,1344,2944,140480,27648,1024,718784,0
26,1117440,17920,328448,0,79808,5312,259904,81856,344192,316864,800576,640,1152,254592,0,1344,2688,140992,27968,1024,795264,0
27,1117376,17664,327744,0,3328,5312,259456,80832,423040,395840,721536,576,1088,254464,0,1152,2816,140928,28032,960,716224,0
28,1117376,18112,327744,0,3456,5312,255616,82048,425088,398400,718976,640,1024,250624,0,1088,2688,137024,27776,832,713664,0
29,1117696,18432,329920,0,3328,5184,254848,81152,424832,397696,720000,640,1024,249792,0,960,2880,137664,27264,1024,714816,0
30,1117632,17664,328192,0,3328,5120,261120,82048,420160,392960,724672,576,1024,256000,0,1216,2944,142592,27456,1024,719552,0
31,1117632,17856,328448,0,3328,5312,258176,82176,422336,395008,722624,640,1088,252928,0,1152,2752,139712,27072,1152,717312,0
32,1117696,18304,327808,0,3264,258048,254400,81472,174400,146816,970880,768,1024,249344,0,1280,2816,136128,27584,896,712832,0
33,1117312,17728,327680,0,3456,5312,258368,81152,423616,396608,720704,640,1024,253504,0,1152,3136,139584,28096,1088,715392,0
34,1117504,17664,327936,0,3328,5120,256960,81216,425280,397760,719744,512,1024,251840,0,1152,2816,138368,27840,1088,714624,0
35,1117376,18240,327744,0,3392,5120,256064,81280,425536,398592,718784,704,1088,250880,0,1088,3008,137664,27648,896,713664,0
36,1117696,17920,326400,0,3520,5440,256832,81408,426176,398976,718720,704,1088,251776,0,1152,2944,137984,28032,1152,713280,0
37,1117824,17920,331200,0,3456,5376,257664,81216,420992,393728,724096,704,1088,252544,0,1152,3008,139008,27584,1088,718720,0
38,1117312,17920,330176,0,3392,5184,256384,81216,423040,396096,721216,640,1088,251264,0,1088,3008,138304,27264,896,716032,0
39,1117568,18624,327808,0,3200,5312,257280,80512,424832,397760,719808,704,1216,252032,0,1408,3136,139264,27584,1024,714496,0
40,1117504,18176,329152,0,3456,5248,257152,81152,423168,396224,721280,768,1088,251968,0,1280,2944,138624,27648,1088,716032,0
41,1117184,18240,329024,0,3264,4992,287808,80768,393088,365952,751232,576,1216,282752,0,1152,2944,169536,27520,1152,746240,0
42,1117696,17920,326656,0,3456,5312,266560,81344,416448,389568,728128,640,1152,261504,0,1152,2944,148352,27520,1024,722816,0
43,1117504,17984,327360,0,3392,5440,255552,81664,426112,399168,718336,640,1152,250496,0,1088,3008,137152,27968,960,712896,0
44,1117376,17792,327296,0,3520,5312,257152,80448,425856,399104,718272,704,1088,252032,0,1216,2944,138432,27968,832,712960,0
45,1117632,17792,326784,0,3264,5504,255488,81024,427776,400448,717184,640,1088,250432,0,1344,2944,137344,28480,1024,711680,0
46,1117568,17536,327040,0,3328,5440,257600,81536,425088,397760,719808,576,1088,252480,0,1280,2816,138880,27520,1024,714368,0
47,2237824,27648,334528,0,3392,287936,901312,146176,536832,501248,1736576,640,1088,896192,0,1280,3072,133120,33728,1088,1448640,0
