frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,2237824,390208,343296,0,120256,11712,490496,311680,570176,541568,1696256,8640,1152,484800,65472,1856,3008,206848,105280,1024,1684544,0
1401,2798016,787136,339392,0,3776,20672,854592,291328,501120,472448,2325568,13312,1088,848960,44480,1856,3072,568384,161408,1280,2304896,0
1402,2237696,346368,338624,0,3648,448320,514432,290432,295872,266688,1971008,13824,1280,508864,98432,1792,3136,228736,160064,1088,1522688,0
1403,2798272,676736,338432,0,4928,41984,945216,298624,492352,463616,2334656,213952,1152,939584,47872,1920,215808,211776,191616,1152,2292672,0
1404,1677824,366016,337920,0,5248,42048,425984,282816,217792,188800,1489024,13184,1216,420160,44864,1792,2880,128512,145536,1280,1446976,0
1405,1677632,355200,339520,0,3904,42048,436032,269376,231552,202432,1475200,13568,1088,430528,71040,1728,2816,159040,149056,1152,1433152,0
1406,1677824,342336,335360,0,4032,5632,527808,273344,189312,160640,1517184,11392,1152,522304,72448,1984,3008,237952,167808,1216,1511552,0
1407,2236416,373568,339136,0,3840,5824,802752,270272,441024,414080,1822336,302272,1216,797312,47424,1856,3520,214464,172032,960,1816512,0
1408,3358464,700864,339264,0,4224,27456,1338944,426048,521664,494720,2863744,430080,1152,1333376,47552,1792,274432,342144,180800,1088,2836288,0
1409,2237632,386752,338752,0,4416,27648,727232,431296,321536,294720,1942912,332736,1152,721344,46400,1600,6528,90560,153792,1216,1915264,0
1410,2798272,372928,336576,0,4352,432064,636800,461568,553984,526656,2271616,221504,1024,631296,87424,1664,3072,132096,157120,1216,1839552,0
1411,2237632,356672,338368,0,123200,27648,666048,461504,264192,237120,2000512,232192,1088,660160,44608,1792,3136,138880,170688,1280,1972864,0
1412,2237888,368000,337856,0,4032,5504,847296,339584,335616,308928,1928960,383168,1088,841728,45248,1920,3840,167744,174336,1152,1923456,0
1413,2237952,379904,338624,0,4352,5568,827712,465664,216128,188864,2049088,404096,1152,822272,46848,1920,3008,140736,162048,1088,2043520,0
1414,3358336,382720,340032,0,4224,27776,1636800,638784,328000,301120,3057216,444800,1088,1630848,67904,1984,700544,195136,172672,1088,3029440,0
1415,2237696,372608,338304,0,4544,27712,463168,621184,410176,383424,1854272,14848,1152,457472,95488,1920,3072,182016,133056,1152,1826560,0
1416,2238272,358656,338944,0,4544,27648,410432,629696,468352,441024,1797248,15040,1152,404864,48064,1856,2880,134080,131200,1216,1769600,0
1417,2237568,356224,340160,0,7680,456128,403520,450240,223616,196672,2040896,14976,1088,398080,48512,1600,3008,131776,130816,1088,1584768,0
1418,1678080,370496,339072,0,5376,5696,452160,323584,181696,154432,1523648,14528,1216,446400,96192,1664,2880,192512,129664,1088,1517952,0
1419,1677504,360192,338688,0,4288,5632,391616,442432,134656,107520,1569984,14848,1152,386048,47104,1984,3008,131712,130432,1216,1564352,0
1420,2238144,354112,337600,0,6592,5568,550976,456960,526336,499456,1738688,14656,1088,545664,48256,2048,28352,220736,172800,1152,1733120,0
1421,2237824,359872,338240,0,7424,5696,542976,451904,531712,504576,1733248,14656,1088,537344,47680,2048,28032,220672,165696,1088,1727552,0
1422,2237824,355904,337216,0,129792,5760,544192,423488,441472,414528,1823296,14976,1152,538368,46464,2112,28224,220224,165952,1088,1817536,0
1423,1677632,361024,338880,0,3712,5440,569344,248640,150592,123520,1554112,12160,1152,563712,91968,1728,36608,260992,147136,1152,1548672,0
1424,1679360,359104,343680,0,5952,11648,545408,267200,146368,118016,1561344,10240,1152,539776,75840,1984,17024,254208,134336,1152,1549696,0
1425,1677888,332032,343168,0,5056,12032,524544,266496,194560,165888,1512000,10048,1216,518912,103296,1920,3008,263488,132416,1152,1499968,0
1426,2237888,330240,346368,0,3648,438976,503360,270272,345024,315648,1922240,9536,1152,497728,94400,1920,3136,242176,132480,1152,1483264,0
1427,1677888,344384,343424,0,5952,33920,503104,268864,178240,149440,1528448,9792,1216,497344,88000,1856,2944,244480,130944,1280,1494528,0
1428,1677504,326016,342528,0,4928,5568,512832,259584,226048,197248,1480256,9664,1152,507008,107264,2048,2944,253440,130560,1216,1474688,0
1429,2236544,427392,348736,0,3584,5824,728256,658176,64576,37952,2198592,10496,1216,722432,109120,2048,2816,251328,130112,1408,2192768,0
1430,1677568,394112,345600,0,3584,5376,562112,329920,36864,10368,1667200,10560,1088,556736,109824,1984,3136,273472,131328,1344,1661824,0
1431,2238080,646784,345792,0,5632,5440,722944,331392,180096,153280,2084800,9856,1088,717504,105408,1600,2880,418752,147328,1152,2079360,0
1432,2237696,330240,346560,0,3648,5568,732288,338496,480896,453888,1783808,10176,1088,726656,111232,1984,3072,273536,158144,1024,1778240,0
1433,1677888,309824,341824,0,3712,5632,609792,322560,84544,57344,1620544,10432,1088,604160,134016,1920,2944,289792,161920,1216,1614912,0
1434,1679360,332096,343552,0,3712,11968,630144,327936,29952,1664,1677696,10560,1088,624576,155136,1856,3072,318848,154752,1216,1665728,0
1435,2237760,316224,345472,0,135744,441088,635584,333248,30400,1664,2236096,10432,1152,629824,152064,2048,3008,327488,146944,1216,1795008,0
1436,2237824,315072,344128,0,3648,11904,637760,340224,585088,556096,1681728,10944,1216,632192,154112,1856,3008,333312,146368,1152,1669824,0
1437,2798656,646912,341120,0,3776,12416,965120,425344,403968,374976,2423680,10240,1088,959680,147968,2112,3008,327232,467264,1216,2411264,0
1438,2237440,328384,345856,0,4736,11456,579584,429952,537472,509632,1727808,11008,1216,573760,106176,1856,3456,266560,134464,1280,1716352,0
1439,2237888,344000,345216,0,6464,11520,920960,418432,191296,163072,2074816,10624,1152,915328,114240,1728,3392,608576,134656,1024,2063296,0
1440,2238016,315392,344832,0,4672,11648,596672,424320,540480,511808,1726208,10816,1088,591104,112768,2240,3136,283968,134528,1280,1714560,0
1441,2237888,315968,345344,0,3328,11840,599808,424576,537024,508480,1729408,10752,1088,594240,121152,1984,3200,285760,134464,1024,1717568,0
1442,2237696,328448,344128,0,3392,11712,563904,439424,546688,518336,1719360,10496,1152,558336,64256,1920,3264,246336,135232,1216,1707648,0
1443,2237952,310400,342976,0,3520,438016,538496,368512,236032,206912,2031040,10240,1152,532672,56832,1856,3328,225408,133568,1216,1593024,0
1444,1677888,310720,344128,0,3456,11712,520896,369024,117952,89152,1588736,10688,1088,515520,57088,1920,2816,217344,132800,1088,1577024,0
1445,1677568,310592,345472,0,3456,11712,522496,358912,124928,96448,1581120,11008,1152,516800,58112,1920,3264,217088,134912,1216,1569408,0
1446,1677440,313792,346176,0,3328,11904,577024,362496,62720,34432,1643008,11456,1088,571520,103104,2048,3456,272640,133952,1024,1631104,0
