frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4348864,18368,1259136,0,2304,306688,247424,1980160,534784,505664,3843200,832,1088,242176,0,1216,2944,129088,27712,1024,3536512,0
3,1117184,17792,335616,0,260928,5376,249408,81536,166528,139520,977664,704,1152,244288,0,1088,2752,130560,28096,960,972288,0
4,1117504,17856,330688,0,4160,5632,249664,81408,428096,400576,716928,704,1088,244544,0,1216,3008,130176,28160,960,711296,0
5,1117504,18048,335232,0,3200,5696,249280,81536,424512,396992,720512,640,1152,243968,0,1024,3136,130048,27584,960,714816,0
6,1117568,17600,331328,0,3264,5632,249600,80256,429888,402816,714752,640,1088,244480,0,1088,3072,131264,27584,832,709120,0
7,1117568,18368,332480,0,3264,5568,248384,82688,426816,399936,717632,512,1216,243200,0,1280,3072,129856,26944,896,712064,0
8,1117568,18560,334016,0,3200,5312,251520,81408,423552,396480,721088,640,1152,246144,0,1024,2816,131712,27712,960,715776,0
9,1117184,17728,331712,0,3200,5440,250496,81088,427520,400640,716544,640,1024,245248,0,960,3072,132480,27136,896,711104,0
10,1117632,17472,331968,0,3264,5696,248640,81152,429440,402240,715392,768,1088,243200,0,1088,3008,130432,27392,1024,709696,0
11,1117568,18048,335680,0,3200,5248,253376,81920,420096,392448,725120,640,1088,248128,0,1024,2816,134400,27840,1088,719872,0
12,1117632,18048,333248,0,3264,5376,252288,81600,423808,396800,720832,704,1152,247104,0,1024,3072,134016,27648,1088,715456,0
13,1117440,18112,332800,0,3136,5376,251584,80768,425664,398528,718912,576,1152,246336,0,1216,3008,133888,27264,1152,713536,0
14,1117632,18304,333312,0,3392,5184,252096,80192,425152,398208,719424,768,1280,246720,0,960,2880,133376,27072,1088,714240,0
15,1117504,18112,332864,0,3264,5312,251648,81216,425088,398144,719360,576,1216,246400,0,960,2816,134144,27264,960,714048,0
16,1117632,18496,333824,0,3200,5440,252544,81728,422400,395136,722496,704,1216,247104,0,1280,2944,133824,27264,960,717056,0
17,1117760,18496,333888,0,3200,241152,252608,81664,186752,159232,958528,704,1152,247424,0,1152,3072,133888,28096,1024,717376,0
18,1117376,17920,332800,0,3200,5696,249984,80960,426816,399488,717888,576,1088,244928,0,1152,3072,132864,27072,1152,712192,0
19,1117696,18624,334400,0,3264,5504,249792,81984,424128,397120,720576,640,1280,244480,0,1152,2944,132288,26368,896,715072,0
20,1117504,18048,333120,0,3200,5568,256896,81472,419200,392128,725376,704,1088,251584,0,1152,2944,137728,28032,960,719808,0
