frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
1400,1677568,362368,390400,0,3328,11648,484608,312832,112384,84352,1593216,8768,1088,479168,65728,1600,3456,200064,104832,1088,1581568,0
1401,2798272,775168,391168,0,3648,448640,786368,296704,96576,67904,2730368,13632,1216,780800,45760,1792,3072,497664,164416,1088,2281728,0
1402,1677632,319296,392896,0,3712,20032,510976,296832,133888,105920,1571712,14016,1088,505408,97792,1728,3392,221888,163456,1152,1551680,0
1403,2798144,659968,393472,0,4032,41536,962240,304320,432576,404480,2393664,214016,1024,956928,48256,1920,233600,207552,195136,1152,2352128,0
1404,1677824,340544,392128,0,6528,41280,429376,286976,180992,153152,1524672,13888,1152,423808,45568,1664,3200,126656,149568,1152,1483392,0
1405,1677952,329280,393664,0,3840,41600,438080,273152,198336,170304,1507648,14080,1024,432512,72256,1728,3328,156992,152576,1280,1466048,0
1406,1677824,319424,393088,0,3712,5888,523264,277952,154496,126016,1551808,11264,1152,518016,73152,1792,3200,232384,168960,1152,1545920,0
1407,2236736,345920,390912,0,120832,5824,797952,274368,300928,273664,1963072,301440,1088,792448,47296,1792,4032,206848,175104,1024,1957248,0
1408,2798144,686528,391424,0,4096,27136,1206080,432192,50688,24256,2773888,398720,1024,1200640,47424,1856,239360,272000,184256,1088,2746752,0
1409,2798208,360256,392576,0,4352,456128,728832,436800,419264,392000,2406208,331072,1088,723328,48000,1600,6848,90688,157120,1344,1950080,0
1410,2237888,345344,391488,0,4288,5760,639680,467776,383552,357056,1880832,222272,1024,634048,88832,1792,3264,133248,157952,1344,1875072,0
1411,2237952,332288,392128,0,6848,27328,665152,467328,346880,320640,1917312,231872,1088,659712,45440,1856,3200,135744,173184,1216,1889984,0
1412,2238080,338944,393216,0,4160,5760,842368,346432,307200,280640,1957440,380992,1088,836736,46144,1920,3968,164224,174784,1088,1951680,0
1413,2237824,352512,394112,0,4160,5632,826432,467328,187648,161088,2076736,403776,1024,821120,46720,1664,3520,137536,162496,1216,2071104,0
1414,3358592,353472,392256,0,4480,27456,1686976,646080,247872,221248,3137344,436992,1152,1681408,69248,1728,760384,190976,176384,1088,3109888,0
1415,2237888,345536,390016,0,6912,27008,461824,629824,376768,350528,1887360,14848,1024,456448,95936,1920,3328,180160,134400,1152,1860352,0
1416,2798208,332736,390848,0,5888,459136,408000,636480,565120,538048,2260160,14272,1088,402560,48896,1792,3328,131776,131584,1152,1801024,0
1417,2237824,327808,391936,0,140800,27136,402752,457536,489856,463360,1774464,14976,960,397248,49280,1792,3264,129792,132800,1088,1747328,0
1418,1677952,343872,393536,0,5568,5952,453120,332544,143360,116544,1561408,14848,1024,447616,96512,1728,3456,190080,132288,1152,1555456,0
1419,1677696,332096,390912,0,4224,5888,390080,448960,105536,78912,1598784,14336,1088,384640,48064,1792,3264,129088,131584,960,1592896,0
1420,2238080,328448,391936,0,6592,5824,543296,464320,497664,471424,1766656,14400,1088,537856,48768,2048,28864,214144,173056,1216,1760832,0
1421,2237952,331328,392064,0,7424,5760,538048,458624,504704,478016,1759936,14528,1088,532416,48512,1856,28352,214400,165952,1152,1754176,0
1422,2237760,329728,389376,0,3712,5568,534976,432640,541760,515264,1722496,14848,1088,529536,47680,1920,28160,210688,167168,1152,1716928,0
1423,1677952,331712,392704,0,3776,5824,563456,254080,126400,99840,1578112,11648,1088,557952,93696,2048,37184,257088,147520,960,1572288,0
1424,1679296,332480,391040,0,6464,11712,538752,271680,127168,99520,1579776,9408,1024,533376,76864,1792,17216,249408,135296,1088,1568064,0
1425,2238080,305664,388736,0,4992,439680,518720,272128,308160,279872,1958208,9152,1088,512896,103872,1728,3136,257792,133120,1152,1518528,0
1426,1677760,305152,392704,0,3584,12096,498368,274880,190976,162944,1514816,9472,1152,492480,97536,1792,3136,237056,132736,1024,1502720,0
1427,1677760,317760,391744,0,5760,33408,499072,273408,156608,128640,1549120,9664,1088,493568,89664,1920,3072,237760,131904,1216,1515712,0
1428,1678080,300736,389888,0,4800,5760,507712,264064,205120,176704,1501376,9280,1088,502208,108864,1856,3200,247488,132160,1344,1495616,0
1429,2796608,397824,398080,0,3520,6080,747008,666624,577472,550848,2245760,10368,1088,741440,109056,1920,3328,243584,132544,1216,2239680,0
1430,2237952,364032,393152,0,136000,5696,556800,333248,449024,422528,1815424,10496,1088,551360,111360,1792,3200,267520,132032,1088,1809728,0
1431,2238080,634816,392384,0,5952,5696,738624,335680,124928,98432,2139648,9792,1024,733376,106048,1984,3136,432448,149184,1088,2133952,0
1432,2237760,303616,393408,0,3648,5632,731520,342784,457152,430336,1807424,10240,1024,726016,112512,1920,3136,271104,160256,1152,1801792,0
1433,2238016,287552,392320,0,3456,431488,611136,329728,182336,156032,2081984,9792,1088,605504,135168,1792,3264,287744,164736,1280,1650496,0
1434,2239360,309632,392064,0,3584,11968,630080,332160,559872,531968,1707392,10432,1088,624512,155968,1792,3072,313664,157440,1024,1695424,0
1435,2238080,292288,390528,0,3520,11840,626560,338368,574976,546944,1691136,9792,1088,620928,152640,1856,3328,320960,148480,1216,1679296,0
1436,2238016,291392,390912,0,4608,11648,632896,345856,560704,532416,1705600,10304,1024,627520,154304,1920,3392,327424,147712,1152,1693952,0
1437,2798528,636032,391488,0,3520,11840,931456,432576,391616,363072,2435456,10624,1088,925888,148224,1984,3520,320512,439360,1088,2423616,0
1438,2237824,306624,390592,0,6144,11648,573888,434816,514112,486144,1751680,10176,1024,568704,106048,1792,3456,260992,135296,1216,1740032,0
1439,2238144,320640,394816,0,5696,11520,930688,426816,147968,120064,2118080,10624,1024,925504,114240,2240,3392,615104,137152,1152,2106560,0
1440,2237760,293440,391936,0,120704,11840,598016,430400,391424,362944,1874816,10240,1152,592320,112640,1856,3264,277696,140800,1216,1862976,0
1441,2238208,292864,391168,0,3520,436224,591680,429504,93248,64704,2173504,10240,1024,586176,119104,1920,3392,277056,135936,1216,1737280,0
1442,2237824,306176,391424,0,3392,11968,560192,443456,521216,492608,1745216,10176,1088,554560,64960,1856,3392,239808,135744,1344,1733248,0
1443,1677824,287488,394304,0,3456,11648,534208,374208,72512,43904,1633920,9856,1088,528640,57408,1920,3328,219840,135232,1216,1622272,0
1444,1677760,286592,391104,0,3392,11840,518784,377216,88832,60352,1617408,10112,1088,513280,56960,1792,3712,210688,135744,1088,1605568,0
1445,1677760,285184,391680,0,3392,11712,515968,365376,104448,76480,1601280,10560,1088,510528,57856,1856,3456,210560,133952,1088,1589568,0
1446,1677824,288256,389184,0,3264,11840,575232,370560,39488,11520,1666304,11072,960,569792,103168,1984,3712,267904,135488,1280,1654464,0
1447,1677888,287488,391552,0,3392,11328,567680,365248,51200,22912,1654976,10624,1088,562112,104000,1728,3264,259648,135424,1152,1643648,0
1448,2238016,315776,392128,0,3328,11712,697856,375808,441408,413312,1824704,11200,1088,692544,38272,1920,3456,389952,137600,1152,1812992,0
1449,2237760,305280,393984,0,5440,5952,643840,366784,516480,489024,1748736,10496,1088,638272,18624,1856,3520,336128,137024,1152,1742784,0
1450,2797120,648192,393344,0,4032,433728,722816,367104,227904,201280,2595840,10624,1088,717376,44416,1920,3584,418176,135488,1088,2162112,0
