frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,WRAPFIX
2,4435968,18112,1230592,0,2368,491712,246208,1910912,536064,507200,3928768,704,1088,241024,0,1152,3136,128064,27648,1024,3437056,0
3,1116800,18176,381184,0,260288,5440,247936,81280,122496,95552,1021248,640,1024,242880,0,1152,3072,129024,28032,1088,1015808,0
4,1117632,18944,379584,0,4032,5696,248064,82112,379200,352064,765568,704,1088,242880,0,1152,3072,129984,27520,1024,759872,0
5,1117760,18944,378624,0,3328,5440,247872,80640,382912,355648,762112,768,1024,242880,0,1344,3200,129408,28160,960,756672,0
6,1117504,18496,376896,0,3392,5248,251328,81600,380544,353472,764032,704,1024,246336,0,1152,3200,132736,27840,960,758784,0
7,1117696,18176,379008,0,3328,5760,247488,82368,381568,354624,763072,704,1024,242560,0,1280,3264,128896,27776,960,757312,0
8,1117440,18688,376960,0,3328,5696,250688,81920,380160,353664,763776,704,1088,245440,0,1280,3264,130624,27456,896,758080,0
9,1117696,18176,380608,0,3328,5632,248640,81600,379712,352768,764928,576,1024,243648,0,1152,3200,130304,27904,960,759296,0
10,1117504,18304,378368,0,3264,5568,246528,80512,384960,357952,759552,640,1088,241088,0,1152,3328,129280,27264,1088,753984,0
11,1117696,18496,379072,0,3264,5376,252096,80448,378944,351680,766016,704,1024,246784,0,1024,3264,133952,27776,960,760640,0
12,1117696,18240,378368,0,3392,5248,249664,81728,381056,354304,763392,704,1088,244608,0,1152,3072,131712,27264,960,758144,0
13,1117632,18368,378496,0,3520,5760,251584,81152,378752,351936,765696,768,960,246528,0,1216,3136,132864,28096,960,759936,0
14,1117568,18432,381824,0,3392,5440,249472,81664,377344,350592,766976,640,1088,244352,0,1024,3136,132288,27200,960,761536,0
15,1117440,18688,379520,0,3456,5504,251136,81536,377600,350848,766592,832,1024,246016,0,1088,3200,133504,27712,1024,761088,0
16,1117632,18112,379776,0,3328,5504,249664,81408,379840,352960,764672,704,1024,244544,0,1216,3200,132416,27776,1024,759168,0
17,1117760,18368,380096,0,3328,234432,250816,80768,149952,122688,995072,768,960,245760,0,1088,3008,133760,27584,1024,760640,0
18,1117376,18176,378368,0,3200,5120,250624,82240,379648,352768,764608,832,1088,245504,0,1152,3200,132672,27520,1024,759488,0
19,1117632,18240,379264,0,3392,5376,248768,80256,382336,355072,762560,640,1152,243648,0,1216,3072,131520,27392,896,757184,0
20,1117696,18304,379712,0,3456,5504,254464,80512,375744,348992,768704,704,1024,249216,0,1152,3328,135616,28096,960,763200,0
21,1117568,18688,380672,0,3456,5248,254656,80704,374144,347392,770176,768,1024,249408,0,1216,3200,136576,27648,1024,764928,0
22,1117632,18240,379840,0,3328,5248,253440,80448,377088,350144,767488,768,1088,248448,0,1216,3200,135232,27904,1024,762240,0
23,1117696,18496,378304,0,3328,5184,254016,81216,377152,350144,767552,768,1088,248896,0,1024,3136,135680,28288,960,762368,0
24,1117568,17984,379072,0,3456,5312,253376,80192,378176,351424,766144,704,960,248320,0,1024,3264,135104,27648,960,760832,0
25,1117632,17984,380096,0,3456,5376,251648,80896,378176,351424,766208,704,1088,246656,0,1088,3328,133760,27648,1024,760832,0
26,1117568,17856,378752,0,78528,5632,254720,81856,300224,273024,844544,704,1024,249536,0,1216,3520,135232,27904,1152,838912,0
27,1117696,17856,378688,0,3328,5632,253632,80448,378112,351552,766144,640,1024,248704,0,1088,2944,135296,28160,1088,760512,0
28,1117632,18496,378944,0,3264,5376,248960,80640,381952,354944,762688,576,1088,243904,0,1152,3200,131648,27520,896,757312,0
29,1117568,18048,380224,0,3200,5440,250176,80704,379776,352960,764608,832,1088,244928,0,1152,3328,132096,27584,832,759168,0
30,1117760,18112,378752,0,3392,5504,254336,80960,376704,349440,768320,704,1088,249408,0,1216,3328,136256,27584,960,762816,0
31,1117376,18240,379072,0,3328,5248,251584,80704,379200,352576,764800,640,960,246528,0,1152,3264,134208,27456,1088,759552,0
32,1117888,18304,379008,0,3392,254464,247296,80896,134528,107456,1010432,640,1152,241920,0,1216,3200,129024,27456,1024,755968,0
33,1117568,17920,381888,0,3456,5504,251776,81600,375424,348672,768896,640,1152,246464,0,1024,3136,134016,26880,960,763392,0
34,1117376,18816,378624,0,3456,5760,250688,80640,379392,352512,764864,896,1088,245568,0,1152,3072,132544,27520,960,759104,0
35,1117568,18496,378624,0,3456,5568,250880,81280,379264,352384,765184,704,1024,245632,0,1344,3392,132992,27776,960,759616,0
36,1117760,18368,379008,0,3264,5376,250048,80576,381120,354624,763136,768,1088,244992,0,1088,3264,132032,27648,1088,757760,0
37,1117760,18432,380416,0,3392,5376,251200,81152,377792,350848,766912,832,1152,246208,0,1088,3392,133056,27968,1024,761536,0
38,1117440,18432,377216,0,3328,5504,252352,80832,379776,352768,764672,896,1088,247104,0,1088,3136,134592,27776,1024,759168,0
39,1117824,18176,380032,0,3392,5248,250624,80512,379840,352896,764928,640,1152,245504,0,1088,3200,133568,27264,960,759680,0
40,1117440,18496,376064,0,3264,5760,251008,82240,380608,353664,763776,640,1088,246016,0,1088,3136,133568,27200,960,758016,0
41,1117760,18560,378816,0,3328,5440,276672,82112,352832,325952,791808,768,1216,271360,0,1344,3200,157760,28096,1024,786368,0
42,1117632,17728,380608,0,3200,5696,258752,80896,370752,343744,773888,704,1024,253632,0,1152,3200,140736,28032,896,768192,0
43,1117568,18432,379840,0,3392,5312,249792,80896,379904,352896,764672,768,1152,244608,0,1152,3200,131328,27648,896,759360,0
44,1117760,18368,380736,0,3456,5632,249472,81600,378496,351872,765888,704,1088,244480,0,1088,3072,132032,27776,896,760256,0
45,1117696,18048,377792,0,3328,5440,249664,81088,382336,355520,762176,832,1088,244608,0,1216,3200,132032,27520,896,756736,0
46,1117568,17856,378368,0,3456,5440,251584,81024,379840,352768,764800,768,1088,246592,0,1088,3456,133760,27392,1088,759360,0
47,2238272,28352,386688,0,3328,287488,843264,147264,541888,506048,1732224,704,1152,838208,0,1088,3136,129152,34240,960,1444736,0
48,1117632,28736,379712,0,135296,17088,272064,146624,138112,102976,1014656,640,1152,266944,0,1344,3392,136256,33536,960,997568,0
49,1117568,28288,382400,0,3264,17088,271616,147840,267072,232000,885568,704,1152,266624,0,1344,3264,135552,33856,896,868480,0
50,1117632,28224,382080,0,3328,16960,271936,147776,267328,232128,885504,768,1088,266560,0,1280,3072,136384,33600,832,868544,0
51,1117760,28352,381312,0,3264,16960,275712,148608,263552,227392,890368,768,1088,270528,0,1408,3392,138880,33728,1024,873408,0
52,1117440,28416,378880,0,3328,16960,271680,147072,271104,236800,880640,640,960,266496,0,1216,3200,136128,33600,1024,863680,0
