region,instructions,total_cycles,average_cycles,min_cycles,max_cycles
51,1497216,5605250,3.744,0,751041
5,1632700,5601998,3.431,0,1044273
30,1713517,5601610,3.269,0,872519
49,1670424,5601580,3.353,0,1072591
69,1820771,5601488,3.076,0,248505
13,1619527,4482432,2.768,0,418737
20,1313462,4482220,3.413,0,350465
41,1249413,4482142,3.587,0,1082685
116,1646453,4482048,2.722,0,385313
125,1611718,4481956,2.781,0,195135
76,1263161,4481922,3.548,0,1007745
108,1120423,4481842,4.000,0,1059297
63,1323715,4481778,3.386,0,399007
110,1401235,4481774,3.198,0,173773
1,1298747,4481714,3.451,0,1082963
54,1180569,4481710,3.796,0,877755
48,1189525,4481670,3.768,0,852585
121,1263646,4481642,3.547,0,776535
18,1164755,4481588,3.848,0,925777
120,1429928,4481582,3.134,0,280261
113,1226623,4481546,3.654,0,981865
11,1280201,4481544,3.501,0,1085589
58,1525060,4481530,2.939,0,468981
25,1257556,4481524,3.564,0,854149
74,1255519,4481482,3.569,0,950579
10,1291830,4481470,3.469,0,1069187
28,1224346,4481420,3.660,0,891325
107,1488462,4481414,3.011,0,606621
22,1393682,4481354,3.215,0,926033
87,1502351,4481320,2.983,0,771527
35,1594901,4481310,2.810,0,60688
68,1404650,4481292,3.190,0,929241
79,1160539,4481264,3.861,0,1117875
4,1956239,4481260,2.291,0,44598
42,1278105,4481258,3.506,0,782043
75,1275173,4481246,3.514,0,957605
117,1518713,4481242,2.951,0,124901
77,1695894,4481240,2.642,0,146689
31,1831022,4481194,2.447,0,287273
40,1706222,4481130,2.626,0,321167
100,1158049,4481124,3.870,0,955123
19,1423138,4481080,3.149,0,93873
12,1277025,4481062,3.509,0,1047267
112,1195893,4480934,3.747,0,920509
97,1440345,4480820,3.111,0,732961
39,1398223,4480662,3.205,0,268651
98,911543,3362786,3.689,0,604585
38,1105590,3362300,3.041,0,303259
114,1184325,3361970,2.839,0,65471
93,1044551,3361804,3.218,0,337253
128,967597,3361600,3.474,0,572561
80,1089691,3361536,3.085,0,249953
96,938398,3361534,3.582,0,482381
27,1269314,3361526,2.648,0,106847
101,927138,3361518,3.626,0,576553
70,1064705,3361478,3.157,0,351899
88,1078729,3361474,3.116,0,204333
47,853971,3361464,3.936,0,789141
2,989775,3361452,3.396,0,688521
85,1064798,3361442,3.157,0,212455
111,1138961,3361430,2.951,0,141921
29,1017817,3361420,3.303,0,235093
46,923668,3361398,3.639,0,520487
67,1106910,3361388,3.037,0,45582
7,1127226,3361380,2.982,0,132981
65,1024292,3361358,3.282,0,382095
72,1163588,3361344,2.889,0,45604
61,1001709,3361338,3.356,0,378121
23,906386,3361336,3.709,0,350787
52,914269,3361322,3.677,0,647589
103,1015492,3361314,3.310,0,307637
43,1131660,3361312,2.970,0,199927
17,1114637,3361298,3.016,0,68853
34,984859,3361296,3.413,0,530211
36,1046940,3361284,3.211,0,402097
91,1047237,3361282,3.210,0,205063
32,1169863,3361274,2.873,0,141415
84,1065518,3361256,3.155,0,299921
9,1063287,3361246,3.161,0,354345
104,879568,3361246,3.821,0,697837
57,1020193,3361244,3.295,0,192455
78,1072328,3361232,3.135,0,286635
62,1061811,3361222,3.166,0,137745
33,831821,3361214,4.041,0,865831
73,944998,3361184,3.557,0,521489
102,886256,3361172,3.793,0,716915
119,1106754,3361164,3.037,0,311609
89,942135,3361156,3.568,0,676311
56,870812,3361154,3.860,0,733057
26,1116385,3361148,3.011,0,349961
122,1090612,3361142,3.082,0,320471
126,944210,3361136,3.560,0,611685
3,1022435,3361134,3.287,0,626605
71,1123318,3361124,2.992,0,248543
16,990881,3361098,3.392,0,542369
15,994702,3361094,3.379,0,531999
90,941705,3361072,3.569,0,663689
21,870134,3361062,3.863,0,776905
53,1006460,3361058,3.339,0,343461
66,1015155,3361052,3.311,0,417433
81,1074593,3361052,3.128,0,263213
118,1185422,3361050,2.835,0,72903
6,1095180,3361034,3.069,0,320429
92,1009994,3361024,3.328,0,462019
8,1144037,3361022,2.938,0,285381
60,951669,3361012,3.532,0,505063
82,1071990,3361004,3.135,0,279533
123,1056430,3360960,3.181,0,399529
44,889183,3360930,3.780,0,708087
64,1065242,3360920,3.155,0,295067
106,988157,3360914,3.401,0,282497
45,859656,3360908,3.910,0,754493
83,1080648,3360908,3.110,0,278973
105,887887,3360888,3.785,0,662911
55,887325,3360876,3.788,0,697899
124,1029898,3360866,3.263,0,253127
95,1007049,3360858,3.337,0,209343
59,1049682,3360796,3.202,0,164069
37,1063710,3360756,3.159,0,388251
94,1069157,3360750,3.143,0,163921
50,859957,3360742,3.908,0,769979
109,1036922,3360706,3.241,0,311847
86,1033896,3360662,3.250,0,414623
127,931377,3360640,3.608,0,635693
24,922817,3360634,3.642,0,644661
14,975156,3360592,3.446,0,557319
115,1191572,3360424,2.820,0,38313
99,959358,3360012,3.502,0,389547
0,6,36,6.000,1,12
