regions 129
work ticks P50 1540964  P90 2060378  P95 2148000  max 2421504

class             avg tk/fr  %work     med-band  tail-band   tail-med
IDLE                 272605    0.0       129774     289362     159589
RENDER_STAGE         213429   13.2       217880     223246       5366
RENDER_COMMON        210182   13.0       211152     254952      43801
RENDER_FIGHTER       202667   12.5       191114     275041      83927
SOFTFLOAT            150372    9.3       150311     217328      67016
MAP_COLLISION         97128    6.0        99778      99233       -545
FT_LOGIC              96908    6.0        92539     119411      26872
POSE                  78374    4.8        70227     112903      42677
OTHER                 74859    4.6        59462     126334      66872
MEM                   59970    3.7        56200      88230      32030
ANIM                  47309    2.9        46957      60210      13253
CAMERA                46410    2.9        46984      46482       -501
RENDER_EFFECT         44483    2.8        45446      51651       6205
SYSLIB                40958    2.5        31126      96534      65408
INSTRUMENT            37231    2.3        18948      85812      66864
OBJMAN                33308    2.1        33887      37058       3170
RELOC                 29223    1.8        23061      64429      41368
INTHELPER             29104    1.8        26443      48060      21617
FT_AI                 28931    1.8        31438      25749      -5689
PARTICLE              22779    1.4        23948      25411       1463
HUD_LOGIC             22424    1.4        23488      21320      -2168
MATHLIB               11824    0.7        12005      16267       4262
HIT_COLLISION         11380    0.7        10355      37056      26701
PLATFORM               6606    0.4         6534       6939        406
AUDIO                  6219    0.4         5616      14578       8962
RENDER_HUD             4746    0.3         5711       2988      -2723
EFFECT_LOGIC           4010    0.2         4469       4152       -317
STAGE_LOGIC            2665    0.2         2694       2695          1
LBCOMMON               1826    0.1         1963       1625       -338
SCENE                   767    0.0          773        774          0
ITEM_LOGIC              317    0.0          309        340         31
UNATTR                   12    0.0           10         26         16
total work avg 1616422
