arm                                                  final-route0     final-route1     final-route2     final-route3 final-route0-adm
L.draws                                                         0             1483                0                0                0
L.shadow_runs                                                   0                0             1483             1483                0
L.attempts                                                      0             1685             1685             1685                0
L.adopts                                                        0              145              145              145                0
L.adopt_tinted_sites                                            0                2                2                2                0
L.adopt_needs_fence                                             0                1                1                1                0
L.adopt_words                                                   0             2093             2093             2093                0
L.adopt_roots                                                   0               14               14               14                0
L.adopt_textures                                                0               15               15               15                0
L.kernel_joints                                                 0            35772            35772            35772                0
L.kernel_slow_joints                                            0            11542            11542            11542                0
L.head_ticks                                            126082816        125109504        125516864        125364096        126122496
L.guard_ticks                                                   0         14750336         14381952         14375744                0
L.kernel_ticks                                                  0         39046464         38870208         38872128                0
L.patch_ticks                                                   0         13213440         13148096         13145152                0
L.submit_ticks                                                  0         14241920                0                0                0
L.oracle_runs                                                   0                0             1217             1217                0
L.oracle_words                                                  0                0          2547181          2547181                0
L.oracle_mismatch[1]                                            0                0                0            52166                0
L.oracle_mismatch[2]                                            0                0                0             9785                0
L.oracle_max_lsb[1]                                             0                0                0                3                0
L.oracle_max_lsb[2]                                             0                0                0                3                0
L.oracle_record_under_hit[0]                                    0                0              266              266                0
L.oracle_record_diff[1]                                         0                0                0             9645                0
L.oracle_record_diff[2]                                         0                0                0             1760                0
L.oracle_record_diff[3]                                         0                0             2208             2208                0
L.oracle_fence_rekey                                            0                0              614              614                0
L.oracle_shade_witness_count                                    0                0                4                4                0
L.record_shade_checked                                          0                0            24621            24621                0
L.record_shade_inconsistent                                     0                0             9126             9126                0
L.record_shade_inconsistent_packets                             0                0              377              377                0
L.record_shade_witness_count                                    0                0                2                2                0
L.ge_busy_samples                                            1973             1973             1973             1973             1973
L.tint_patch_binds                                              0             2966             2966             2966                0
L.adopt_tint_binds                                              0                2                2                2                0
L.fighter_uploads                                             569              569              569              569               77
L.fighter_uploads_after_go                                    408              408              408              408               18
L.fighter_upload_bytes_after_go                            224512           224512           224512           224512             8576
L.go_frame                                                    196              196              196              196              196
L.admit_runs                                                    0                0                0                0                1
L.admit_pinned                                                  0                0                0                0               72
L.admit_pinned_bytes                                            0                0                0                0            49152
L.union_textures[0]                                            25               25               25               25               14
L.union_textures[1]                                            16               16               16               16               15
L.union_textures[2]                                            33               33               33               33               24
L.union_textures[3]                                             2                2                2                2                1
L.union_bytes[0]                                            27008            27008            27008            27008            18176
L.union_bytes[1]                                             9024             9024             9024             9024             8896
L.union_bytes[2]                                            21184            21184            21184            21184            12992
L.union_bytes[3]                                              768              768              768              768              512
L.census_live                                                  98               98               98               98               98
L.census_free                                                  26               26               26               26               26
L.census_pinned                                                44               44               44               44               98
L.census_static                                                44               44               44               44               44
L.census_live_bytes                                        107008           107008           107008           107008           107008
L.census_fighter_bytes                                      57984            57984            57984            57984            40576
L.reject_count                                                254              254              254              254               99
L.reject_mask                                                4096             4096             4096             4096             4096
L.reject_first[0]                                            4096             4096             4096             4096             4096
L.reject_first[1]                                               2                2                2                2                2
L.reject_first[3]                                               7                7                7                7                7
L.reject_first[4]                                             156              156              156              156              126
L.reject_first[6]                                              87               87               87               87               90
L.reject_first[7]                                              37               37               37               37               34
L.reject_first[8]                                              44               44               44               44               73
L.reject_first[9]                                              43               43               43               43               17
L.reject_first[11]                                          99072            99072            99072            99072           104320
L.decline[1]                                                    0               52               52               52                0
L.decline[2]                                                    0              135              135              135                0
L.decline[3]                                                    0                6                6                6                0
L.decline[7]                                                    0                3                3                3                0
L.decline[8]                                                    0                2                2                2                0
L.decline[14]                                                   0                4                4                4                0
gNdsRendererNativeFailure.count                               573              573              573              573              928
gNdsRendererNativeFailure.status                              225              225              225              225              225
gNdsRendererNativeFailure.identity                         393215           393215           393215           393215           393215
gNdsRendererNativeFailure.reason                                2                2                2                2                2
gNdsRendererNativeDirectReject.count                          254              254              254              254               99
gNdsRendererNativeDirectReject.site                      33535520         33535520         33535520         33535520         33535520
gNdsFighterPacketHits                                        5434             4198             5434             5434             4675
gNdsFighterPacketRecords                                     1388             1141             1388             1388             2147
gNdsFighterPacketFaults                                       254              254              254              254               99
gNdsFighterMarioFoxDLAllDrawCount                            6862             6862             6862             6862             6862
gNdsR2FighterTintBuilds                                         9                9                9                9                9
gNdsR2FighterTintSetGeneration                                 11               11               11               11               11
gNdsR2FighterTintHits                                        5248             4754             5248             5248             9229
gNdsR2FighterTintMisses                                        24               24               24               24               24
gNdsFtrLeanRoute                                                0                1                2                3                0
gNdsFtrLeanAdmit                                                0                0                0                0                1
final-route0 setGlobals [{'name': 'gNdsFtrLeanRoute', 'requested': 0, 'readback': 0, 'stuck': True}] rows 1972 cadenceViolations 0 vbi2..5+ 112 791 607 463 gitDirty 14
final-route1 setGlobals [{'name': 'gNdsFtrLeanRoute', 'requested': 1, 'readback': 1, 'stuck': True}] rows 1972 cadenceViolations 0 vbi2..5+ 112 787 608 466 gitDirty 14
final-route2 setGlobals [{'name': 'gNdsFtrLeanRoute', 'requested': 2, 'readback': 2, 'stuck': True}] rows 1972 cadenceViolations 0 vbi2..5+ 102 592 781 498 gitDirty 14
final-route3 setGlobals [{'name': 'gNdsFtrLeanRoute', 'requested': 3, 'readback': 3, 'stuck': True}] rows 1972 cadenceViolations 0 vbi2..5+ 103 629 752 489 gitDirty 14
final-route0-admit1 setGlobals [{'name': 'gNdsFtrLeanRoute', 'requested': 0, 'readback': 0, 'stuck': True}, {'name': 'gNdsFtrLeanAdmit', 'requested': 1, 'readback': 1, 'stuck': True}] rows 1972 cadenceViolations 0 vbi2..5+ 112 716 499 646 gitDirty 14
