symbol (shipping static RAM)                 pre-2b      final      delta
gNdsFtrLean                                     788          0       -788
sNdsFtrLeanStats                              1,300      1,300         +0
sNdsFtrLeanInputs                             1,664      1,248       -416
sNdsFtrLeanInstance                           1,764      1,532       -232
sNdsFtrLeanWorlds                             4,608      4,096       -512
sNdsFighterPackets                           15,232     14,464       -768
sNdsFtrLeanSlots                                128         64        -64
sNdsRendererHardwareTextureCache              5,456      5,456         +0
sNdsRendererHardwareTextureKeyPool           18,644     18,644         +0
sNdsRendererHardwareTextureLookup               128        128         +0
gNdsFtrLeanAdmitFail                              0          4         +4
gNdsFtrLeanAdmitFailFirst                         0         16        +16
gNdsVramBankDLent                                 0          4         +4
gNdsVramBankDMissedExits                          0          4         +4
gNdsVramBankDReturns                              0          4         +4
gNdsVramBankDTakes                                0          4         +4
gNdsVramBg3RefusedWrites                          0          4         +4
sNdsFtrAdmitBaseAsset                             0        148       +148
sNdsFtrAdmitBaseCount                             0          4         +4
sNdsFtrAdmitBaseData                              0        148       +148
sNdsFtrAdmitChunk                                 0        896       +896
sNdsFtrAdmitCostume                               0         16        +16
sNdsFtrAdmitCount                                 0          4         +4
sNdsFtrAdmitDetail                                0         16        +16
sNdsFtrAdmitDone                                  0          4         +4
sNdsFtrAdmitGen                                   0          4         +4
sNdsFtrAdmitIndex                                 0        208       +208
sNdsFtrAdmitKind                                  0         16        +16
sNdsFtrAdmitLocked                                0          4         +4
sNdsFtrAdmitPlayer                                0         16        +16
sNdsFtrAdmitRegions                               0          4         +4
sNdsFtrAdmitSavedLock                             0          4         +4
TOTAL                                        49,712     48,464      -1248
