kind     det    recs  hats  non-hat records per costume 0..5   | 2b recs, per costume
Mario    LOW      14     0     6    6    6    6    6    6   |    14     6    6    6    6    6    3
Mario    HIGH     14     0     6    6    6    6    6    6   |    14     6    6    6    6    6    3
Fox      LOW      14     0     8    8    8    8    8    8   |    14    14   14   14   14   14   14
Fox      HIGH     14     0     8    8    8    8    8    8   |    14    14   14   14   14   14   14
Donkey   LOW      91     0    19   19   19   19   19   19   |    91    23   36   38   38   36    5
Donkey   HIGH    106     0    22   22   22   22   22   22   |   106    26   42   44   44   42    5
Samus    LOW      98     0    26   26   26   26   26   26   |    98    32   44   41   44   41   13
Samus    HIGH     98     0    26   26   26   26   26   26   |    86    32   41   38   41   38   16
Luigi    LOW      18     0     7    7    7    7    7    7   |    18     7    7    7    7    0    0
Luigi    HIGH     18     0     7    7    7    7    7    7   |    14     5    5    5    5    0    0
Link     LOW      49     0    46   46   46   46   46   46   |    49    49   49   49   49   38   38
Link     HIGH     50     0    47   47   47   47   47   47   |    50    50   50   50   50   38   38
Yoshi    LOW     115     0    20   20   20   20   20   20   |   276   210  210  210  210  164  164
Yoshi    HIGH    127     0    22   22   22   22   22   22   |    52    34   34   34   34    4    4
Captain  LOW     147     0    26   26   26   26   26   26   |   147    38   60   60   62   59   63
Captain  HIGH    183     0    32   32   32   32   32   32   |   184    48   73   73   75   72   78
Kirby    LOW     451   405    14   14   14   14   14   14   |    91     8    8    8    8    8    6
Kirby    HIGH    417   371    14   14   14   14   14   14   |   117    14   14   14   14   14    6
Pikachu  LOW      88     0    17   18   18   18   18   18   |    85    43   43   43   43   24   24
Pikachu  HIGH     88     0    17   18   18   18   18   18   |    85    43   43   43   43   24   24
Purin    LOW      38     0     7    8    8    8    8    8   |    35    21   21   21   21   12   12
Purin    HIGH     38     0     7    8    8    8    8    8   |    27    17   17   17   17    7    7
Ness     LOW      28     0    16   16   16   16   16   16   |    28    28   28   28   28   16   16
Ness     HIGH     26     0    14   14   14   14   14   14   |    23    23   23   23   23   14   14
