frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,4722496,11712,1198784,0,2112,946624,256256,1948096,358912,316736,4405760,576,1088,251072,0,1344,3136,143680,27328,1152,0,0,21888,673728,191,573,2338710095,2338710095,3459136,0
3,1116160,11264,361920,0,237312,5504,255040,74752,170368,130432,985728,768,1152,249600,0,1280,3200,142976,26432,1024,0,0,22912,0,191,573,2338710095,2338710095,980224,0
4,1117120,11648,359936,0,3968,5376,259648,74880,401664,361600,755520,640,1280,254208,0,1280,3136,147072,26560,1152,0,0,22208,0,191,573,2338710095,2338710095,750144,0
5,1116928,11712,363392,0,3264,5056,262720,74240,396544,356928,760000,640,1152,257408,0,1344,3456,149888,27200,1024,0,0,22528,0,191,573,2338710095,2338710095,754944,0
6,1117248,11968,363904,0,3328,5376,266176,73920,392576,352640,764608,576,1280,260800,0,1344,3520,153024,27008,1152,0,0,22016,0,191,578,2338710095,2338710095,759232,0
7,1116736,11520,364800,0,3264,5312,264000,74432,393408,353664,763072,640,1344,258432,0,1216,3456,152128,26240,1088,0,0,22400,0,191,578,2338710095,2338710095,757760,0
8,1117248,11712,363328,0,3136,5440,263424,74304,395904,356096,761152,768,1280,257792,0,1216,3200,149952,26240,832,0,0,22528,0,191,578,2338710095,2338710095,755712,0
9,1117248,11712,362688,0,3264,5248,267200,73536,393600,353728,763520,640,1152,261952,0,1408,3392,154752,26560,1152,0,0,22144,0,191,578,2338710095,2338710095,758272,0
10,1117184,11968,365312,0,3392,5376,262272,74048,394816,355520,761664,768,1088,257088,0,1408,3392,151040,26112,960,0,0,22016,0,191,578,2338710095,2338710095,756288,0
11,1117184,11648,363392,0,3392,4992,263552,74496,395712,355712,761472,640,1216,258112,0,1344,3072,152320,25984,960,0,0,22848,0,191,578,2338710095,2338710095,756480,0
12,1117184,11648,363456,0,3264,5376,262080,72960,398400,358912,758272,640,1216,256576,0,1280,3328,149376,26816,1152,0,0,21696,0,191,583,2338710095,2338710095,752896,0
13,1116928,11456,362240,0,3200,5568,265472,73792,395200,355648,761280,704,1216,260160,0,1408,3200,152896,26880,1088,0,0,22272,0,191,585,2338710095,2338710095,755712,0
14,1117248,11584,364544,0,3328,5248,263168,73344,396032,355904,761344,768,1280,257600,0,1408,3264,150656,26240,1088,0,0,22336,0,189,580,2338710095,2338710095,756096,0
15,1116992,11328,365376,0,3200,5184,263296,73472,395136,355904,761088,704,1280,257792,0,1344,3392,150912,26432,960,0,0,22144,0,187,572,2338710095,2338710095,755904,0
16,1117184,11648,362048,0,3328,5184,263296,73920,397760,358144,759040,640,1216,257600,0,1408,3136,151936,26048,896,0,0,22336,0,187,572,2338710095,2338710095,753856,0
17,1117504,11520,364160,0,3392,26496,261184,74368,376384,335936,781568,704,1152,255872,0,1344,3328,149248,26304,1024,0,0,22720,0,187,574,2338710095,2338710095,755072,0
18,1116864,11584,365184,0,3328,5056,263552,73344,394816,355008,761856,768,1344,257920,0,1280,3200,152000,26112,1216,0,0,22464,0,187,576,2338710095,2338710095,756800,0
19,1117056,11776,362432,0,3456,5184,263296,74368,396544,356736,760320,576,1280,257856,0,1344,3200,151552,25984,1024,0,0,22336,0,186,575,2338710095,2338710095,755136,0
20,1117120,11136,365504,0,3072,5120,261632,72512,398144,357696,759424,576,1280,256064,0,1216,3200,149824,25984,1152,0,0,21888,0,186,583,2338710095,2338710095,754304,0
21,1116992,11712,363136,0,3328,5248,263360,73920,396288,356544,760448,640,1216,257856,0,1344,3136,151744,26240,1152,0,0,22336,0,185,588,2338710095,2338710095,755200,0
22,1117184,11712,361728,0,3264,5184,262016,72832,400448,360576,756608,640,1216,256640,0,1152,3136,150144,26112,896,0,0,21696,0,182,584,2338710095,2338710095,751424,0
23,1117120,11200,365120,0,3136,5184,259840,73472,399168,359360,757760,704,1216,254592,0,1280,3264,147584,26304,896,0,0,22336,0,178,574,2338710095,2338710095,752576,0
24,1117184,11584,361984,0,3200,5184,263040,73920,398272,358336,758848,832,1280,257408,0,1472,3200,151168,25984,896,0,0,22400,0,178,576,2338710095,2338710095,753664,0
25,1117184,11200,364416,0,3072,5248,261504,72960,398784,358656,758528,640,1344,255808,0,1600,3328,149120,26176,1088,0,0,21568,0,177,570,2338710095,2338710095,753280,0
26,1116992,11520,363200,0,78976,5120,266432,73024,318720,278656,838336,576,1216,260992,0,1088,3200,154176,26176,1152,0,0,21632,0,176,566,2338710095,2338710095,833216,0
27,1117184,11520,362560,0,3456,5120,264832,73856,395840,355968,761216,640,1280,259520,0,1536,3328,153280,25856,1024,0,0,22528,0,175,563,2338710095,2338710095,756096,0
28,1116992,11520,364416,0,3136,5184,262784,73600,396352,356416,760576,640,1152,257728,0,1344,3456,150784,26368,1152,0,0,21952,0,175,563,2338710095,2338710095,755392,0
29,1117184,11520,363136,0,3200,5248,263808,74176,396096,356096,761088,576,1088,258496,0,1216,3200,152064,26176,1088,0,0,22400,0,173,553,2338710095,2338710095,755840,0
30,1116928,11776,362048,0,3200,5376,260032,73024,401472,361664,755264,640,1280,254592,0,1216,3200,148480,26368,1088,0,0,22144,0,173,555,2338710095,2338710095,749888,0
31,1117056,11648,365504,0,3200,5440,264192,74368,392704,353024,764032,704,1280,258752,0,1472,3008,152768,26240,960,0,0,22528,0,173,555,2338710095,2338710095,758592,0
32,1117376,11520,364544,0,3136,26624,261824,73920,375808,335680,781696,768,1216,256448,0,1216,3328,149632,26112,1024,0,0,22528,0,173,553,2338710095,2338710095,755072,0
