frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
3,1116288,11584,318016,0,238784,5312,227328,71488,243776,204416,911872,640,1024,222400,0,1152,3008,124992,18304,960,0,0,20800,0,191,573,2724353048,2724353048,906560,0
4,1117248,12032,314944,0,3840,5440,227008,72768,481216,441600,675648,640,1024,221888,0,1344,3264,124672,18304,896,0,0,20736,0,191,573,2724353048,2724353048,670208,0
5,1116736,12096,316480,0,3136,5184,226880,72192,480768,441600,675136,704,1152,221696,0,1152,3008,123968,18560,960,0,0,20992,0,191,573,2724353048,2724353048,669952,0
6,1117184,11712,316160,0,3136,5376,226752,72064,481984,442816,674368,768,1024,221824,0,1216,3072,124672,18560,1024,0,0,21568,0,191,578,2724353048,2724353048,668992,0
7,1117056,11648,318272,0,3136,5376,226112,73024,479488,440000,677056,768,1152,220992,0,1280,2880,124032,18240,960,0,0,21760,0,191,578,2724353048,2724353048,671680,0
8,1117056,12032,316352,0,3136,5120,229120,72640,478656,439552,677504,640,960,223936,0,1280,3264,125952,18432,960,0,0,21056,0,191,578,2724353048,2724353048,672384,0
9,1117312,11712,316288,0,3136,5312,227584,72128,481152,441792,675520,768,1088,222656,0,1344,3008,126272,17984,960,0,0,20672,0,191,578,2724353048,2724353048,670208,0
10,1117312,12032,313600,0,3072,5312,226560,71488,485248,445632,671680,640,1024,221376,0,1088,3072,125376,17664,704,0,0,20096,0,191,578,2724353048,2724353048,666368,0
11,1116800,12032,315584,0,3200,5312,230784,72192,477696,438400,678400,640,960,226048,0,1152,3008,129536,17984,960,0,0,21312,0,191,578,2724353048,2724353048,673088,0
12,1117376,11904,314816,0,3264,5184,229760,71936,480512,441152,676224,768,1088,224512,0,1216,3072,128192,18496,1024,0,0,21056,0,191,584,2724353048,2724353048,671040,0
13,1117184,12160,315200,0,3136,5248,230272,71808,479360,440128,677056,704,1024,225280,0,1152,3072,128768,18112,896,0,0,21184,0,191,585,2724353048,2724353048,671808,0
14,1117056,11520,317824,0,3200,5248,228864,72704,477696,438144,678912,768,960,223744,0,1344,2944,127168,18176,960,0,0,21376,0,189,579,2724353048,2724353048,673664,0
15,1116800,11584,315776,0,3072,5248,230400,72000,478720,439616,677184,768,1088,225216,0,1152,3328,127808,18496,960,0,0,20992,0,187,572,2724353048,2724353048,671936,0
16,1117312,11776,314688,0,3072,26240,228992,72960,459584,420544,696768,704,1088,223936,0,1344,2944,127296,17920,960,0,0,21312,0,187,574,2724353048,2724353048,670528,0
17,1117056,11584,315520,0,3008,5248,230016,72384,479296,440064,676992,896,1024,224768,0,1216,3136,128256,17920,1024,0,0,21120,0,187,574,2724353048,2724353048,671744,0
18,1117440,12160,316288,0,3072,5248,228928,72256,479488,440192,677248,704,1024,223872,0,1152,3072,127488,18432,832,0,0,21056,0,187,576,2724353048,2724353048,672000,0
19,1116992,11904,315520,0,3200,5440,229120,71808,480000,440576,676416,704,1152,224064,0,1408,3200,127232,18112,1024,0,0,21120,0,187,580,2724353048,2724353048,670976,0
20,1117120,11776,313408,0,3200,5440,233088,72704,477504,438016,679104,832,1024,227968,0,1152,3072,131328,18432,896,0,0,20480,0,186,577,2724353048,2724353048,673664,0
21,1117120,12096,315904,0,3200,5248,234496,71232,474944,435840,681280,768,960,229504,0,1280,3072,132160,18432,1024,0,0,20352,0,180,572,2724353048,2724353048,676032,0
22,1117184,11712,317120,0,3136,5312,232192,71744,475968,436672,680512,640,1024,227008,0,1344,3072,131200,17920,832,0,0,20544,0,178,572,2724353048,2724353048,675200,0
23,1117312,12224,316288,0,3200,5248,233984,72000,474368,434880,682432,640,1024,228928,0,1280,3136,131712,18752,896,0,0,21248,0,178,574,2724353048,2724353048,677184,0
24,1116928,11776,316800,0,3136,5376,233984,71168,474688,435648,681280,640,1088,228992,0,1280,3200,131392,18496,896,0,0,20608,0,178,574,2724353048,2724353048,675904,0
25,1117120,11840,315776,0,3072,5248,230272,71744,479168,439808,677312,768,896,225536,0,1280,3200,128768,18304,896,0,0,20672,0,177,569,2724353048,2724353048,672064,0
26,1117120,11776,317632,0,79040,5376,230336,72640,400320,361024,756096,704,1088,225280,0,1344,3200,127936,18560,896,0,0,21056,0,175,562,2724353048,2724353048,750720,0
27,1117312,11776,318208,0,3136,5312,231424,71808,475648,436096,681216,768,1088,226304,0,1280,3328,129408,18048,1152,0,0,20736,0,173,554,2724353048,2724353048,675904,0
