frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,4448768,9472,1227904,0,2432,766016,150656,1932736,359552,321344,4127424,256,1216,145280,0,704,1728,67520,11840,448,0,0,21824,216128,191,573,1583639803,1583639803,3361408,0
3,1116416,9280,367744,0,239040,5184,149824,66816,278528,242240,874176,384,1024,144448,0,768,1664,66944,11264,512,0,0,21696,0,191,573,1583639803,1583639803,868992,0
4,1117120,9216,369408,0,4224,4928,154624,66496,508224,471808,645312,384,1152,149440,0,768,1792,70848,12160,576,0,0,21504,0,191,578,1583639803,1583639803,640384,0
5,1117440,9856,369984,0,3392,5120,156352,66112,506624,470720,646720,320,1152,151360,0,768,1664,72128,12480,512,0,0,21568,0,191,578,1583639803,1583639803,641600,0
6,1117312,9472,368896,0,3392,5120,156480,66624,507328,471168,646144,384,1152,151104,0,640,1728,72896,12096,448,0,0,21248,0,191,578,1583639803,1583639803,641024,0
7,1117184,9152,367680,0,3328,5376,154752,67072,509824,473856,643328,256,1024,149696,0,640,1600,71744,11392,576,0,0,22144,0,191,578,1583639803,1583639803,637952,0
8,1116992,9088,369792,0,3392,5248,155008,65984,508480,472896,644096,384,1216,149888,0,768,1792,71232,11456,640,0,0,21056,0,191,578,1583639803,1583639803,638848,0
9,1117568,9216,369728,0,3328,5184,157248,65920,506944,470784,646784,384,1152,152000,0,640,1600,75328,11392,384,0,0,21184,0,191,579,1583639803,1583639803,641600,0
10,1117120,9344,369920,0,3392,4992,155072,66048,508352,472576,644544,320,1216,149824,0,576,1664,72576,11520,512,0,0,21248,0,191,581,1583639803,1583639803,639552,0
11,1117248,9472,366784,0,3456,5376,152960,66112,513088,477312,639936,384,1088,147712,0,704,1728,70784,11456,512,0,0,21824,0,191,582,1583639803,1583639803,634560,0
12,1117120,9152,366080,0,3264,5184,152000,65792,515648,479808,637312,384,1152,146752,0,640,1664,69376,11392,512,0,0,21120,0,189,588,1583639803,1583639803,632128,0
13,1117312,9088,369280,0,3456,5568,153024,66816,510080,474048,643264,320,1088,147904,0,704,1728,71104,11136,576,0,0,21568,0,186,583,1583639803,1583639803,637696,0
14,1117312,9408,368640,0,3328,5248,154752,66432,509504,473664,643648,320,1088,149504,0,704,1664,72448,11328,384,0,0,21824,0,184,575,1583639803,1583639803,638400,0
15,1117248,9024,367616,0,3392,5120,153984,67136,510976,475648,641600,256,1152,148928,0,832,1664,71680,11584,448,0,0,21696,0,178,560,1583639803,1583639803,636480,0
16,1117184,9344,368448,0,3264,5056,155840,65792,509440,473664,643520,384,1152,150464,0,704,1728,72896,11264,576,0,0,21312,0,170,534,1583639803,1583639803,638464,0
