frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,MWPN,MEFX,MPRT,MTEX,GPOL,GVTX,DGSA,DGSB,WORK-H,WRAPFIX
2,5642752,11520,2053376,0,2368,1112832,225664,1882048,354944,313920,5328832,704,1024,220672,0,1216,2944,125248,17728,1152,0,0,20608,1368448,191,573,2724353048,2724353048,4216000,0
3,1116800,11904,260352,0,237760,5184,226496,71616,303488,263552,853248,576,1024,221376,0,1152,3008,124416,18304,1024,0,0,21056,0,191,573,2724353048,2724353048,848064,0
4,1117184,12032,258112,0,4160,5376,225984,71680,539840,500416,616768,576,1088,221056,0,1152,3072,124672,18816,896,0,0,20672,0,191,573,2724353048,2724353048,611392,0
5,1117504,11456,258560,0,3392,5248,226048,70912,541888,502464,615040,640,1024,220992,0,1152,2944,124416,18560,896,0,0,20224,0,191,573,2724353048,2724353048,609792,0
6,1117248,11904,258752,0,3392,5376,226432,73344,538048,498368,618880,576,1024,221568,0,1216,3072,125120,18176,832,0,0,20992,0,191,578,2724353048,2724353048,613504,0
7,1117312,11968,257856,0,3328,5248,224128,71488,543296,504128,613184,704,1024,219008,0,1344,3072,123008,17280,960,0,0,20672,0,191,578,2724353048,2724353048,607936,0
8,1116864,11968,257856,0,3392,5184,227200,71168,540096,500800,616064,640,960,222400,0,1280,3136,125376,17856,1152,0,0,20160,0,191,578,2724353048,2724353048,610880,0
9,1117376,11520,257920,0,3392,5376,225920,71424,541824,502784,614592,704,896,220928,0,1280,3072,125376,17920,1088,0,0,20736,0,191,578,2724353048,2724353048,609216,0
10,1117440,11904,260416,0,3520,5184,226560,71872,537984,498624,618816,640,1024,221440,0,1408,2752,125120,18112,896,0,0,20800,0,191,578,2724353048,2724353048,613632,0
11,1117440,12032,259200,0,3392,5056,229440,71488,536832,497536,619904,640,896,224384,0,1216,3008,128576,18368,1024,0,0,20800,0,191,578,2724353048,2724353048,614848,0
12,1116736,11584,257728,0,3456,5120,228160,71168,539520,500352,616384,704,1024,223168,0,1088,2944,126656,18304,960,0,0,20288,0,191,584,2724353048,2724353048,611264,0
13,1117440,11584,258112,0,3264,5184,228288,72000,539008,499584,617856,576,1152,223488,0,1216,3072,127488,18112,832,0,0,20736,0,191,585,2724353048,2724353048,612672,0
14,1117440,11904,261184,0,3200,5312,227968,70912,536960,497536,619904,640,960,223040,0,1216,2880,126976,18176,896,0,0,20672,0,189,579,2724353048,2724353048,614592,0
15,1117376,11712,257344,0,3456,5504,228416,71680,539264,499904,617472,640,1024,223488,0,1088,3008,127616,17728,1152,0,0,20800,0,187,572,2724353048,2724353048,611968,0
16,1117248,11776,257792,0,3328,5312,228864,71680,538496,498816,618432,704,960,224000,0,1216,2880,127744,18752,1024,0,0,20928,0,187,574,2724353048,2724353048,613120,0
17,1117568,11968,258688,0,3264,25792,228736,71232,517888,478336,639232,704,960,223744,0,1344,3072,128256,18048,896,0,0,20928,0,187,574,2724353048,2724353048,613440,0
